Species,Variable,Value,Teams,n_teams
Acrobates pygmaeus,CerebellarCortex_Vol.mm3,36.8,Ashwell,1
Acrobates pygmaeus,CerebellarHemisphere_Vol.mm3,17.5,Ashwell,1
Acrobates pygmaeus,CerebellarVermis_Vol.mm3,16.5,Ashwell,1
Acrobates pygmaeus,Cerebellar_nuclei_total_Vol.mm3,1.18,Ashwell,1
Acrobates pygmaeus,Cerebellum_Vol.mm3,40,Ashwell,1
Acrobates pygmaeus,Cerebellum_white_matter_Vol.mm3,1.97,Ashwell,1
Acrobates pygmaeus,FlocculonodularLobe_Vol.mm3,2.82,Ashwell,1
Acrobates pygmaeus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.16,Ashwell,1
Acrobates pygmaeus,Total_brain_net_volume_Vol.mm3,272,Ashwell,1
Aepyprymnus rufescens,CerebellarCortex_Vol.mm3,1169,Ashwell,1
Aepyprymnus rufescens,CerebellarHemisphere_Vol.mm3,554,Ashwell,1
Aepyprymnus rufescens,CerebellarVermis_Vol.mm3,524,Ashwell,1
Aepyprymnus rufescens,Cerebellar_nuclei_total_Vol.mm3,60.5,Ashwell,1
Aepyprymnus rufescens,Cerebellum_Vol.mm3,1523,Ashwell,1
Aepyprymnus rufescens,Cerebellum_white_matter_Vol.mm3,294,Ashwell,1
Aepyprymnus rufescens,FlocculonodularLobe_Vol.mm3,90.8,Ashwell,1
Aepyprymnus rufescens,Pontine_and_reticulotegmental_nuclei_Vol.mm3,66.2,Ashwell,1
Aepyprymnus rufescens,Total_brain_net_volume_Vol.mm3,13783,Ashwell,1
Ailurus fulgens,CerebellarCortex_Vol.mm3,1255,Ashwell,1
Ailurus fulgens,CerebellarHemisphere_Vol.mm3,625,Ashwell,1
Ailurus fulgens,CerebellarVermis_Vol.mm3,559,Ashwell,1
Ailurus fulgens,Cerebellar_nuclei_total_Vol.mm3,69.8,Ashwell,1
Ailurus fulgens,Cerebellum_Vol.mm3,1649,Ashwell,1
Ailurus fulgens,Cerebellum_grey_matter_Vol.mm3,3970,Bush,1
Ailurus fulgens,Cerebellum_white_matter_Vol.mm3,712,Ashwell; Bush,2
Ailurus fulgens,FlocculonodularLobe_Vol.mm3,70.8,Ashwell,1
Ailurus fulgens,Neocortex_Vol.mm3,20070,Bush,1
Ailurus fulgens,Neocortex_grey_matter_Vol.mm3,13810,Bush,1
Ailurus fulgens,Neocortex_white_matter_Vol.mm3,6250,Bush,1
Ailurus fulgens,Pontine_and_reticulotegmental_nuclei_Vol.mm3,48.7,Ashwell,1
Ailurus fulgens,Total_brain_net_volume_Vol.mm3,24352.5,Ashwell; Bush,2
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,84,Zilles,1
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,42,Zilles,1
Alouatta caraya,Body_Mass.g,6420,Zilles,1
Alouatta caraya,Brain_Mass.mg,55.8,Zilles,1
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,282,Zilles,1
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,141,Zilles,1
Alouatta caraya,Granular_insular_cortex_Vol.mm3,178,Zilles,1
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,89,Zilles,1
Alouatta caraya,Insula_Vol.mm3,544,Zilles,1
Alouatta caraya,Insula_left_Vol.mm3,272,Zilles,1
Alouatta caraya,Total_brain_net_volume_Vol.mm3,53861,Zilles,1
Alouatta palliata,Area_striata_grey_matter_Vol.mm3,1860,Bush,1
Alouatta palliata,CerebellarCortex_Vol.mm3,3462,Ashwell,1
Alouatta palliata,CerebellarHemisphere_Vol.mm3,2203,Ashwell,1
Alouatta palliata,CerebellarVermis_Vol.mm3,1202,Ashwell,1
Alouatta palliata,Cerebellar_nuclei_total_Vol.mm3,107,Ashwell,1
Alouatta palliata,Cerebellum_Vol.mm3,4280,Ashwell,1
Alouatta palliata,Cerebellum_grey_matter_Vol.mm3,3320,Bush,1
Alouatta palliata,Cerebellum_white_matter_Vol.mm3,880,Ashwell; Bush,2
Alouatta palliata,Corpus_geniculatum_laterale_Vol.mm3,90,Bush,1
Alouatta palliata,FlocculonodularLobe_Vol.mm3,53.5,Ashwell,1
Alouatta palliata,Neocortex_Vol.mm3,28560,Bush,1
Alouatta palliata,Neocortex_grey_matter_Vol.mm3,17233.333333333332,Bush,1
Alouatta palliata,Neocortex_white_matter_Vol.mm3,11473.333333333334,Bush,1
Alouatta palliata,Pontine_and_reticulotegmental_nuclei_Vol.mm3,157,Ashwell,1
Alouatta palliata,Total_brain_net_volume_Vol.mm3,38888.5,Ashwell; Bush,2
Alouatta seniculus,AccessoryOlfactoryBulb_Vol.mm3,0.595,Stephan_collection,1
Alouatta seniculus,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.049,Stephan_collection,1
Alouatta seniculus,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.19,Stephan_collection,1
