Table IX. Volumes of visua l cortex  (area striata) and  lateral geniculate  body (mm 3)  in  primates,,,,
"Code      
number                                                   ber of     stria ta     genicu-                number                                                   ber of     striata     genicu-             V,;I",Species                                     ,Number_of_individuals,Area_striata_visual_cortex,Corpus_geniculatum_laterale
,,,27,28
,,,,
,,,,
102,Tupaia glis,2,167,11.5
106,Urvgale everetti,1,136,9.98
111,Cheirogaleus major,2,478,21.5
112,Cheirogaleus medius,2,217,10.8
114,Microcebus murinus,2,149,7.03
117,Lepilemur ruficaudatus,3,357,15.6
118,Lemur fulvus,2,1527,51.6
124,Lemur variegatus,1,2112,68.9
130,Avahi l. laniger,1,537,27.4
131,Avahi l. occidentalis,1,485,27.2
132,Propithecus verreauxi,1,1559,68.6
133,Indri indri,1,1738,99.6
136,Daubentonia madagasc.,1,1355,58.5
137,Loris tardigradus,1,588,24.6
138,Nycricebus coucang,1,823,37.3
139,Perodicticus potto,2,552,24.3
141,Galago crassicaudatus,1,571,22.1
142,Galago demidovii,2,237,10.9
143,Galago senegalensis,1,334,16
147,Tarsius sp.,2,370,20.8
,,,,
151,Callirhrix  jacchus,1,692,25.7
164,Saguinus oedipus,1,1003,33
165,Saguinus ramarin,1,1077,36.8
171,Aotus trivirgatus,1,1144,36
172,Callicebus moloch,1,1502,53.2
174,Pithecia monacha,1,2154,72.3
179,Alouatta sp.,1,2374,85.7
184,Ateles geolfroyi,1,4738,151
186,Lagothrix lagotricha,1,6288,149
191,Cebus sp.,2,4690,137
192,Saimiri sciureus,1,2326,62.9
202,Macaca mulatta,1,6586,158
209,Cercocebus albigena,1,6831,182
227,Cercopithecus mitis,1,5274,150
231,Cercopithecus ascan.,1,5152,147
232,Cercopithecus talap.,1,3046,116
246,Colobus badius,2,3984,128
277,Pan troglodytes,1,14691,356
279,Gorilla gorilla,1,15185,384
280,Homo sapiens sapiens,1,22866,416
,,,,
,,,,
27:  Included is the underlying white matter.,,,,
