Species,Species_Frahm1982,Neocortex_1982,Neocortex_grey_matter,Neocortex_lam_1,Neocortex_lam_2_6,Neocortex_white_matter,Number_of_individuals_neocortex
AAAA_Anatomy_code,,,,,,,
AAAA_Reference,Frahm_1982,Frahm_1982,Frahm_1982,Frahm_1982,Frahm_1982,Frahm_1982,Frahm_1982
Alouatta caraya,,,,,,,
Alouatta seniculus,Alouatta sp.,31660,21791,"2,918","18,874",9869,1
Aotus trivirgatus,Aotus trivirgatus,9950,7776,"1,039","6,737",2174,1
Atelerix algirus,Erinaceus algirus,500.3,436.7,117,319.7,63.6,1
Ateles geoffroyi,,,,,,,
Avahi laniger,,,,,,,
Avahi occidentalis,Avahi laniger occidentalis,4443,3666,582.7,"3,083",777,1
Blarina brevicauda,,,,,,,
Callicebus moloch,,,,,,,
Callimico goeldii,,,,,,,
Callithrix jacchus,Callithrix jacchus,4371,3564,441.8,"3,122",807.1,1
Callithrix pygmaea,Cebuella pygmaea,2534,2139,223.7,"1,915",395.3,1
Cebus albifrons,Cebus sp.,46429,30630,"3,607","27,023",15799,1
Cercocebus agilis,,,,,,,
Cercopithecus ascanius,Cercopithecus ascanius,45166,32114,"4,009","28,104",13052,1
Cercopithecus mitis,,,,,,,
Cheirogaleus major,,,,,,,
Cheirogaleus medius,,,,,,,
Chrysochloris asiatica,,,,,,,
Chrysochloris stuhlmanni,,,,,,,
Colobus angolensis,,,,,,,
Crocidura flavescens,Crocidura flavescens,59.11,54.12,16.15,37.97,4.99,1
Crocidura hildegardeae,,,,,,,
Crocidura jacksoni,,,,,,,
Crocidura russula,Crocidura russula,25.46,23.98,6.872,17.1,1.487,1
Daubentonia madagascariensis,Daubentonia madagascar.,22127,17074,"2,738","14,336",5053,1
Desmana moschata,,,,,,,
Echinops telfairi,Echinops telfairi,51.46,46.23,15.25,30.98,5.224,1
Echinosorex gymnura,,,,,,,
Elephantulus fuscipes,,,,,,,
Erinaceus europaeus,Erinaceus europaeus,522.5,454.1,129.1,325,68.35,1
Erythrocebus patas,,,,,,,
Eulemur fulvus,Lemur albifrons,12207,9172,"1,298","7,874",3035,1
Galago senegalensis,,,,,,,
