Species,Species_Stephan1982,Bulbus_olfactorius_accessorius_1982,Bulbus_olfactorius_accessorius_layers_1_2,Bulbus_olfactorius_accessorius_layers_3_5,Bulbus_olfactorius_accessorius_layers_6,Number_of_individuals_Bulbus_olfactorius_accessorius
AAAA_Anatomy_code,,total_AOB,AOB_layers_1+2,AOB_layers_3-5,AOB_layers_6,
AAAA_Reference,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982
Alouatta caraya,,,,,,
Alouatta seniculus,Alouatta sp.,0.595,0.19,0.356,0.049,2
Aotus trivirgatus,Aotus trivirgatus,0.222,0.086,0.126,0.01,3
Atelerix algirus,Erinaceus algirus,1.934,0.676,0.75,0.508,2
Ateles geoffroyi,Ateles geoffroyi,2.189,0.85,0.969,0.37,1
Avahi laniger,Avahi laniger lan.,3.013,0.816,1.489,0.708,2
Avahi occidentalis,Avahi laniger occ.,2.553,0.828,1.244,0.481,2*
Blarina brevicauda,,,,,,
Callicebus moloch,Callicebus moloch,0.325,0.09,0.216,0.019,2*
Callimico goeldii,Callimico goeldii,0.512,0.166,0.312,0.034,1
Callithrix jacchus,Callithrix jacchus,0.326,0.111,0.165,0.05,3
Callithrix pygmaea,Cebuella pygmaea,0.386,0.128,0.211,0.047,2
Cebus albifrons,Cebus sp.,0.667,0.323,0.277,0.067,2*
Cercocebus agilis,,,,,,
Cercopithecus ascanius,,,,,,
Cercopithecus mitis,,,,,,
Cheirogaleus major,Cheirogaleus major,4.043,1.39,1.578,1.075,2
Cheirogaleus medius,Cheirogaleus medius,2.663,0.844,1.023,0.796,2
Chrysochloris asiatica,Chrysochloris asiat.,0.132,0.037,0.078,0.017,1
Chrysochloris stuhlmanni,Chrysochl. stuhlm.,0.204,0.067,0.109,0.028,2*
Colobus angolensis,,,,,,
Crocidura flavescens,Crocidura flavesc.,0.221,0.085,0.095,0.041,2
Crocidura hildegardeae,,,,,,
Crocidura jacksoni,,,,,,
Crocidura russula,Crocidura russula,0.043,0.012,0.024,0.007,2•
Daubentonia madagascariensis,Daubentonia madagas.,8.311,2.945,3.469,1.897,1
Desmana moschata,Desmana moschata,0.218,0.096,0.092,0.03,1
Echinops telfairi,Echinops telfairi,0.249,0.111,0.105,0.033,2*
Echinosorex gymnura,,,,,,
Elephantulus fuscipes,Elephantulus fuscip.,0.662,0.142,0.341,0.179,2
Erinaceus europaeus,Erinaceus europaeus,1.943,0.634,0.932,0.377,2*
Erythrocebus patas,,,,,,
Eulemur fulvus,Lemur albifrons,3.211,0.769,1.318,1.124,3
Galago senegalensis,Galago senegalensis,2.577,0.685,1.204,0.688,1
Galagoides demidoff,Galagoides demid.,1.259,0.247,0.518,0.494,2*
Galemys pyrenaicus,Galemys pyrenaicus,0.206,0.05,0.128,0.028,2
Gorilla sp.,,,,,,
