Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Amygdala,Area_striata,Body_weight,Brain_weight,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Capsula_interna,Cerebellum,Complexus_centromedialis,Complexus_corticobasolateralis,Complexus_vestibularis,Corpus_geniculatum_laterale,Corpus_pineal,Corpus_subcommissurale,Corpus_subfornicale,Diencephalon,Epithalamus,Hippocampus,Hypothalamus,Lobus_piriformis,Medulla_oblongata,Meninges_hypophysis_nerves_etc.,Mesencephalon,Neocortex,Nucleus_amygdalae_basalis_pars_magnocellularis,Nucleus_habenularis_medialis,Nucleus_septalis_triangularis,Nucleus_subthalamicus,Nucleus_tractus_olfactorius,Nucleus_vestibularis_descendens,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_superior,Number_of_individuals_27_to_28,Number_of_individuals_1_to_18,Number_of_individuals_19_to_26,Number_of_individuals_29_to_34,Number_of_individuals_35_to_39,Number_of_individuals_40_to_44,Palaeocortex,Pallidum,Schizo_cortex,Septum,Striatum,Subthalamus,Telencephalon,Thalamus,Total_brain_net_volume,Tractus_opticus,Ventricles,Bulbus_olfactorius_accessorius_1982,Bulbus_olfactorius_accessorius_layers_1_2,Bulbus_olfactorius_accessorius_layers_3_5,Bulbus_olfactorius_accessorius_layers_6,Number_of_individuals_Bulbus_olfactorius_accessorius,Species_Stephan1982,code_Stephan1984,Corpus_geniculatum_laterale_1984,Corpus_geniculatum_laterale_1984_data.deviate.from.STEPHAN.et.al.1981,Number_of_individuals_Corpus_geniculatum_lateralis_1984,Species_Stephan1984,Amygdala_1987,Complexus_centromedialis_1987,Complexus_corticobasolateralis_1987,Nucleus_amygdalae_basalis_pars_magnocellularis_1987,Nucleus_tractus_olfactorius_1987,Species_Stephan1987,Species_Zilles1988
AAAA_Anatomy_code,,,,,,,30_(=31+33),27,1,2,11,12,25,7,31,33,35_(=36-39),28,43,44,41,9,19,17,21,13,6,4,8,18,34,42,40,24,32,39,37,38,36,Stephan1981,Stephan1981,Stephan1981,Stephan1981,Stephan1981,Stephan1981,29,23,16,14,15,22_(=23+24),10_(=11-18),20,5_(=6-10),26,3,total_AOB,AOB_layers_1+2,AOB_layers_3-5,AOB_layers_6,,,,CGL,,,,AMY,MAM,LAM,MCB,NTO,,
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Zilles_1988
Alouatta caraya,,,,,6420,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta seniculus,426,Stephan_1987,1918,deSousa_2010,"6,400",Stephan_1981,413,2374,"6,400","52,000",41.4,0.595,,"5,699",94.9,318,,85.7,0.254,0.402,0.372,"3,344",,"1,320",,827,"1,593",568,986,"31,660",30.7,3.3,1.72,,0,,,,,1,2,,1,,1,488,,510,200,"2,829",,37388,,"49,009",,616,0.595,0.19,0.356,0.049,2,Alouatta sp.,3366,87.4,87.4,1,Alouatta spp.,426,101.7,324.3,31.4,0,Alouatta seniculus,
Aotus trivirgatus,193.6,Stephan_1987,996,deSousa_2010,830,Stephan_1981,201,1144,830,"17,100",56,0.222,,"1,873",54.5,147,,36,1.55,0.14,0.162,"1,098",,539,,394,686,206,409,"9,950",15.7,3.21,0.964,,0.201,,,,,1,5,,1,,1,203,,243,83.8,862,,"12,128",,"16,195",,105,0.222,0.086,0.126,0.01,3,Aotus trivirgatus,3325,32.9,32.9,2,Aotus trivirgatus,193.6,56.6,136.9,14.6,0.21,Aotus trivirgatua,
Atelerix algirus,101.3,Stephan_1987,,,790,Stephan_1981,,,790,"3,200",285,1.93,,358,,,,,0.297,0.0222,0.0621,246,,227,,459,336,109,153,500,,0.93,1.18,,,,,,,,3,,,,1,,,109,42.9,140,,"1,766",,"2,859",,121,1.934,0.676,0.75,0.508,2,Erinaceus algirus,689,5.02,,1,Aethechinus algirus,101.3,45.9,55.4,7.5,3.1,Erinaceus algirus,
Ateles geoffroyi,868.8,Stephan_1987,3753,deSousa_2010,"8,000",Stephan_1981,,4738,"8,000","108,000",90.4,2.19,570,"12,438",,,49.7,151,3.1,0.608,0.443,"5,334",30.5,"1,366",629,"1,625","1,834","1,824","1,482","70,856",,7.29,3.18,52.8,,11.9,6.81,23.8,7.2,1,1,1,,1,2,,807,732,324,"4,950",860,"79,946","2,930","101,034",204,"1,389",2.189,0.85,0.969,0.37,1,Ateles geoffroyi,3371,151,,1,Ateles geoffroyi,868.8,224.3,644.5,74.7,0,Ateles geoffroyi,
Avahi laniger,113.2,Stephan_1987,475,Frahm_1984,"1,285",Stephan_1981,,537,"1,285","10,490",89.2,3.01,,"1,489",,,,27.4,0.7,0.14,0.116,862,,526,,284,553,156,343,"4,813",,2.21,1.29,,,,,,,1,2,,,,1,,,241,69.7,524,,"6,550",,"9,798",,172,3.013,0.816,1.489,0.708,2,Avahi laniger lan.,3243,27.6,27.6,1,Avahi l. laniger,113.2,39.5,73.8,5.4,1.1,Avahi l. laniger,
Avahi occidentalis,121.1,Stephan_1987,450,Frahm_1984,860,Stephan_1981,,485,860,"9,670",70.1,2.55,105,"1,383",,,18.1,27.2,0.652,0.0942,0.188,861,6.52,476,137,265,508,137,345,"4,443",,2.04,0.988,5.94,,4.81,3.32,6.86,3.1,1,2,2,,2,1,,74.5,222,69.3,478,80.5,"6,026",489,"9,124",38.3,73.7,2.553,0.828,1.244,0.481,2*,Avahi laniger occ.,3244,29.3,29.3,2,Avahi l. occidentalis,121.1,34.6,86.5,6.4,0.27,Avahi l. occidentalis,
Blarina brevicauda,10.9,Stephan_1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,5,5.9,0.89,0.45,Blarina brevicauda,
