Species,Species_desousa2010,Number_of_individuals_Total_brain_net_volume_10,Total_brain_net_volume_10,Number_of_individuals_Neocortex_10,Neocortex_10,Number_of_individuals_Area_striata_10,Area_striata_10,Number_of_individuals_Corpus_geniculatum_laterale_10,Corpus_geniculatum_laterale_10
AAA_anatomy_desousa2010,desousa_2010,desousa_2010,mm3,desousa_2010,mm3,desousa_2010,mm3,desousa_2010,mm3
AAA_anatomy,desousa_2010,N,Brain vol.,N,Neo. vol.,N,V1 vol.,N,LGN vol.
Homo sapiens,Homo sapiens,10,1258397.7,2,991000,10,15247.5,10,335
Pan troglodytes,Pan troglodytes,7,319670.7,4,264650,7,8268.3,4,250.7
Pan paniscus,Pan paniscus,3,338803.1,2,246700,3,11606.5,3,275.1
Gorilla gorilla,Gorilla gorilla,2,398648.6,2,283700,2,9129,2,308.5
Pongo pygmaeus,Pongo pygmaeus,3,371299.9,3,269233.3,3,8233.7,3,259.1
Hylobates lar,Hylobates lar,2,102316.6,2,68300,2,4086.7,2,166.2
Symphalangus syndactylus ,Symphalangus syndactylus ,1,133880.3,,,1,5468.9,,
Macaca fascicularis,Macaca fascicularis,1,55598.5,,,1,2713.3,1,91.9
Macaca mulatta,Macaca mulatta,1,89768.3,1,63482,1,5343,1,158
Lophocebus albigena,Lophocebus albigena,1,100386.1,1,68733,1,5420,1,182
Papio anubis,Papio anubis,2,194015.4,2,140142,1,10001,1,395
Cercopithecus ascanius,Cercopithecus ascanius,1,64671.8,1,45166,1,4272,1,147
Cercopithecus mitis,Cercopithecus mitus,1,72393.8,1,49933,1,4232,1,150
Miopithecus talapoin,Miopithecus talapoin,2,38610,2,26427,1,2339,1,109
Procolobus badius,Procolobus badius,2,75289.6,2,50906,2,3053,2,128
Callithrix jacchus,Callithrix jacchus,4,7335.9,4,4371,2,566,2,25.1
Cebuella pygmaea,Cebuella pygmaea,2,4343.6,2,2535,1,363,1,16.9
Saguinus midas,Sanguinus midas,2,9942.1,2,5883,1,841,1,36
Saguinus oedipus,Sanguinus oedipus,3,9652.5,3,5894,1,807,1,34.2
Cebus albifrons,Cebus albifrons,2,68532.8,2,46429,2,3764,2,137
Aotus trivirgatus,Aotus trivirgatus,5,16505.8,5,9950,2,996,2,32.9
Callicebus moloch,Callicebus moloch,2,18339.8,2,11163,1,1201,1,54.2
Saimiri sciureus,Saimiri sciureus,1,23166,1,15541,1,1884,1,62.9
Pithecia monachus,Pithecia monachus,2,33783.8,2,21028,1,1679,1,76.3
Alouatta seniculus,Alouatta seniculus,2,50193.1,2,31660,1,1918,1,87.4
Ateles geoffroyi,Ateles geoffroyi,1,104247.1,1,70856,1,3753,1,151
Lagothrix lagothricha,Lagothix lagathricha,3,97490.3,3,65873,1,4856,1,164
Tarsius sp.,Tarsius syrichta,2,3474.9,2,1768,2,349,2,20.8
Microcebus murinus,Microcebus murinus,6,1718.1,6,740,5,136,5,7.1
Cheirogaleus major,Cheirogaleus major,2,6563.7,2,2938,2,433,2,21.5
Cheirogaleus medius,Cheirogaleus medius,2,3030.9,2,1221,2,199,2,10.8
Eulemur albifrons,Eulemur fulvus,3,22490.3,3,12207,2,1253,2,51.8
Varecia variegata,Varecia variegata,1,30405.4,1,15293,1,1745,1,68.9
Lepilemur ruficaudatus,Lepilemur ruficaudatus,3,7335.9,3,3282,3,326,3,15.6
Avahi laniger,Avahi laniger,4,9597.8,4,4813,3,458.3,3,28.7
Propithecus verreauxi,Propithecus verreauxi,2,25772.2,2,13170,2,1106,2,64.5
Indri indri,Indri indri,2,36969.1,2,20114,2,1648,2,94.5
Daubentonia madagascariensis,Daubentonia madagascariensis,1,43581.1,1,22127,1,1113,1,58.5
Loris tardigradus,Loris tardigradus,1,6370.7,1,3524,1,529,1,24.6
Nycticebus coucang,Nycticebus coucang,2,12065.6,2,6192,1,696,1,35.9
Perodicticus potto,Perodicticus potto,2,13513.5,2,6683,2,495,2,24.3
Galago senegalensis,Galago senegalensis,1,4633.2,1,2139,1,301,1,16
Otolemur crassicaudatus,Otolemur crassicaudatus,2,9942.1,2,4723,1,479,1,23.2
Galagoides demidoff,Galagoides demidoff,2,3262.5,2,1568,2,214,2,10.9
