Stephan1984,Order,New_Code,Stephan_Species,Corpus gen lat CGL mm3 (10),Corpus gen lat n (11),CGL data deviate from  STEPHAN et al. (1981)+
Stephan1985,Insectivora,577,Tenrec ecaudatus,1.46,1,
Stephan1986,Insectivora,579,Setifer setosus,1.05,1,
Stephan1987,Insectivora,581,Hemicentetes semispinosus,0.37,1,
Stephan1988,Insectivora,585,Echinops telfairi,0.37,1,
Stephan1989,Insectivora,689,Erinaceus algirus,5.02,1,
Stephan1990,Insectivora,695,Erinaceus europaeus,3.9,1,
Stephan1991,Insectivora,701,Hemiechinus auritus,_,_,
Stephan1992,Insectivora,715,Sorex araneus,0.07,1,
Stephan1993,Insectivora,769,Sorex minutus,0.06,1,
Stephan1994,Insectivora,839,Neomys fodiens,_,_,
Stephan1995,Insectivora,943,Crocidura flavescens,0.28,1,
Stephan1996,Insectivora,952,Crocidura giffardi,_,_,
Stephan1997,Insectivora,1071,Crocidura russula,0.08,1,
Stephan1998,Insectivora,1085,Crocidura suaveolens,_,_,
Stephan1999,Insectivora,1137,Suncus murinus,0.18,1,
Stephan2000,Insectivora,1205,Desmana moschata,_,_,
Stephan2001,Insectivora,1207,Galemys pyrenaicus,_,_,
Stephan2002,Insectivora,1215,Talpa europaea,_,_,
Stephan2003,Scandentia,1263,Tupaia glis,12.9,4,12.9+
Stephan2004,Scandentia,1269,Tupaia minor,9.88,2,
Stephan2005,Scandentia,1289,Urogale everetti,9.98,1,
Stephan2006,Prosimians,3199,Microcebus murinus,7.07,5,7.07+
Stephan2007,Prosimians,3203,Cheirogaleus major,21.5,2,
Stephan2008,Prosimians,3205,Cheirogaleus medius,10.8,2,
Stephan2009,Prosimians,3209,Phaner furcifer,_,_,
Stephan2010,Prosimians,3211,Lemur catta,_,_,
Stephan2011,Prosimians,3215,Lemur albifrons,7.07,2,7.07+
Stephan2012,Prosimians,3227,Varecia variegata,68.9,1,
Stephan2013,Prosimians,3239,Lepilemur ruficaudatus,15.6,3,
Stephan2014,Prosimians,3243,Avahi l. laniger,27.6,1,27.6+
Stephan2015,Prosimians,3244,Avahi I. occidentalis,29.3,2,29.3+
Stephan2016,Prosimians,3247,Propithecus verreauxi,64.5,2,64.5+
Stephan2017,Prosimians,3249,lndri indri,94.5,2,94.5+
Stephan2018,Prosimians,3251,Daubentonia madagascar.,58.5,1,
Stephan2019,Prosimians,3253,Loris tardigradus,24.6,1,
Stephan2020,Prosimians,3255,Nycticebus coucang,35.9,1,35.9+
Stephan2021,Prosimians,3259,Perodicticus potto,24.3,2,
Stephan2022,Prosimians,3265,Galago senegalensis,16,1,
Stephan2023,Prosimians,3267,Otolemur crassicaudatus,23.2,1,23.2+
Stephan2024,Prosimians,3275,Galagoides demidoff,10.9,2,
Stephan2025,Prosimians,3282,Tarsius sp.,20.8,2,
Stephan2026,Simians,3287,Callithrix jacchus,25.1,2,25.1+
Stephan2027,Simians,3311,Saguinus oedipus,34.2,1,34.2+
Stephan2028,Simians,3312,Saguinus oed. geoffroyi,_,_,
Stephan2029,Simians,3324,Cebus sp.,137,2,
Stephan2030,Simians,3325,Aotus trivirgatus,32.9,2,32.9+
Stephan2031,Simians,3327,Callicebus moloch,54.2,1,54.2+
Stephan2032,Simians,3333,Saimiri oerstedi,_,_,
Stephan2033,Simians,3335,Saimiri sciureus,62.9,1,
Stephan2034,Simians,3341,Pithecia monachus,76.3,1,76.3+
Stephan2035,Simians,3366,Alouatta spp.,87.4,1,87.4+
Stephan2036,Simians,3371,Ateles geoffroyi,151,1,
Stephan2037,Simians,3379,Lagothrix lagothricha,164,1,164+
Stephan2038,Simians,3387,Macaca fascicularis,_,_,
Stephan2039,Simians,3391,Macaca mulatta,158,1,
Stephan2040,Simians,3393,Macaca nemestrina,_,_,
Stephan2041,Simians,3407,Cercocebus albigena,182,1,
Stephan2042,Simians,3414,Cercocebus sp.,_,_,
Stephan2043,Simians,3415,Papio anubis,395,1,
Stephan2044,Simians,3421,Papio papio,_,_,
Stephan2045,Simians,3427,Mandrillus sphinx,_,_,
Stephan2046,Simians,3431,Cercopithecus aethiops,_,_,
Stephan2047,Simians,3433,Cercopithecus ascanius,147,1,
Stephan2048,Simians,3453,Cercopithecus mitis,150,1,
Stephan2049,Simians,3459,Cercopithecus nictitans,_,_,
Stephan2050,Simians,3468,Cercopithecus spec.,_,_,
Stephan2051,Simians,3469,Miopithecus talapoin,109,1,109+
Stephan2052,Simians,3473,Erythrocebus patas,_,_,
Stephan2053,Simians,3477,Colobus badius,128,2,
Stephan2054,Simians,3499,Nasalis larvatus,_,_,
Stephan2055,Simians,3501,Presbytis aygula,_,_,
Stephan2056,Simians,3503,Presbytis cristata,_,_,
Stephan2057,Simians,3527,Presbytis rubicundus,_,_,
Stephan2058,Simians,3539,Hylobates lar,175,1,
Stephan2059,Simians,3540,Hylobates moloch,_,_,
Stephan2060,Simians,3544,Hylobates spec.,_,_,
Stephan2061,Simians,3545,Pongo pygmaeus,_,_,
Stephan2062,Simians,3549,Pan troglodytes,356,1,
Stephan2063,Simians,3551,Gorilla gorilla,384,1,
Stephan2064,Simians,3553,Homo sapiens,416,1,
Stephan2065,Domestic and laboratory animals,3562,Canis familiaris,_,_,
Stephan2066,Domestic and laboratory animals,4010,Felis domestica,_,_,
Stephan2067,Domestic and laboratory animals,6918,Rattus norvegicus alba,_,_,
Stephan2068,Domestic and laboratory animals,7244,Mus musculus alba,_,_,
Stephan2069,Domestic and laboratory animals,7984,Oryctolagus cuniculus,_,_,
Stephan2070,Macroscelidea,7993,Elephantulus fuscipes,_,_,
Stephan2071,Macroscelidea,8011,Rhynchocyon cirnei,_,_,
