Species,Taxonomic_group,Taxonomic_group_2,BoW in g ,BrW in mg,n BoW,n BrW,Source of data
aa_description,,,Body weights,Brain weights,number of individuals,number of individuals,
,,,,,,,
,,,,,,,
Tenrec ecaudatus,Tenrecidae ,Tenrecinae,852,2588,11,13,
,,,,,,,
,,,,,,,
Setifer setosus,Tenrecidae ,Tenrecinae,237,1516,28,16,
,,,117,839,7,7,40
,,,113,,2,0,40
Hemicentetes semispin.,Tenrecidae ,Tenrecinae,116,839,9,7,
Echinops telfairi,Tenrecidae ,Tenrecinae,87.5,623,6,6,S
Geogale aurita,Tenrecidae ,Geogalinae,10,130,,,b)
Oryzorictes talpoides,Tenrecidae ,Oryzorictinae,44.2,580,1,1,40
Microgale dobsoni,Tenrecidae ,Oryzorictinae,31.9,557,3,3,S
,,,48.2,783,13,13,S
,,,48.2,693,4,3,S
M. talazaci,Tenrecidae ,Oryzorictinae,48.2,766,17,16,
Limnogale mergulus,Tenrecidae ,Oryzorictinae,92,1150,,,40
Potamogale velox,Tenrecidae ,Potamogalinae ,618,4152,13,13,S
Micropotamog. lamottei,Tenrecidae ,Potamogalinae ,64.2,800,,,57
,,,98.5,1134,4,4,S
,,,95,,4,0,30
M. ruwenzorii,Tenrecidae ,Potamogalinae ,96.8,1134,8,4,
Chrysochloris asiatica,Chrysochloridae,Chrysochloridae,49,700,1,1,S
,,,39.9,741,9,9,S
,,,45.3,,5,0,S
,,,41.8,741,14,9,
C. stuhlmanni,Chrysochloridae,Chrysochloridae,40.2,736,,,a)
mm,,,46,780,9,5,
ff,,,34.4,692,5,4,
,,,,,,,
,,,674,4795,4,4,"42,S"
,,,663,4580,1,2,S
Solenodon paradoxus ,Solenodontidae,Solenodontidae,672,4723,5,6,
,,,,,,,
,,,823,6208,2,2,S
,,,,5960,0,2,S
Echinosorex gymnurus,Erinaceidae,Echinosoricinae,823,6084,2,4,
Hylomys suillus,Erinaceidae,Echinosoricinae,57,1200,,,c)
Atelerix algirus,Erinaceidae,Erinaceinae,736,3264,7,7,S
Erinaceus europaeus,Erinaceidae,Erinaceinae,839,3378,21,21,"2,3,4,8,13,23,32,59,S"
,,,860,3300,16,3,"5,7,8,15,S"
,,,849,3367,35,22,
Hemiechinus auritus,Erinaceidae,Erinaceinae,235,1880,7,7,S
Desmana moschata,Talpidae,Desmaninae,443,4000,3,3,40
Galemys pyrenaicus,Talpidae,Desmaninae,61.1,1328,3,3,"26,40"
,,,59.6,1330,44,2,"26,40"
,,,59.7,1329,47,5,
Talpa europaea ,Talpidae,Talpinae,82.5,1016,11,11,"5,6,11,32,S"
,,,78,1055,1,3,
,,,82.1,1024,12,14,
T. micrura,Talpidae,Talpinae,41.4,816,1,1,S
Parascalops breweri,Talpidae,Talpinae,53.8,880,6,6,S
Scalopus aquaticus ,Talpidae,Talpinae,115,1310,1,1,S
Sorex alpinus ,Soricidae,Soricnae,10.3,259,4,4,S
,,,11.1,265,41,4,"50,S"
,,,11,262,45,8,
S. araneus ,Soricidae,Soricnae,8.5,205,40,40,"5,6,9,40,S"
,,,10.3,218,717,249,"12,15,17,19"
,,,10.2,216,757,289,"20,22,24,27,29,31,35,37,38,39,47,S"
Sorex cinereus ,Soricidae,Soricnae,4.2,174,29,29,"S,B"
,,,3.9,,28,0,"16,18,25,34,B"
,,,4.05,174,57,29,
,,,5.16,168,11,11,"S,B (definite adults)"
S. fumeus,Soricidae,Soricnae,8.4,241,5,2,"S,B"
S. minutus,Soricidae,Soricnae,4.11,120,11,11,S
,,,4.42,115,338,113,"1,12,17,21,28"
,,,4.41,115,349,124,"29,31,40,41,43,44,47"
S. palustris,Soricidae,Soricnae,14.6,278,1,1,B
Microsorex hoyi,Soricidae,Soricnae,2.63,96,7,7,"S,B"
Neomys anomalus,Soricidae,Soricnae,9.42,282,5,5,S
,,,11.8,,76,0,"17,47,48,53"
,,,11.6,282,81,5,
N. fodiens,Soricidae,Soricnae,15,327,17,17,S
,,,15.4,333,254,4,"15,17,29,31,"
,,,15.3,328,271,21,"36,41,43,47,48,49,53,S"
Blarina brevicauda ,Soricidae,Soricnae,18.2,397,42,42,"S,B"
,,,17.4,348,68,68,14 (preserved)
,,,19.3,,16,0,"7,16,34,B"
,,,17.9,367,126,110,
,,,19.7,393,7,7,"S,B (definite adults)"
Cryptotis parva,Soricidae,Soricnae,9.5,244,5,5,S
,,,10.3,248,4,1,S
,,,9.9,245,9,6,
Anourosorex squamipes,Soricidae,Soricnae,20,389,7,7,S
,,,20.5,,2,0,S
,,,20.1,389,9,7,
Crocidura attenuata,Soricidae,Crocidurinae,9.3,209,1,S,
C. flavescens,Soricidae,Crocidurinae,31.6,426,52,52,S
,,,34.3,394,58,7,"51,56,S"
,,,33,422,110,59,
mm + ff median,,,29.3,414,,,a)
mm,,,32.7,432,63,43,
ff,,,25.8,396,22,16,
C. giffardi,Soricidae,Crocidurinae,82,545,1,1,10
C. hildegardeae,Soricidae,Crocidurinae,9.1,213,9,9,S
,,,10.5,,41,0,"40,51,S"
,,,10.2,213,50,9,
C. jacksoni,Soricidae,Crocidurinae,10.3,250,1,1,S
,,,13.25,,4,0,S
,,,12.7,250,5,1,
C. leucodon,Soricidae,Crocidurinae,13.5,190,1,1,S
C. russula,Soricidae,Crocidurinae,11.4,195,24,24,"58,S"
,,,11,201,61,12,"22,54,55,56,"
,,,11.1,197,85,36,"58,F,S"
C. suaveolens,Soricidae,Crocidurinae,10.3,190,1,11,"F,S"
Suncus etruscus,Soricidae,Crocidurinae,2.07,62,6,6,"F,S"
,,,1.85,,194,0,"45,46,52,56"
,,,1.86,62,200,6,
S. murinus ,Soricidae,Crocidurinae,34.1,383,26,26,"33,S"
,,,37.6,449,6,1,"33,S"
,,,34.8,385,32,27,
mm + ff median,,,33.8,383,,,a)
mm,,,41.9,400,18,15,
ff,,,25.7,366,14,12,
Scutisorex somereni,Soricidae,Crocidurinae,58.9,640,4,4,S
,,,63.7,,70,0,51
,,,63.4,640,74,4,
Sylvisorex granti ,Soricidae,Crocidurinae,3.88,165,6,6,S
,,,3.9,,25,0,"51,H"
,,,3.9,165,31,6,
S. megalura,Soricidae,Crocidurinae,5.55,188,13,13,S
,,,5.47,,40,0,"40,51,56,S"
,,,5.49,188,13,,
Ruwenzorisorex suncoides,Soricidae,Crocidurinae,18.2,370,1,1,S
,,,18.5,358,1,1,S d)
Myosorex babaulti,Soricidae,Crocidurinae,17,360,1,1,S
,,,17,,12,0,51
,,,1,360,13,1,
,,,,,,,
,"Notes to Table 5:  In general there are 3 lines for each species. The first line includes all the pairs of body and brain weights we are aware of, the second line signle values (either body weights or brain weights), and the third line the combined data from the two preceding lines. If there are more than three lines, they include data of peserved material (as e.g. in Blarina), or data from definite adults (if appropriate). ",,,,,,
,"a) Median values between males and females are given in the case of statistically significant sex differences (99% for oW, P < .01; 95% for BrW, P < .05)",,,,,,
,"b) From Geogale aurita only secondary inferred data, taken from RehkŠmper et al. (1986), are available (see text).",,,,,,
,"c) From Hylomys suillus we have only one brain of a juvenile animal (BoW 31.4g, BrW 957 mg). Its brain was used to measure the brain composition. Based on BoW data of Miller (1942), Rudd (1965), Harrison (1966), Lim and Heyneman (1968) and Medway (1969) adults have a BoW od about 7g. based on cranial capacities (n = 7) the expected brain weight is 1200mg. ",,,,,,
,"d) In the second line of Ruwenzorisorex suncoides a specimen of uncertain determination is listed, which in Fons et al. (1984) was designated as Sylvisorex (lunaris?). According to its BrW it may have been a Ruwenzorisorex suncoides. ",,,,,,
