reference,species,region,measure,value,units,weighting
Kaufman_2004,Canis,Whole Brain,CBF,30.8,mL/100g/min,weighted
Kaufman_2004,Capra,Whole Brain,CBF,77,mL/100g/min,weighted
Kaufman_2004,Equus,Whole Brain,CBF,64.27,mL/100g/min,weighted
Kaufman_2004,Homo,Basal Ganglia,CBF,43.54,mL/100g/min,weighted
Kaufman_2004,Homo,Cerebellum,CBF,56.99,mL/100g/min,weighted
Kaufman_2004,Homo,Cortex,CBF,43.98,mL/100g/min,weighted
Kaufman_2004,Homo,Hippocampus,CBF,48.96,mL/100g/min,weighted
Kaufman_2004,Homo,Thalamus,CBF,54.15,mL/100g/min,weighted
Kaufman_2004,Homo,White Matter,CBF,23.62,mL/100g/min,weighted
Kaufman_2004,Homo,Whole Brain,CBF,53.25,mL/100g/min,weighted
Kaufman_2004,Lepus,Whole Brain,CBF,48,mL/100g/min,weighted
Kaufman_2004,Macaca,Basal Ganglia,CBF,60.5,mL/100g/min,weighted
Kaufman_2004,Macaca,Cerebellum,CBF,47.8,mL/100g/min,weighted
Kaufman_2004,Macaca,Cortex,CBF,53,mL/100g/min,weighted
Kaufman_2004,Macaca,Hippocampus,CBF,53.9,mL/100g/min,weighted
Kaufman_2004,Macaca,Whole Brain,CBF,67.33,mL/100g/min,weighted
Kaufman_2004,Meriones,Basal Ganglia,CBF,99.29,mL/100g/min,weighted
Kaufman_2004,Meriones,Cerebellum,CBF,93,mL/100g/min,weighted
Kaufman_2004,Meriones,Cortex,CBF,103.03,mL/100g/min,weighted
Kaufman_2004,Meriones,Hippocampus,CBF,109,mL/100g/min,weighted
Kaufman_2004,Meriones,Thalamus,CBF,117,mL/100g/min,weighted
Kaufman_2004,Meriones,White Matter,CBF,62,mL/100g/min,weighted
Kaufman_2004,Meriones,Whole Brain,CBF,102,mL/100g/min,weighted
Kaufman_2004,Mus,Whole Brain,CBF,117,mL/100g/min,weighted
Kaufman_2004,Ovis,Whole Brain,CBF,62.01,mL/100g/min,weighted
Kaufman_2004,Rattus,Basal Ganglia,CBF,119.33,mL/100g/min,weighted
Kaufman_2004,Rattus,Cerebellum,CBF,112.57,mL/100g/min,weighted
Kaufman_2004,Rattus,Cortex,CBF,145.58,mL/100g/min,weighted
Kaufman_2004,Rattus,Hippocampus,CBF,94,mL/100g/min,weighted
Kaufman_2004,Rattus,Thalamus,CBF,129.92,mL/100g/min,weighted
Kaufman_2004,Rattus,White Matter,CBF,35,mL/100g/min,weighted
Kaufman_2004,Rattus,Whole Brain,CBF,103.08,mL/100g/min,weighted
Kaufman_2004,Sus,Basal Ganglia,CBF,102.6,mL/100g/min,weighted
Kaufman_2004,Sus,Cerebellum,CBF,88.8,mL/100g/min,weighted
Kaufman_2004,Sus,Cortex,CBF,108.2,mL/100g/min,weighted
Kaufman_2004,Sus,Thalamus,CBF,76.8,mL/100g/min,weighted
Kaufman_2004,Sus,White Matter,CBF,33.6,mL/100g/min,weighted
Kaufman_2004,Canis,Whole Brain,CMRO2,205.4,umol_O2/100g/min,weighted
Kaufman_2004,Capra,Whole Brain,CMRO2,182.5,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Basal Ganglia,CMRO2,156.16,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Cerebellum,CMRO2,180.09,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Cingulate Cortex,CMRO2,132.9,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Cortex,CMRO2,143.74,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Frontal Cortex,CMRO2,149.07,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Hippocampus,CMRO2,137.05,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Occipital Cortex,CMRO2,165.2,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Parietal Cortex,CMRO2,148.41,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Sensorimotor Cortex,CMRO2,152.69,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Temporal Cortex,CMRO2,148.91,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Thalamus,CMRO2,161.66,umol_O2/100g/min,weighted
Kaufman_2004,Homo,White Matter,CMRO2,75.68,umol_O2/100g/min,weighted
Kaufman_2004,Homo,Whole Brain,CMRO2,155.44,umol_O2/100g/min,weighted
Kaufman_2004,Lepus,Whole Brain,CMRO2,205.4,umol_O2/100g/min,weighted
Kaufman_2004,Macaca,Basal Ganglia,CMRO2,255,umol_O2/100g/min,weighted
Kaufman_2004,Macaca,Whole Brain,CMRO2,214.93,umol_O2/100g/min,weighted
Kaufman_2004,Ovis,Whole Brain,CMRO2,217.93,umol_O2/100g/min,weighted
Kaufman_2004,Rattus,Cortex,CMRO2,464.3,umol_O2/100g/min,weighted
Kaufman_2004,Rattus,Whole Brain,CMRO2,429.41,umol_O2/100g/min,weighted
Kaufman_2004,Sus,Cortex,CMRO2,341.96,umol_O2/100g/min,weighted
Kaufman_2004,Canis,Whole Brain,CMRgl,44.5,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Basal Ganglia,CMRgl,55.87,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Cerebellum,CMRgl,31.5,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Cingulate Cortex,CMRgl,47,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Cortex,CMRgl,66.47,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Frontal Cortex,CMRgl,49,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Hippocampus,CMRgl,50.55,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Occipital Cortex,CMRgl,58,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Parietal Cortex,CMRgl,45,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Temporal Cortex,CMRgl,46,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,Thalamus,CMRgl,75.44,umol_glucose/100g/min,weighted
Kaufman_2004,Felis,White Matter,CMRgl,12,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Auditory Cortex,CMRgl,40.56,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Basal Ganglia,CMRgl,37.63,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Cerebellum,CMRgl,33.91,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Cingulate Cortex,CMRgl,39.19,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Cortex,CMRgl,36.78,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Frontal Cortex,CMRgl,37.34,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Hippocampus,CMRgl,29.25,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Occipital Cortex,CMRgl,38.01,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Parietal Cortex,CMRgl,37.15,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Sensorimotor Cortex,CMRgl,36.79,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Temporal Cortex,CMRgl,34.23,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Thalamus,CMRgl,37.41,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,White Matter,CMRgl,18.06,umol_glucose/100g/min,weighted
Kaufman_2004,Homo,Whole Brain,CMRgl,29.98,umol_glucose/100g/min,weighted
Heiss_etal_2004,Homo sapiens,Basal forebrain,CMRgl,21.4,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Capsula interna,CMRgl,25.5,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Caudatum,CMRgl,32.6,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Centrum semiovale,CMRgl,12.3,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Cerebellar cortex,CMRgl,29.8,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Cerebral cortex (global average),CMRgl,33.5,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Colliculus inferior,CMRgl,31.4,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Colliculus superior,CMRgl,24.4,umol_glucose/100g/min,NA
Heiss_etal_2004,Homo sapiens,Corpus amygdaloideum,CMRgl,22.2,umol_glucose/100g/min,NA
