Species,Region,Measure,Units,Value,Teams,n_teams,Volume_term
Canis,Whole_brain,CBF,mL/100g/min,30.8,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Canis,Whole_brain,CMRO2,umol/100g/min,205.4,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Canis,Whole_brain,CMRgl,umol/100g/min,44.5,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Capra,Whole_brain,CBF,mL/100g/min,77,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Capra,Whole_brain,CMRO2,umol/100g/min,182.5,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Equus,Whole_brain,CBF,mL/100g/min,64.27,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Felis,Basal_ganglia,CMRgl,umol/100g/min,55.87,Kaufman_2004,1,NA
Felis,Cerebellum,CMRgl,umol/100g/min,31.5,Kaufman_2004,1,Cerebellum_Vol.mm3
Felis,Cingulate_cortex,CMRgl,umol/100g/min,47,Kaufman_2004,1,NA
Felis,Frontal_cortex,CMRgl,umol/100g/min,49,Kaufman_2004,1,NA
Felis,Hippocampus,CMRgl,umol/100g/min,50.55,Kaufman_2004,1,Hippocampus_Vol.mm3
Felis,Neocortex,CMRgl,umol/100g/min,66.47,Kaufman_2004,1,Neocortex_Vol.mm3
Felis,Occipital_cortex,CMRgl,umol/100g/min,58,Kaufman_2004,1,NA
Felis,Parietal_cortex,CMRgl,umol/100g/min,45,Kaufman_2004,1,NA
Felis,Temporal_cortex,CMRgl,umol/100g/min,46,Kaufman_2004,1,NA
Felis,Thalamus,CMRgl,umol/100g/min,75.44,Kaufman_2004,1,Thalamus_Vol.mm3
Felis,White_matter,CMRgl,umol/100g/min,12,Kaufman_2004,1,NA
Homo sapiens,Amygdala,CMRgl,umol/100g/min,22.2,Heiss_etal_2004,1,Amygdala_Vol.mm3
Homo sapiens,Auditory_cortex,CMRgl,umol/100g/min,40.56,Kaufman_2004,1,NA
Homo sapiens,Basal_forebrain,CMRgl,umol/100g/min,21.4,Heiss_etal_2004,1,NA
Homo sapiens,Basal_ganglia,CBF,mL/100g/min,43.54,Kaufman_2004,1,NA
Homo sapiens,Basal_ganglia,CMRO2,umol/100g/min,156.16,Kaufman_2004,1,NA
Homo sapiens,Basal_ganglia,CMRgl,umol/100g/min,37.63,Kaufman_2004,1,NA
Homo sapiens,Capsula_interna,CMRgl,umol/100g/min,25.5,Heiss_etal_2004,1,NA
Homo sapiens,Caudate_nucleus,CMRgl,umol/100g/min,32.6,Heiss_etal_2004,1,NA
Homo sapiens,Centrum_semiovale,CMRgl,umol/100g/min,12.3,Heiss_etal_2004,1,NA
Homo sapiens,Cerebellar_cortex,CMRgl,umol/100g/min,29.8,Heiss_etal_2004,1,NA
Homo sapiens,Cerebellum,CBF,mL/100g/min,56.99,Kaufman_2004,1,Cerebellum_Vol.mm3
Homo sapiens,Cerebellum,CMRO2,umol/100g/min,180.09,Kaufman_2004,1,Cerebellum_Vol.mm3
Homo sapiens,Cerebellum,CMRgl,umol/100g/min,33.91,Kaufman_2004,1,Cerebellum_Vol.mm3
Homo sapiens,Cingulate_cortex,CMRO2,umol/100g/min,132.9,Kaufman_2004,1,NA
Homo sapiens,Cingulate_cortex,CMRgl,umol/100g/min,39.19,Kaufman_2004,1,NA
Homo sapiens,Colliculus_inferior,CMRgl,umol/100g/min,31.4,Heiss_etal_2004,1,NA
Homo sapiens,Colliculus_superior,CMRgl,umol/100g/min,24.4,Heiss_etal_2004,1,NA
Homo sapiens,Corpus_geniculatum_laterale,CMRgl,umol/100g/min,23.1,Heiss_etal_2004,1,Corpus_geniculatum_laterale_Vol.mm3
Homo sapiens,Corpus_geniculatum_mediale,CMRgl,umol/100g/min,20.2,Heiss_etal_2004,1,NA
Homo sapiens,Frontal_cortex,CMRO2,umol/100g/min,149.07,Kaufman_2004,1,NA
Homo sapiens,Frontal_cortex,CMRgl,umol/100g/min,36.32,Heiss_etal_2004; Kaufman_2004,2,NA
Homo sapiens,Hippocampus,CBF,mL/100g/min,48.96,Kaufman_2004,1,Hippocampus_Vol.mm3
Homo sapiens,Hippocampus,CMRO2,umol/100g/min,137.05,Kaufman_2004,1,Hippocampus_Vol.mm3
Homo sapiens,Hippocampus,CMRgl,umol/100g/min,27.475,Heiss_etal_2004; Kaufman_2004,2,Hippocampus_Vol.mm3
Homo sapiens,Insula,CMRgl,umol/100g/min,30.3,Heiss_etal_2004,1,NA
Homo sapiens,Neocortex,CBF,mL/100g/min,43.98,Kaufman_2004,1,Neocortex_Vol.mm3
Homo sapiens,Neocortex,CMRO2,umol/100g/min,143.74,Kaufman_2004,1,Neocortex_Vol.mm3
Homo sapiens,Neocortex,CMRgl,umol/100g/min,35.14,Heiss_etal_2004; Kaufman_2004,2,Neocortex_Vol.mm3
Homo sapiens,Nucleus_accumbens,CMRgl,umol/100g/min,32.3,Heiss_etal_2004,1,NA
Homo sapiens,Nucleus_dentatus_cerebelli,CMRgl,umol/100g/min,24.2,Heiss_etal_2004,1,NA
Homo sapiens,Nucleus_ruber,CMRgl,umol/100g/min,31,Heiss_etal_2004,1,NA
Homo sapiens,Nucleus_subthalamicus,CMRgl,umol/100g/min,25.2,Heiss_etal_2004,1,Nucleus_subthalamicus_Vol.mm3
Homo sapiens,Occipital_cortex,CMRO2,umol/100g/min,165.2,Kaufman_2004,1,NA
Homo sapiens,Occipital_cortex,CMRgl,umol/100g/min,36.905,Heiss_etal_2004; Kaufman_2004,2,NA
Homo sapiens,Pallidum,CMRgl,umol/100g/min,21.9,Heiss_etal_2004,1,Pallidum_Vol.mm3
Homo sapiens,Parietal_cortex,CMRO2,umol/100g/min,148.41,Kaufman_2004,1,NA
Homo sapiens,Parietal_cortex,CMRgl,umol/100g/min,36.474999999999994,Heiss_etal_2004; Kaufman_2004,2,NA
Homo sapiens,Putamen,CMRgl,umol/100g/min,40.2,Heiss_etal_2004,1,NA
Homo sapiens,Sensorimotor_cortex,CMRO2,umol/100g/min,152.69,Kaufman_2004,1,NA
Homo sapiens,Sensorimotor_cortex,CMRgl,umol/100g/min,36.79,Kaufman_2004,1,NA
Homo sapiens,Substantia_nigra,CMRgl,umol/100g/min,22.8,Heiss_etal_2004,1,NA
Homo sapiens,Temporal_cortex,CMRO2,umol/100g/min,148.91,Kaufman_2004,1,NA
Homo sapiens,Temporal_cortex,CMRgl,umol/100g/min,32.364999999999995,Heiss_etal_2004; Kaufman_2004,2,NA
Homo sapiens,Thalamus,CBF,mL/100g/min,54.15,Kaufman_2004,1,Thalamus_Vol.mm3
Homo sapiens,Thalamus,CMRO2,umol/100g/min,161.66,Kaufman_2004,1,Thalamus_Vol.mm3
Homo sapiens,Thalamus,CMRgl,umol/100g/min,37.41,Kaufman_2004,1,Thalamus_Vol.mm3
Homo sapiens,Thalamus_medial_nucleus,CMRgl,umol/100g/min,36.6,Heiss_etal_2004,1,NA
Homo sapiens,Vermis,CMRgl,umol/100g/min,30.1,Heiss_etal_2004,1,NA
Homo sapiens,White_matter,CBF,mL/100g/min,23.62,Kaufman_2004,1,NA
Homo sapiens,White_matter,CMRO2,umol/100g/min,75.68,Kaufman_2004,1,NA
Homo sapiens,White_matter,CMRgl,umol/100g/min,18.06,Kaufman_2004,1,NA
Homo sapiens,Whole_brain,CBF,mL/100g/min,53.25,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Homo sapiens,Whole_brain,CMRO2,umol/100g/min,155.44,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Homo sapiens,Whole_brain,CMRgl,umol/100g/min,29.98,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Lepus,Basal_ganglia,CMRgl,umol/100g/min,58.7,Kaufman_2004,1,NA
Lepus,Hippocampus,CMRgl,umol/100g/min,58.1,Kaufman_2004,1,Hippocampus_Vol.mm3
Lepus,Neocortex,CMRgl,umol/100g/min,77.42,Kaufman_2004,1,Neocortex_Vol.mm3
