Species,Whole_brain__CBF,Whole_brain__CMRO2,Whole_brain__CMRgl,Basal_ganglia__CMRgl,Cerebellum__CMRgl,Cingulate_cortex__CMRgl,Frontal_cortex__CMRgl,Hippocampus__CMRgl,Neocortex__CMRgl,Occipital_cortex__CMRgl,Parietal_cortex__CMRgl,Temporal_cortex__CMRgl,Thalamus__CMRgl,White_matter__CMRgl,Amygdala__CMRgl,Auditory_cortex__CMRgl,Basal_forebrain__CMRgl,Basal_ganglia__CBF,Basal_ganglia__CMRO2,Capsula_interna__CMRgl,Caudate_nucleus__CMRgl,Centrum_semiovale__CMRgl,Cerebellar_cortex__CMRgl,Cerebellum__CBF,Cerebellum__CMRO2,Cingulate_cortex__CMRO2,Colliculus_inferior__CMRgl,Colliculus_superior__CMRgl,Corpus_geniculatum_laterale__CMRgl,Corpus_geniculatum_mediale__CMRgl,Frontal_cortex__CMRO2,Hippocampus__CBF,Hippocampus__CMRO2,Insula__CMRgl,Neocortex__CBF,Neocortex__CMRO2,Nucleus_accumbens__CMRgl,Nucleus_dentatus_cerebelli__CMRgl,Nucleus_ruber__CMRgl,Nucleus_subthalamicus__CMRgl,Occipital_cortex__CMRO2,Pallidum__CMRgl,Parietal_cortex__CMRO2,Putamen__CMRgl,Sensorimotor_cortex__CMRO2,Sensorimotor_cortex__CMRgl,Substantia_nigra__CMRgl,Temporal_cortex__CMRO2,Thalamus__CBF,Thalamus__CMRO2,Thalamus_medial_nucleus__CMRgl,Vermis__CMRgl,White_matter__CBF,White_matter__CMRO2
Canis,30.8,205.4,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capra,77,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus,64.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis,NA,NA,NA,55.87,31.5,47,49,50.55,66.47,58,45,46,75.44,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,53.25,155.44,29.98,37.63,33.91,39.19,36.32,27.475,35.14,36.905,36.474999999999994,32.364999999999995,37.41,18.06,22.2,40.56,21.4,43.54,156.16,25.5,32.6,12.3,29.8,56.99,180.09,132.9,31.4,24.4,23.1,20.2,149.07,48.96,137.05,30.3,43.98,143.74,32.3,24.2,31,25.2,165.2,21.9,148.41,40.2,152.69,36.79,22.8,148.91,54.15,161.66,36.6,30.1,23.62,75.68
Lepus,48,205.4,NA,58.7,NA,NA,NA,58.1,77.42,76.4,73.1,NA,89.7,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.65,NA,NA,NA,NA,NA,NA,NA,NA
Macaca,67.33,214.93,40.66,44.33,28.12,42.35,44.86,34.62,49.99,53.27,41.62,36.08,44.82,12.34,NA,70.3,NA,60.5,255,NA,NA,NA,NA,47.8,NA,NA,NA,NA,NA,NA,NA,53.9,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.58,NA,NA,NA,NA,NA,NA,NA,NA
Meriones,102,NA,NA,74.88,44.4,NA,67.8,69,73.35,69.4,NA,NA,76.35,NA,NA,NA,NA,99.29,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,103.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2,NA,NA,117,NA,NA,NA,62,NA
Mus,117,NA,67.53,85.18,91.52,83.33,107.29,74.54,98.9,100.75,126,NA,114.39,44.57,NA,105.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.59,NA,NA,NA,NA,NA,NA,NA,NA
Ovis,62.01,217.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
