"Original_Term","Standardized_Term","Reference","Description"
"Species name","","DosSantos_etal_2020_Table1",""
"Br_C","","DosSantos_etal_2020_Table1",""
"Br_I","","DosSantos_etal_2020_Table1",""
"Br_I/mg","","DosSantos_etal_2020_Table1",""
"Br_I/N","","DosSantos_etal_2020_Table1",""
"Br_N","","DosSantos_etal_2020_Table1",""
"Br_N/mg","","DosSantos_etal_2020_Table1",""
"Br_No. of samples","","DosSantos_etal_2020_Table1",""
"Br_Structure mass (g)","","DosSantos_etal_2020_Table1",""
"Cb_C","","DosSantos_etal_2020_Table1",""
"Cb_I","","DosSantos_etal_2020_Table1",""
"Cb_I/mg","","DosSantos_etal_2020_Table1",""
"Cb_I/N","","DosSantos_etal_2020_Table1",""
"Cb_N","","DosSantos_etal_2020_Table1",""
"Cb_N/mg","","DosSantos_etal_2020_Table1",""
"Cb_No. of samples","","DosSantos_etal_2020_Table1",""
"Cb_Structure mass (g)","","DosSantos_etal_2020_Table1",""
"Ctx_C","","DosSantos_etal_2020_Table1",""
"Ctx_I","","DosSantos_etal_2020_Table1",""
"Ctx_I/mg","","DosSantos_etal_2020_Table1",""
"Ctx_I/N","","DosSantos_etal_2020_Table1",""
"Ctx_N","","DosSantos_etal_2020_Table1",""
"Ctx_N/mg","","DosSantos_etal_2020_Table1",""
"Ctx_No. of samples","","DosSantos_etal_2020_Table1",""
"Ctx_Structure mass (g)","","DosSantos_etal_2020_Table1",""
"Cx_C","","DosSantos_etal_2020_Table1",""
"Cx_I","","DosSantos_etal_2020_Table1",""
"Cx_I/mg","","DosSantos_etal_2020_Table1",""
"Cx_I/N","","DosSantos_etal_2020_Table1",""
"Cx_N","","DosSantos_etal_2020_Table1",""
"Cx_N/mg","","DosSantos_etal_2020_Table1",""
"Cx_No. of samples","","DosSantos_etal_2020_Table1",""
"Cx_Structure mass (g)","","DosSantos_etal_2020_Table1",""
"Hp_C","","DosSantos_etal_2020_Table1",""
"Hp_I","","DosSantos_etal_2020_Table1",""
"Hp_I/mg","","DosSantos_etal_2020_Table1",""
"Hp_I/N","","DosSantos_etal_2020_Table1",""
"Hp_N","","DosSantos_etal_2020_Table1",""
"Hp_N/mg","","DosSantos_etal_2020_Table1",""
"Hp_No. of samples","","DosSantos_etal_2020_Table1",""
"Hp_Structure mass (g)","","DosSantos_etal_2020_Table1",""
"P+M_C","","DosSantos_etal_2020_Table1",""
"P+M_I","","DosSantos_etal_2020_Table1",""
"P+M_I/mg","","DosSantos_etal_2020_Table1",""
"P+M_I/N","","DosSantos_etal_2020_Table1",""
"P+M_N","","DosSantos_etal_2020_Table1",""
"P+M_N/mg","","DosSantos_etal_2020_Table1",""
"P+M_No. of samples","","DosSantos_etal_2020_Table1",""
"P+M_Structure mass (g)","","DosSantos_etal_2020_Table1",""
"RoB_C","","DosSantos_etal_2020_Table1",""
"RoB_I","","DosSantos_etal_2020_Table1",""
"RoB_I/mg","","DosSantos_etal_2020_Table1",""
"RoB_I/N","","DosSantos_etal_2020_Table1",""
"RoB_N","","DosSantos_etal_2020_Table1",""
"RoB_N/mg","","DosSantos_etal_2020_Table1",""
"RoB_No. of samples","","DosSantos_etal_2020_Table1",""
"RoB_Structure mass (g)","","DosSantos_etal_2020_Table1",""
