"Original_Term","Standardized_Term","Reference","Description"
"Species","","JardimMesseder_etal_2017_Table1",""
"Common Name","","JardimMesseder_etal_2017_Table1",""
"MBD..kg","","JardimMesseder_etal_2017_Table1",""
"MBR..g","","JardimMesseder_etal_2017_Table1",""
"MCxT..g","","JardimMesseder_etal_2017_Table1",""
"MHP..g","","JardimMesseder_etal_2017_Table1",""
"MCB..g","","JardimMesseder_etal_2017_Table1",""
"MRoB..g","","JardimMesseder_etal_2017_Table1",""
"MOB..g","","JardimMesseder_etal_2017_Table1",""
"NBR","","JardimMesseder_etal_2017_Table1",""
"NCxT","","JardimMesseder_etal_2017_Table1",""
"NHP","","JardimMesseder_etal_2017_Table1",""
"NCB","","JardimMesseder_etal_2017_Table1",""
"NRoB","","JardimMesseder_etal_2017_Table1",""
"NOB","","JardimMesseder_etal_2017_Table1",""
"OBR","","JardimMesseder_etal_2017_Table1",""
"OCxT","","JardimMesseder_etal_2017_Table1",""
"OHP","","JardimMesseder_etal_2017_Table1",""
"OCB","","JardimMesseder_etal_2017_Table1",""
"ORoB","","JardimMesseder_etal_2017_Table1",""
"OOB","","JardimMesseder_etal_2017_Table1",""
"DNCxT","","JardimMesseder_etal_2017_Table1",""
"DNHP","","JardimMesseder_etal_2017_Table1",""
"DNCB","","JardimMesseder_etal_2017_Table1",""
"DNRoB","","JardimMesseder_etal_2017_Table1",""
"DNOB","","JardimMesseder_etal_2017_Table1",""
"O.NBR","","JardimMesseder_etal_2017_Table1",""
"O.NCXT","","JardimMesseder_etal_2017_Table1",""
"O.NHP","","JardimMesseder_etal_2017_Table1",""
"O.NCB","","JardimMesseder_etal_2017_Table1",""
"O.NRoB","","JardimMesseder_etal_2017_Table1",""
"O.NOB","","JardimMesseder_etal_2017_Table1",""
