"Original_Term","Standardized_Term","Reference","Description"
"Species","","Kverkova_etal_2018_TableS5",""
"Whole brain","","Kverkova_etal_2018_TableS5",""
"Whole brain SD","","Kverkova_etal_2018_TableS5",""
"Olfactory bulbs","","Kverkova_etal_2018_TableS5",""
"Olfactory bulbs SD","","Kverkova_etal_2018_TableS5",""
"Cortex","","Kverkova_etal_2018_TableS5",""
"Cortex SD","","Kverkova_etal_2018_TableS5",""
"Subcortical forebrain","","Kverkova_etal_2018_TableS5",""
"Subcortical forebrain SD","","Kverkova_etal_2018_TableS5",""
"Cerebellum","","Kverkova_etal_2018_TableS5",""
"Cerebellum SD","","Kverkova_etal_2018_TableS5",""
"Brain stem","","Kverkova_etal_2018_TableS5",""
"Brain stem SD","","Kverkova_etal_2018_TableS5",""
