Code,Definition,Structure,Measure,SD,Reference,Note,Source Note
Brain,Whole brain; appx. sum of 14 structures incl Olfactory bulbs,WholeBrainOlfactoryBulb,,,Kverkova_etal_2018_Fig3,see fig for plot Brain volume (mm3),"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
Body,,Body,,,Kverkova_etal_2018_TableS1,,"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
Mass.g,mass in grams ,,Mass.g,,Kverkova_etal_2018_TableS1,,"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
mass,mass (g),,Mass.g,,Kverkova_etal_2018_FigS1,body mass units in FigS1,"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
Olfactory bulbs,,OlfactoryBulb,,,Kverkova_etal_2018_TableS1,,
Olfactory cortices,,OlfactoryCortices,,,Kverkova_etal_2018_TableS1,,
Neocortex,,Neocortex,,,Kverkova_etal_2018_TableS1,,
Entorhinal cortex,,EntorhinalCortex,,,Kverkova_etal_2018_TableS1,,
Hippocampus,,Hippocampus,,,Kverkova_etal_2018_TableS1,,
Amygdala,,Amygdala,,,Kverkova_etal_2018_TableS1,,
Striatum,,Striatum,,,Kverkova_etal_2018_TableS1,,
Septum,,Septum,,,Kverkova_etal_2018_TableS1,,
Thalamus,,Thalamus,,,Kverkova_etal_2018_TableS1,,
Hypothalamus,,Hypothalamus,,,Kverkova_etal_2018_TableS1,,
Cerebellum,,Cerebellum,,,Kverkova_etal_2018_TableS1,,
Tectum,,Tectum,,,Kverkova_etal_2018_TableS1,,
Tegmentum,,Tegmentum,,,Kverkova_etal_2018_TableS1,,
Medulla oblongata,,Medulla,,,Kverkova_etal_2018_TableS1,,
p.C.Brain,average structure volume fractions (expressed as percentage of the whole brain volume) ,,p.C.Brain,,Kverkova_etal_2018_TableS1,,
Vol.mm3,absolute structure volumes in mm3 ,,Vol.mm3,,Kverkova_etal_2018_TableS1,,
Whole brain,Whole brain; appx. sum of 14 structures incl Olfactory bulbs,WholeBrainOlfactoryBulb,,,Kverkova_etal_2018,,
Olfactory bulbs,,OlfactoryBulb,,,Kverkova_etal_2018,,
Cortex,"cerebral cortex (including the underlying white matter and comprising the neocortex, hippocampus, olfactory cortices such as piriform and entorhinal cortex, and pallial amygdala)",CerebralCortex,,,Kverkova_etal_2018,,
Subcortical forebrain,"subcortical forebrain (comprising the diencephalon, caudate putamen, nucleus accumbens, globus pallidus, ventral pallidum, olfactory tubercle and septum)",SubcorticalForebrain,,,Kverkova_etal_2018,,
Cerebellum,,Cerebellum,,,Kverkova_etal_2018,,
Brain stem,brain stem (comprising the mesencephalon and medulla oblongata),MesencephalonMedulla,,,Kverkova_etal_2018,,
N.n,number of neurons,,N.n,,Kverkova_etal_2018,,
SD,,,,SD,Kverkova_etal_2018,,
