Species,Body_Mass.g,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.p.mg,Cerebellum_O.n,Cerebellum_O.p.N,Cerebellum_O.p.mg,CerebralCortex_Mass.g,CerebralCortex_N.n,CerebralCortex_N.p.mg,CerebralCortex_O.n,CerebralCortex_O.p.N,CerebralCortex_O.p.mg,RoB_Mass.g,RoB_N.n,RoB_N.p.mg,RoB_O.n,RoB_O.p.N,RoB_O.p.mg,WholeBrain_Mass.g,WholeBrain_N.n,WholeBrain_O.n,Cerebellum_I.n,Cerebellum_I.p.mg,CerebralCortexNoHippocampus_I.p.mg,CerebralCortex_I.n,CerebralCortex_I.p.mg,Hippocampus_I.p.mg,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.n,RoB_I.p.mg,WholeBrain_I.n,WholeBrain_I.p.mg,Amygdala_Vol.mm3,Cerebellum_Vol.mm3,EntorhinalCortex_Vol.mm3,Hippocampus_Vol.mm3,Hypothalamus_Vol.mm3,Medulla_Vol.mm3,MesencephalonMedulla_N.n,Neocortex_Vol.mm3,OlfactoryBulb_Vol.mm3,OlfactoryCortices_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,SubcorticalForebrain_N.n,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Thalamus_Vol.mm3,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_N.n,Hippocampus_I.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.n,PonsMedulla_I.p.mg
Amblysomus hottentotus,79,0.084,34488379,409687,8155621,0.236,96849,0.439,21516000,48932,21370000,0.982,48146,0.289,9070358,31616,16834642,1.839,58880,0.812,65074000,46631000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antidorcas marsupialis,25000,11.458,2257214074,196999,467244676,0.207,40779,68.806,396896159,5768,4126259275,10.396,59969,25.81,70485000,2731,1319280624,18.71,51115,106.074,2724595233,5912784575,58974326,5147,3790,260843546,3791,3778,1.2,15998400,13332,105201600,6.576,87668,84321270,3267,404141940,3810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,925,1.732,1040000000,605080,145270000,0.14,82890,10.617,441900000,41990,695420000,1.574,65330,3.104,49340000,15900,313460000,6.353,100990,15.73,1468410000,1195130000,NA,NA,NA,27975795,2635,NA,0.05,7925468,155879,8360532,1.055,162922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathyergus suillus,907.82,NA,268890000,NA,NA,NA,NA,NA,43480000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337480000,NA,NA,NA,NA,NA,NA,NA,NA,23810000,NA,NA,NA,NA,NA,NA,NA,NA,50,683,96,194,85,368,8670000,1011,132,173,35,249,16420000,69,156,173,3.78,361290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blarina brevicauda,16.2,0.037,33430000,919942,4410000,0.132,118736,0.197,11876000,60214,15820000,1.357,80729,0.113,6340000,55924,13320000,2.102,117736,0.347,55190000,33550000,NA,NA,NA,NA,NA,NA,0.026,8090000,318164,4910000,0.607,193631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,NA,NA,NA,NA,NA,12.984,357129180,27505,715330820,2.003,55093,2.086,53911480,25844,194528520,3.608,93254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,361,0.73,361370000,494970,49490000,0.137,68170,5.561,244720000,44280,395340000,1.615,71800,1.489,29720000,19650,145910000,4.909,98370,7.78,635800000,590740000,NA,NA,NA,NA,NA,NA,0.008,2108078,232309,2547922,1.209,269383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus familiaris,19700,7.512,1676630000,223194,848680000,0.506,NA,65.491,527910000,8061,3416460000,6.472,NA,13.459,48150000,3577,928090000,19.275,NA,86.462,2252690000,5193230000,48234552,6421,4767,313570908,4788,5543,NA,NA,NA,NA,NA,NA,103378579,7681,465338484,5382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11141430,2.01,8610000,4282,134050000,15.575,2.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardioderma cor,26,103475.348622945,63792242,616497,NA,NA,NA,257039.682140522,10221440,39766,NA,NA,NA,201212.912805565,7317510,36367,NA,NA,NA,0.562,81331192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casinycteris argynnis,27,128000.061152779,77445413,605042,NA,NA,NA,462003.220682961,10471765,22666,NA,NA,NA,302002.666594106,11098900,36751,NA,NA,NA,0.892,99016077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
