Species,measure_class,Measure,Team,role,Value
Acinonyx jubatus,gait,Duty_Factor,Wimberly,primary,70
Acinonyx jubatus,gait,Foot_Posture,Wimberly,primary,digitigrade
Acinonyx jubatus,gait,Gait,Wimberly,primary,LSLC
Acinonyx jubatus,gait,Phase,Wimberly,primary,18
Acrobates pygmaeus,gait,Duty_Factor,Wimberly,primary,55.35
Acrobates pygmaeus,gait,Foot_Posture,Wimberly,primary,plantigrade
Acrobates pygmaeus,gait,Gait,Wimberly,primary,LSDC
Acrobates pygmaeus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.46311620781614
Acrobates pygmaeus,gait,Phase,Wimberly,primary,50.19
Aepyceros melampus,gait,Duty_Factor,Wimberly,primary,68
Aepyceros melampus,gait,Foot_Posture,Wimberly,primary,unguligrade
Aepyceros melampus,gait,Gait,Wimberly,primary,LSLC
Aepyceros melampus,gait,Phase,Wimberly,primary,19
Ailuropoda melanoleuca,gait,Duty_Factor,Wimberly,primary,66.04377104
Ailuropoda melanoleuca,gait,Foot_Posture,Wimberly,primary,plantigrade
Ailuropoda melanoleuca,gait,Gait,Wimberly,primary,LSLC
Ailuropoda melanoleuca,gait,Phase,Wimberly,primary,20.16835
Ailurus fulgens,gait,Duty_Factor,Wimberly,primary,61.16666667
Ailurus fulgens,gait,Foot_Posture,Wimberly,primary,plantigrade
Ailurus fulgens,gait,Gait,Wimberly,primary,LSLC
Ailurus fulgens,gait,Phase,Wimberly,primary,20.41667
Alcelaphus buselaphus,gait,Duty_Factor,Wimberly,primary,72.41379310000001
Alcelaphus buselaphus,gait,Foot_Posture,Wimberly,primary,unguligrade
Alcelaphus buselaphus,gait,Gait,Wimberly,primary,LSLC
Alcelaphus buselaphus,gait,Phase,Wimberly,primary,18.96552
Alouatta caraya,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta caraya,locomotion,Intermembral_index,Granatosky,primary,97
Alouatta caraya,locomotion,Locomotor_diversity_index,Granatosky,primary,1.60859743143501
Alouatta palliata,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta palliata,locomotion,Intermembral_index,Granatosky,primary,98
Alouatta palliata,locomotion,Locomotor_diversity_index,Granatosky,primary,1.18941283574095
Alouatta palliata,vocalization,VocalRepertoire,Schniter,primary,22
Alouatta pigra,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta pigra,locomotion,Locomotor_diversity_index,Granatosky,primary,0.230466836328381
Alouatta seniculus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta seniculus,gait,Duty_Factor,Wimberly,primary,68.32675986
Alouatta seniculus,gait,Foot_Posture,Wimberly,primary,plantigrade
Alouatta seniculus,gait,Gait,Wimberly,primary,DSDC
Alouatta seniculus,locomotion,Intermembral_index,Granatosky,primary,97
Alouatta seniculus,locomotion,Locomotor_diversity_index,Granatosky,primary,0.600482908245825
Alouatta seniculus,gait,Phase,Wimberly,primary,56.89748148
Ammotragus lervia,gait,Duty_Factor,Wimberly,primary,71
Ammotragus lervia,gait,Foot_Posture,Wimberly,primary,unguligrade
Ammotragus lervia,gait,Gait,Wimberly,primary,LSDC
Ammotragus lervia,gait,Phase,Wimberly,primary,26
Antilocapra americana,gait,Duty_Factor,Wimberly,primary,62.01923077
Antilocapra americana,gait,Foot_Posture,Wimberly,primary,unguligrade
Antilocapra americana,gait,Gait,Wimberly,primary,LSLC
Antilocapra americana,gait,Phase,Wimberly,primary,17.94872
Aotus nancymaae,gait,Duty_Factor,Wimberly,primary,59.59001804
Aotus nancymaae,gait,Foot_Posture,Wimberly,primary,plantigrade
Aotus nancymaae,gait,Gait,Wimberly,primary,DSDC
Aotus nancymaae,gait,Phase,Wimberly,primary,58.37598712
Apodemus agrarius,gait,Duty_Factor,Wimberly,primary,74.01000000000001
Apodemus agrarius,gait,Foot_Posture,Wimberly,primary,plantigrade
Apodemus agrarius,gait,Gait,Wimberly,primary,LSDC
Apodemus agrarius,gait,Phase,Wimberly,primary,35.52
Apodemus flavicollis,gait,Duty_Factor,Wimberly,primary,72.51000000000001
Apodemus flavicollis,gait,Foot_Posture,Wimberly,primary,plantigrade
Apodemus flavicollis,gait,Gait,Wimberly,primary,LSDC
Apodemus flavicollis,gait,Phase,Wimberly,primary,28.77
Arctictis binturong,gait,Duty_Factor,Wimberly,primary,70.64
Arctictis binturong,gait,Gait,Wimberly,primary,LSLC
Arctictis binturong,gait,Phase,Wimberly,primary,21.41
Arctocebus calabarensis,vocalization,VocalRepertoire,Schniter,primary,2
Ateles ater,dexterity,Dexterity,Heffner,primary,4
Ateles ater,dexterity,Dexterity,Iwaniuk,secondary,4
Ateles belzebuth,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Ateles belzebuth,locomotion,Locomotor_diversity_index,Granatosky,primary,1.80198696987699
Ateles chamek,vocalization,VocalRepertoire,ManyPrimates,secondary,14
Ateles fusciceps,gait,Duty_Factor,Wimberly,primary,59.80060125
Ateles fusciceps,manipulation,Extractive_foraging,Heldstab,primary,0
Ateles fusciceps,gait,Foot_Posture,Wimberly,primary,plantigrade
Ateles fusciceps,gait,Gait,Wimberly,primary,DSDC
Ateles fusciceps,handedness,Handedness_index_mean,Caspar,primary,0.063
Ateles fusciceps,handedness,Handedness_strength_mean,Caspar,primary,0.798
Ateles fusciceps,manipulation,Manipulation_complexity,Heldstab,primary,1.35
Ateles fusciceps,gait,Phase,Wimberly,primary,71.24029949
Ateles fusciceps,manipulation,Tool_use,Heldstab,primary,0
Ateles geoffroyi,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Ateles geoffroyi,gait,Duty_Factor,Wimberly,primary,60.68357468
Ateles geoffroyi,manipulation,Extractive_foraging,Heldstab,primary,0
Ateles geoffroyi,gait,Foot_Posture,Wimberly,primary,plantigrade
Ateles geoffroyi,gait,Gait,Wimberly,primary,DSDC
Ateles geoffroyi,handedness,Handedness_index_mean,Caspar,primary,0.061
Ateles geoffroyi,handedness,Handedness_strength_mean,Caspar,primary,0.829
Ateles geoffroyi,locomotion,Intermembral_index,Granatosky,primary,105
Ateles geoffroyi,locomotion,Locomotor_diversity_index,Granatosky,primary,1.29373888903011
Ateles geoffroyi,manipulation,Manipulation_complexity,Heldstab,primary,2.48
Ateles geoffroyi,gait,Phase,Wimberly,primary,71.8768163
Ateles geoffroyi,manipulation,Tool_use,Heldstab,primary,0
Ateles hybridus,handedness,Handedness_index_mean,Caspar,primary,-0.377
Ateles hybridus,handedness,Handedness_strength_mean,Caspar,primary,0.917
Ateles paniscus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Ateles paniscus,gait,Duty_Factor,Wimberly,primary,60.59999272
Ateles paniscus,gait,Foot_Posture,Wimberly,primary,plantigrade
Ateles paniscus,gait,Gait,Wimberly,primary,DSDC
Ateles paniscus,locomotion,Intermembral_index,Granatosky,primary,105
Ateles paniscus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.76983447403569
Ateles paniscus,gait,Phase,Wimberly,primary,63.99376761
Avahi occidentalis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Avahi occidentalis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.14885486473691
Bison bison,gait,Duty_Factor,Wimberly,primary,71
Bison bison,gait,Foot_Posture,Wimberly,primary,unguligrade
Bison bison,gait,Gait,Wimberly,primary,LSLC
Bison bison,gait,Phase,Wimberly,primary,16
Bos taurus,gait,Duty_Factor,Wimberly,primary,69
Bos taurus,gait,Foot_Posture,Wimberly,primary,unguligrade
Bos taurus,gait,Gait,Wimberly,primary,LSDC
Bos taurus,gait,Phase,Wimberly,primary,29
Bradypus variegatus,gait,Duty_Factor,Wimberly,primary,78.56999999999999
Bradypus variegatus,gait,Foot_Posture,Wimberly,primary,plantigrade
Bradypus variegatus,gait,Gait,Wimberly,primary,DSDC
Bradypus variegatus,gait,Phase,Wimberly,primary,52.04
Bubalus bubalis,gait,Duty_Factor,Wimberly,primary,63.16964286
Bubalus bubalis,gait,Foot_Posture,Wimberly,primary,unguligrade
Bubalus bubalis,gait,Gait,Wimberly,primary,LSLC
Bubalus bubalis,gait,Phase,Wimberly,primary,16.96429
Cacajao calvus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cacajao calvus,locomotion,Intermembral_index,Granatosky,primary,83
Cacajao calvus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.86810866495463
Callicebus brunneus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callicebus brunneus,locomotion,Intermembral_index,Granatosky,primary,79
