Original_Term,Reference,Standardized_Term
species_sci,Caspar_etal_2022_Table1,Species
Handedness_index_mean,Caspar_etal_2022_Table1,Handedness_index_mean
Handedness_strength_mean,Caspar_etal_2022_Table1,Handedness_strength_mean
species_sci,Granatosky__2018_TableS1,Species
Locomotor_diversity_index,Granatosky__2018_TableS1,Locomotor_diversity_index
Intermembral_index,Granatosky__2018_TableS1,Intermembral_index
Arboreal_terrestrial,Granatosky__2018_TableS1,Arboreal_terrestrial
species_sci,Heffner_Masterton_1975_TableI,Species
Digital dexterity,Heffner_Masterton_1975_TableI,Dexterity
species_sci,Heldstab_etal_2016_TableS1,Species
Manipulation_complexity,Heldstab_etal_2016_TableS1,Manipulation_complexity
Tool_use,Heldstab_etal_2016_TableS1,Tool_use
Extractive_foraging,Heldstab_etal_2016_TableS1,Extractive_foraging
species_sci,Iwaniuk_etal_1999_References,Species
Dexterity,Iwaniuk_etal_1999_References,Dexterity
Species,ManyPrimates__2022_speciespredictors,Species
vocal_repertoire_types,ManyPrimates__2022_speciespredictors,VocalRepertoire
Species,Schniter_Penaherrera-Aguirre_2026_data,Species
vocal_repertoire_size_updated,Schniter_Penaherrera-Aguirre_2026_data,VocalRepertoire
vocal_repertoire_size_MS2005,Schniter_Penaherrera-Aguirre_2026_data,VocalRepertoire_MS2005
species_sci,Wimberly_etal_2021_mammalgait.txt,Species
Duty_Factor,Wimberly_etal_2021_mammalgait.txt,Duty_Factor
Phase,Wimberly_etal_2021_mammalgait.txt,Phase
Gait,Wimberly_etal_2021_mammalgait.txt,Gait
Foot_Posture,Wimberly_etal_2021_mammalgait.txt,Foot_Posture
