"Species","measure_class","Measure","Units","Value","Value_median","n_sources","n_teams","n_teams_primary","primary_used","Teams","roles","value_min","value_max"
"Abditomys latidens","diet_ecology","Activity_pattern","category","Nocturnal","Nocturnal",1,1,0,FALSE,"Wilman","secondary","",""
"Abditomys latidens","diet_ecology","Diet_Fruit","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Inv","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Nect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_PlantO","%","100","100",1,1,0,FALSE,"Wilman","secondary","100","100"
"Abditomys latidens","diet_ecology","Diet_Scav","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Seed","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Vect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Vend","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Vfish","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_Vunk","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abditomys latidens","diet_ecology","Diet_breadth","count","1","1",1,1,0,FALSE,"Wilman","secondary","1","1"
"Abditomys latidens","diet_ecology","Diet_dominant","category","Other plant","Other plant",1,1,0,FALSE,"Wilman","secondary","",""
"Abditomys latidens","diet_ecology","ForStrat_stratum","category","Arboreal","Arboreal",1,1,0,FALSE,"Wilman","secondary","",""
"Abditomys latidens","diet_ecology","Trophic_guild","category","Herbivore","Herbivore",1,1,0,FALSE,"Wilman","secondary","",""
"Abditomys latidens","mass","Body_Mass","g","269","269",1,1,0,FALSE,"Wilman","secondary","269","269"
"Abeomelomys sevia","diet_ecology","Activity_pattern","category","Nocturnal","Nocturnal",1,1,0,FALSE,"Wilman","secondary","",""
"Abeomelomys sevia","diet_ecology","Diet_Fruit","%","10","10",1,1,0,FALSE,"Wilman","secondary","10","10"
"Abeomelomys sevia","diet_ecology","Diet_Inv","%","10","10",1,1,0,FALSE,"Wilman","secondary","10","10"
"Abeomelomys sevia","diet_ecology","Diet_Nect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abeomelomys sevia","diet_ecology","Diet_PlantO","%","60","60",1,1,0,FALSE,"Wilman","secondary","60","60"
"Abeomelomys sevia","diet_ecology","Diet_Scav","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abeomelomys sevia","diet_ecology","Diet_Seed","%","20","20",1,1,0,FALSE,"Wilman","secondary","20","20"
"Abeomelomys sevia","diet_ecology","Diet_Vect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abeomelomys sevia","diet_ecology","Diet_Vend","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abeomelomys sevia","diet_ecology","Diet_Vfish","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abeomelomys sevia","diet_ecology","Diet_Vunk","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abeomelomys sevia","diet_ecology","Diet_breadth","count","4","4",1,1,0,FALSE,"Wilman","secondary","4","4"
"Abeomelomys sevia","diet_ecology","Diet_dominant","category","Other plant","Other plant",1,1,0,FALSE,"Wilman","secondary","",""
"Abeomelomys sevia","diet_ecology","ForStrat_stratum","category","Ground","Ground",1,1,0,FALSE,"Wilman","secondary","",""
"Abeomelomys sevia","diet_ecology","Trophic_guild","category","Herbivore","Herbivore",1,1,0,FALSE,"Wilman","secondary","",""
"Abeomelomys sevia","mass","Body_Mass","g","58.14","58.14",2,2,0,FALSE,"Burger; Wilman","secondary","54.88","61.4"
"Abrawayaomys ruschii","diet_ecology","Activity_pattern","category","Nocturnal","Nocturnal",1,1,0,FALSE,"Wilman","secondary","",""
"Abrawayaomys ruschii","diet_ecology","Diet_Fruit","%","10","10",1,1,0,FALSE,"Wilman","secondary","10","10"
"Abrawayaomys ruschii","diet_ecology","Diet_Inv","%","20","20",1,1,0,FALSE,"Wilman","secondary","20","20"
"Abrawayaomys ruschii","diet_ecology","Diet_Nect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrawayaomys ruschii","diet_ecology","Diet_PlantO","%","30","30",1,1,0,FALSE,"Wilman","secondary","30","30"
"Abrawayaomys ruschii","diet_ecology","Diet_Scav","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrawayaomys ruschii","diet_ecology","Diet_Seed","%","40","40",1,1,0,FALSE,"Wilman","secondary","40","40"
"Abrawayaomys ruschii","diet_ecology","Diet_Vect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrawayaomys ruschii","diet_ecology","Diet_Vend","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrawayaomys ruschii","diet_ecology","Diet_Vfish","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrawayaomys ruschii","diet_ecology","Diet_Vunk","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrawayaomys ruschii","diet_ecology","Diet_breadth","count","4","4",1,1,0,FALSE,"Wilman","secondary","4","4"
"Abrawayaomys ruschii","diet_ecology","Diet_dominant","category","Seed","Seed",1,1,0,FALSE,"Wilman","secondary","",""
"Abrawayaomys ruschii","diet_ecology","ForStrat_stratum","category","Ground","Ground",1,1,0,FALSE,"Wilman","secondary","",""
"Abrawayaomys ruschii","diet_ecology","Trophic_guild","category","Herbivore","Herbivore",1,1,0,FALSE,"Wilman","secondary","",""
"Abrawayaomys ruschii","mass","Body_Mass","g","63","63",1,1,0,FALSE,"Wilman","secondary","63","63"
"Abrocoma bennettii","diet_ecology","Activity_pattern","category","Nocturnal","Nocturnal",1,1,0,FALSE,"Wilman","secondary","",""
"Abrocoma bennettii","diet_ecology","Diet_Fruit","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Inv","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Nect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_PlantO","%","100","100",1,1,0,FALSE,"Wilman","secondary","100","100"
"Abrocoma bennettii","diet_ecology","Diet_Scav","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Seed","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Vect","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Vend","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Vfish","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_Vunk","%","0","0",1,1,0,FALSE,"Wilman","secondary","0","0"
"Abrocoma bennettii","diet_ecology","Diet_breadth","count","1","1",1,1,0,FALSE,"Wilman","secondary","1","1"
"Abrocoma bennettii","diet_ecology","Diet_dominant","category","Other plant","Other plant",1,1,0,FALSE,"Wilman","secondary","",""
