Species,Body_Mass.g
Abditomys latidens,269.0
Abeomelomys sevia,58.14
Abrawayaomys ruschii,63.0
Abrocoma bennettii,250.5
Abrocoma boliviensis,158.0
Abrocoma budini,214.69
Abrocoma cinerea,250.0
Abrocoma famatina,214.69
Abrocoma shistacea,214.69
Abrocoma uspallata,214.69
Abrocoma vaccarum,214.69
Abrothrix andinus,24.91
Abrothrix hershkovitzi,32.42
Abrothrix illuteus,47.79
Abrothrix jelskii,34.5
Abrothrix lanosus,27.83
Abrothrix longipilis,38.86
Abrothrix markhami,29.03
Abrothrix olivaceus,24.52
Abrothrix sanborni,24.7
Acerodon celebensis,390.0
Acerodon humilis,462.47
Acerodon jubatus,1075.0
Acerodon leucotis,462.47
Acerodon mackloti,470.33
Acinonyx jubatus,46323.333
Acomys airensis,28.81
Acomys cahirinus,41.725
Acomys chudeaui,28.81
Acomys cilicicus,28.61
Acomys cineraceus,30.59
Acomys dimidiatus,28.81
Acomys ignitus,24.0
Acomys johannis,28.81
Acomys kempi,22.0
Acomys louisae,20.2
Acomys minous,62.5
Acomys mullah,28.74
Acomys nesiotes,28.67
Acomys percivali,22.0
Acomys russatus,49.75
Acomys seurati,28.81
Acomys spinosissimus,26.5
Acomys subspinosus,21.0
Acomys wilsoni,18.5
Aconaemys fuscus,133.5
Aconaemys porteri,113.5
Aconaemys sagei,96.5
Acrobates pygmaeus,14.0
Adapornis personata,40.0
Addax nasomaculatus,88500.16
Aepeomys lugens,37.0
Aepeomys reigi,37.0
Aepyceros melampus,54233.923
Aepyprymnus rufescens,2500.0
Aeretes melanopterus,753.23
Aeromys tephromelas,1132.0
Aeromys thomasi,1435.0
Aethalops aequalis,15.0
Aethalops alecto,15.0
Aethomys bocagei,79.89
Aethomys chrysophilus,95.925
Aethomys hindei,124.9
Aethomys ineptus,133.16
Aethomys kaiseri,90.0
Aethomys nyikae,77.01
Aethomys silindensis,82.76
Aethomys stannarius,82.9
Aethomys thomasi,84.69
Ailuropoda melanoleuca,104633.33
Ailurops melanotis,10000.0
Ailurops ursinus,10000.0
Ailurus fulgens,5220.027
Akodon aerosus,60.0
Akodon affinis,24.9
Akodon albiventer,21.8
Akodon aliquantulus,31.32
Akodon azarae,25.0
Akodon bogotensis,13.0
Akodon boliviensis,27.5
Akodon budini,26.9
Akodon cursor,39.85
Akodon dayi,32.5
Akodon dolores,50.5
Akodon fumeus,22.7
Akodon iniscatus,28.7
Akodon juninensis,39.0
Akodon kofordi,29.5
Akodon latebricola,39.0
Akodon leucolimnaeus,31.32
Akodon lindberghi,26.4
Akodon lutescens,20.69
Akodon mimus,24.0
Akodon molinae,33.0
Akodon mollis,30.4
Akodon montensis,31.32
Akodon mystax,18.5
