"Species","Measure","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Pan troglodytes","Brain_Mass_measured",48,11,373.5393,1.49,"","Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Armstrong1979(Armstrong,secondary)=405.50 | Karl2024(Karl,primary)=407.50 | deSousa2010(Zilles,primary)=359.50 | deSousa2010(Zilles,primary)=440.00 | deSousa2010(Zilles,primary)=420.00 | Bauernfeind2013(Zilles,primary)=374.00 | Bauernfeind2013(Zilles,primary)=341.20 | Bauernfeind2013(Zilles,primary)=312.90 | Garwicz2009(Garwicz,secondary)=382.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | Collins2016(Collins,info)=344.00 | deSousa2009(deSousa,secondary)=360.00 | deSousa2009(deSousa,secondary)=387.00 | Stimpson2015(Stimpson,secondary)=341.20 | Stimpson2015(Stimpson,secondary)=346.60 | Stimpson2015(Stimpson,secondary)=401.80 | Stimpson2015(Stimpson,secondary)=327.80 | Stimpson2015(Stimpson,secondary)=375.50 | Stimpson2015(Stimpson,secondary)=348.10 | Stimpson2015(Stimpson,secondary)=312.90 | Sherwood2003(Sherwood,secondary)=405.00 | Stephan1981(Stephan_collection,primary)=405.00 | deSousa2013(Zilles,secondary)=406.50 | Lewitus2014(Lewitus,secondary)=392.06 | Lewitus2013(Lewitus,secondary)=392.06 | Stephan1970(Stephan_collection,primary)=420.00 | Stephan1970(Stephan_collection,primary)=420.00 | Brodmann1913(Brodmann,primary)=295.00 | Frahm1998(Stephan_collection,secondary)=405.00"
"Homo sapiens","Brain_Mass_measured",46,10,1365.0984,1.81,"","Armstrong1979(Armstrong,secondary)=1890.00 | Armstrong1979(Armstrong,secondary)=1890.00 | Armstrong1979(Armstrong,secondary)=1890.00 | Armstrong1979(Armstrong,secondary)=1200.00 | Armstrong1979(Armstrong,secondary)=1200.00 | Armstrong1979(Armstrong,secondary)=1200.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1890.00 | Armstrong1979(Armstrong,secondary)=1890.00 | Armstrong1979(Armstrong,secondary)=1200.00 | Armstrong1979(Armstrong,secondary)=1200.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Armstrong1979(Armstrong,secondary)=1500.00 | Karl2024(Karl,primary)=1336.00 | Krompecher1966(Krompecher,secondary)=1273.70 | deSousa2010(Zilles,primary)=1437.00 | deSousa2010(Zilles,primary)=1757.00 | deSousa2010(Zilles,primary)=1270.00 | deSousa2010(Zilles,primary)=1349.00 | deSousa2010(Zilles,primary)=1360.00 | deSousa2010(Zilles,primary)=1046.00 | deSousa2010(Zilles,primary)=1142.00 | deSousa2010(Zilles,primary)=1350.00 | deSousa2010(Zilles,primary)=1216.00 | deSousa2010(Zilles,primary)=1110.00 | Bauernfeind2013(Zilles,primary)=1639.60 | Bauernfeind2013(Zilles,primary)=1483.00 | Bauernfeind2013(Zilles,primary)=1349.00 | Bauernfeind2013(Zilles,primary)=1320.00 | Bauernfeind2013(Zilles,primary)=1242.00 | Garwicz2009(Garwicz,secondary)=1350.00 | deSousa2009(deSousa,secondary)=1350.00 | deSousa2009(deSousa,secondary)=1110.00 | Sherwood2003(Sherwood,secondary)=1250.00 | Stephan1981(Stephan_collection,primary)=1330.00 | deSousa2013(Zilles,secondary)=1303.70 | Lewitus2014(Lewitus,secondary)=1300.00 | Stephan1970(Stephan_collection,primary)=1330.00 | Stephan1970(Stephan_collection,primary)=1330.00 | Brodmann1913(Brodmann,primary)=1590.00 | Brodmann1913(Brodmann,primary)=1327.00"
"Gorilla gorilla","Brain_Mass_measured",32,8,443.119,1.44,"","Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | Armstrong1979(Armstrong,secondary)=540.00 | deSousa2010(Zilles,primary)=376.00 | deSousa2010(Zilles,primary)=450.00 | Bauernfeind2013(Zilles,primary)=450.00 | Bauernfeind2013(Zilles,primary)=420.00 | Bauernfeind2013(Zilles,primary)=419.00 | Bauernfeind2013(Zilles,primary)=376.00 | Garwicz2009(Garwicz,secondary)=500.00 | deSousa2009(deSousa,secondary)=376.00 | Sherwood2003(Sherwood,secondary)=505.90 | Stephan1981(Stephan_collection,primary)=500.00 | deSousa2013(Zilles,secondary)=376.00 | Lewitus2014(Lewitus,secondary)=477.44 | Lewitus2013(Lewitus,secondary)=477.44 | Stephan1970(Stephan_collection,primary)=465.00 | Stephan1970(Stephan_collection,primary)=465.00 | MacLeod2000(MacLeod,secondary)=429.40"
"Hylobates lar","Brain_Mass_measured",22,6,102.25,1.47,"","Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Armstrong1979(Armstrong,secondary)=101.90 | Jacobs2018(Jacobs,info)=134.80 | Jacobs2018(Jacobs,info)=134.80 | deSousa2010(Zilles,primary)=92.00 | deSousa2010(Zilles,primary)=120.00 | Bauernfeind2013(Zilles,primary)=92.00 | deSousa2009(deSousa,secondary)=120.00 | Stephan1981(Stephan_collection,primary)=102.00 | deSousa2013(Zilles,secondary)=106.00 | Lewitus2014(Lewitus,secondary)=101.52 | Lewitus2013(Lewitus,secondary)=101.52"
"Canis lupus familiaris","Brain_Mass_measured",20,3,52.9258,11.32,"DISAGREEMENT>2x","Schleifenbaum1973(Schleifenbaum,primary)=11.03 | Schleifenbaum1973(Schleifenbaum,primary)=17.25 | Schleifenbaum1973(Schleifenbaum,primary)=27.23 | Schleifenbaum1973(Schleifenbaum,primary)=37.10 | Schleifenbaum1973(Schleifenbaum,primary)=39.17 | Schleifenbaum1973(Schleifenbaum,primary)=58.00 | Schleifenbaum1973(Schleifenbaum,primary)=73.12 | Schleifenbaum1973(Schleifenbaum,primary)=75.98 | Schleifenbaum1973(Schleifenbaum,primary)=85.41 | Schleifenbaum1973(Schleifenbaum,primary)=8.46 | Schleifenbaum1973(Schleifenbaum,primary)=9.31 | Schleifenbaum1973(Schleifenbaum,primary)=7.97 | Schleifenbaum1973(Schleifenbaum,primary)=15.28 | Schleifenbaum1973(Schleifenbaum,primary)=35.10 | Schleifenbaum1973(Schleifenbaum,primary)=37.33 | Schleifenbaum1973(Schleifenbaum,primary)=59.65 | Schleifenbaum1973(Schleifenbaum,primary)=74.69 | Schleifenbaum1973(Schleifenbaum,primary)=90.25 | Garwicz2009(Garwicz,secondary)=70.20 | Brodmann1913(Brodmann,primary)=63.50"
"Canis lupus","Brain_Mass_measured",15,1,111.5267,12.49,"DISAGREEMENT>2x","Schleifenbaum1973(Schleifenbaum,primary)=13.00 | Schleifenbaum1973(Schleifenbaum,primary)=75.20 | Schleifenbaum1973(Schleifenbaum,primary)=121.20 | Schleifenbaum1973(Schleifenbaum,primary)=135.00 | Schleifenbaum1973(Schleifenbaum,primary)=49.20 | Schleifenbaum1973(Schleifenbaum,primary)=102.00 | Schleifenbaum1973(Schleifenbaum,primary)=152.40 | Schleifenbaum1973(Schleifenbaum,primary)=115.70 | Schleifenbaum1973(Schleifenbaum,primary)=119.00 | Schleifenbaum1973(Schleifenbaum,primary)=125.00 | Schleifenbaum1973(Schleifenbaum,primary)=117.40 | Schleifenbaum1973(Schleifenbaum,primary)=121.00 | Schleifenbaum1973(Schleifenbaum,primary)=132.60 | Schleifenbaum1973(Schleifenbaum,primary)=131.80 | Schleifenbaum1973(Schleifenbaum,primary)=162.40"
"Pan paniscus","Brain_Mass_measured",15,3,353.3571,1.34,"","deSousa2010(Zilles,primary)=392.00 | deSousa2010(Zilles,primary)=324.00 | deSousa2010(Zilles,primary)=337.00 | Bauernfeind2013(Zilles,primary)=395.00 | Bauernfeind2013(Zilles,primary)=337.00 | Bauernfeind2013(Zilles,primary)=324.00 | deSousa2009(deSousa,secondary)=324.00 | Stimpson2015(Stimpson,secondary)=353.30 | Stimpson2015(Stimpson,secondary)=337.00 | Stimpson2015(Stimpson,secondary)=307.40 | Stimpson2015(Stimpson,secondary)=326.70 | Stimpson2015(Stimpson,secondary)=313.20 | Stimpson2015(Stimpson,secondary)=305.10 | Stimpson2015(Stimpson,secondary)=295.70 | deSousa2013(Zilles,secondary)=364.50"
"Papio cynocephalus anubis","Brain_Mass_measured",14,2,109.6417,3.47,"DISAGREEMENT>2x","Young2013(Young,info)=173.40 | Young2013(Young,info)=165.30 | Young2013(Young,info)=159.70 | Young2013(Young,info)=173.40 | Young2013(Young,info)=165.30 | Young2013(Young,info)=159.70 | Young2013(Young,info)=173.40 | Young2013(Young,info)=165.30 | Young2013(Young,info)=159.70 | Young2013(Young,info)=173.40 | Young2013(Young,info)=165.30 | Young2013(Young,info)=159.70 | Turner2016(Turner,info)=56.30 | Turner2016(Turner,info)=50.00"
"Macaca mulatta","Brain_Mass_measured",13,8,81.5854,2.86,"DISAGREEMENT>2x","Nudo1995(Nudo,primary)=53.70 | Garwicz2009(Garwicz,secondary)=93.80 | Finlay2006(Finlay,primary)=95.00 | Changizi2005(Changizi,primary)=84.64 | Changizi2005(Changizi,primary)=84.64 | Stephan1981(Stephan_collection,primary)=93.00 | deSousa2013(Zilles,secondary)=78.00 | Turner2016(Turner,info)=33.20 | Lewitus2014(Lewitus,secondary)=89.22 | Lewitus2013(Lewitus,secondary)=89.22 | Stephan1970(Stephan_collection,primary)=93.00 | Stephan1970(Stephan_collection,primary)=93.00 | Frahm1998(Stephan_collection,secondary)=93.00"
"Aotus trivirgatus","Brain_Mass_measured",10,5,17.0292,1.14,"","Finlay2006(Finlay,primary)=18.20 | Sherwood2003(Sherwood,secondary)=18.20 | Changizi2005(Changizi,primary)=16.34 | Changizi2005(Changizi,primary)=16.34 | Stephan1981(Stephan_collection,primary)=17.10 | Lewitus2014(Lewitus,secondary)=17.40 | Lewitus2013(Lewitus,secondary)=17.40 | Stephan1970(Stephan_collection,primary)=16.00 | Stephan1970(Stephan_collection,primary)=16.00 | Frahm1998(Stephan_collection,secondary)=17.10"
