"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Abeomelomys sevia",,,1.49,,
"Acinonyx jubatus",,,111,,
"Acomys cahirinus",,,0.7,,
"Acomys wilsoni",,,0.58,,
"Acrobates pygmaeus",,,0.35,,
"Addax nasomaculatus",,,185,,
"Aepyceros melampus",,,175,,
"Aepyprymnus rufescens",,,12.3,,
"Aeromys tephromelas",,,10.34,,
"Aethomys chrysophilus",,,1.25,,
"Aethomys hindei",,,1.42,,
"Ailuropoda melanoleuca",,,205,,
"Ailurus fulgens",,,46.8,,
"Akodon azarae",,,0.642,,
"Alcelaphus buselaphus",,,284.9,,
"Alcelaphus lichtensteinii",,,357,,
"Alces alces",,,436,,
"Alces americanus",,,407,,
"Allactaga sibirica",,,3.5,,
"Allenopithecus nigroviridis",,,58.021,,
"Alouatta belzebul",,,52.8438,,
"Alouatta caraya",,,50.7,55.8,
"Alouatta guariba",,,49.1,,
"Alouatta macconnelli",,,61.3308,,
"Alouatta palliata",,,50.04,52.75,
"Alouatta pigra",,,51.125,,
"Alouatta sara",,,59.0833,,
"Alouatta seniculus",,,45.5,51.5,
"Amblonyx cinereus",,,,38.1,
"Amblysomus hottentotus",0.812,,,,
"Ametrida centurio",,,0.29,,
"Ametrida centurio (STE)",,,,0.29,
"Ammospermophilus harrisii",,,2.405,,
"Ammospermophilus insularis",,,2.55,,
"Ammospermophilus interpres",,,2.5,,
"Ammospermophilus leucurus",,,2.25,,
"Ammospermophilus nelsoni",,,2.625,,
"Ammotragus lervia",,,209,,
"Anoura caudifer",,,0.4225,,
"Anoura geoffroyi",,,0.583,,
"Antechinomys laniger",,,0.47,,
"Antechinus agilis",,,0.56,,
"Antechinus bellus",,,0.63,,
"Antechinus flavipes",,,0.64,,
"Antechinus leo",,,0.75,,
"Antechinus minimus",,,0.74,,
"Antechinus stuartii",,,0.76,,
"Antechinus subtropicus",,,0.72,,
"Antechinus swainsonii",,,1.09,,
"Antidorcas marsupialis",105.081,,135,,
"Antilocapra americana",,,125.6,,
"Antilope cervicapra",,,110.8,,
"Aonyx capensis",,,94.6,,
"Aonyx cinerea",,,38.09,,
"Aotus azarae",,,20.7,,
"Aotus lemurinus",,,113.5,,
"Aotus sp.",,,,16.35,
