Species,Variable,Value,Source
Amblysomus hottentotus,Body_Mass.g,79,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,Cerebellum_C.n,42644000,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_Mass.g,0.084,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_N.n,34488379,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_N.p.mg,409687,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_O.n,8155621,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_O.p.N,0.236,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_O.p.mg,96849,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,Cerebellum_p.C.N,80.8751031798143,HerculanoHouzel_etal_2015_Table2
Amblysomus hottentotus,CerebralCortex_C.n,42886000,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_Mass.g,0.439,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_N.n,21516000,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_N.p.mg,48932,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_O.n,21370000,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_O.p.N,0.982,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_O.p.mg,48146,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,CerebralCortex_p.C.N,50.1702187193956,HerculanoHouzel_etal_2015_Table1
Amblysomus hottentotus,RoB_C.n,25905000,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_Mass.g,0.289,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_N.n,9070358,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_N.p.mg,31616,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_O.n,16834642,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_O.p.N,1.839,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_O.p.mg,58880,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,RoB_p.C.N,35.0139278131635,HerculanoHouzel_etal_2015_Table3
Amblysomus hottentotus,WholeBrain_C.n,111705000,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_Mass.g,0.812,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_N.n,65074000,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_N.p.mg,80140.3940886699,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_O.n,46631000,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_O.p.N,0.716584196453269,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_O.p.mg,57427.3399014778,HerculanoHouzel_etal_2015_Table5
Amblysomus hottentotus,WholeBrain_p.C.N,58.2552258180028,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,Body_Mass.g,25000,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,Cerebellum_C.n,2724458750,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_I.n,58975662,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_I.p.C,0.0216467443304106,DosSantos_etal_2020_unpublished
Antidorcas marsupialis,Cerebellum_I.p.mg,5147.11659975563,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table2_HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_Mass.g,11.458,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_N.n,2257214074,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_N.p.mg,196999,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_O.n,467244676,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_O.p.N,0.207,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_O.p.mg,40779,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,Cerebellum_p.C.N,82.8499999862358,HerculanoHouzel_etal_2015_Table2
Antidorcas marsupialis,CerebralCortexGrey_N.n,293770000,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,CerebralCortexGrey_N.p.mg,6684,Kazu_etal_2015_TABLE1
