Original_Term,Reference,Standardized_Term
Br_C,DosSantos_etal_2020_Table1,WholeBrain_C.n
Br_I,DosSantos_etal_2020_Table1,WholeBrain_I.n
Br_I/N,DosSantos_etal_2020_Table1,WholeBrain_I.p.N
Br_I/mg,DosSantos_etal_2020_Table1,WholeBrain_I.p.mg
Br_N,DosSantos_etal_2020_Table1,WholeBrain_N.n
Br_N/mg,DosSantos_etal_2020_Table1,WholeBrain_N.p.mg
Br_No. of samples,DosSantos_etal_2020_Table1,WholeBrain_S.n
Br_Structure mass (g),DosSantos_etal_2020_Table1,WholeBrain_Mass.g
Cb_C,DosSantos_etal_2020_Table1,Cerebellum_C.n
Cb_I,DosSantos_etal_2020_Table1,Cerebellum_I.n
Cb_I/N,DosSantos_etal_2020_Table1,Cerebellum_I.p.N
Cb_I/mg,DosSantos_etal_2020_Table1,Cerebellum_I.p.mg
Cb_N,DosSantos_etal_2020_Table1,Cerebellum_N.n
Cb_N/mg,DosSantos_etal_2020_Table1,Cerebellum_N.p.mg
Cb_No. of samples,DosSantos_etal_2020_Table1,Cerebellum_S.n
Cb_Structure mass (g),DosSantos_etal_2020_Table1,Cerebellum_Mass.g
Ctx_C,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_C.n
Ctx_I,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_I.n
Ctx_I/N,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_I.p.N
Ctx_I/mg,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_I.p.mg
Ctx_N,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_N.n
Ctx_N/mg,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_N.p.mg
Ctx_No. of samples,DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_S.n
Ctx_Structure mass (g),DosSantos_etal_2020_Table1,CerebralCortexNoHippocampus_Mass.g
Cx_C,DosSantos_etal_2020_Table1,CerebralCortex_C.n
Cx_I,DosSantos_etal_2020_Table1,CerebralCortex_I.n
Cx_I/N,DosSantos_etal_2020_Table1,CerebralCortex_I.p.N
Cx_I/mg,DosSantos_etal_2020_Table1,CerebralCortex_I.p.mg
Cx_N,DosSantos_etal_2020_Table1,CerebralCortex_N.n
Cx_N/mg,DosSantos_etal_2020_Table1,CerebralCortex_N.p.mg
Cx_No. of samples,DosSantos_etal_2020_Table1,CerebralCortex_S.n
Cx_Structure mass (g),DosSantos_etal_2020_Table1,CerebralCortex_Mass.g
Hp_C,DosSantos_etal_2020_Table1,Hippocampus_C.n
Hp_I,DosSantos_etal_2020_Table1,Hippocampus_I.n
Hp_I/N,DosSantos_etal_2020_Table1,Hippocampus_I.p.N
Hp_I/mg,DosSantos_etal_2020_Table1,Hippocampus_I.p.mg
Hp_N,DosSantos_etal_2020_Table1,Hippocampus_N.n
Hp_N/mg,DosSantos_etal_2020_Table1,Hippocampus_N.p.mg
Hp_No. of samples,DosSantos_etal_2020_Table1,Hippocampus_S.n
Hp_Structure mass (g),DosSantos_etal_2020_Table1,Hippocampus_Mass.g
P+M_C,DosSantos_etal_2020_Table1,PonsMedulla_C.n
P+M_I,DosSantos_etal_2020_Table1,PonsMedulla_I.n
P+M_I/N,DosSantos_etal_2020_Table1,PonsMedulla_I.p.N
P+M_I/mg,DosSantos_etal_2020_Table1,PonsMedulla_I.p.mg
P+M_N,DosSantos_etal_2020_Table1,PonsMedulla_N.n
P+M_N/mg,DosSantos_etal_2020_Table1,PonsMedulla_N.p.mg
P+M_No. of samples,DosSantos_etal_2020_Table1,PonsMedulla_S.n
P+M_Structure mass (g),DosSantos_etal_2020_Table1,PonsMedulla_Mass.g
RoB_C,DosSantos_etal_2020_Table1,RoB_C.n
RoB_I,DosSantos_etal_2020_Table1,RoB_I.n
RoB_I/N,DosSantos_etal_2020_Table1,RoB_I.p.N
RoB_I/mg,DosSantos_etal_2020_Table1,RoB_I.p.mg
RoB_N,DosSantos_etal_2020_Table1,RoB_N.n
RoB_N/mg,DosSantos_etal_2020_Table1,RoB_N.p.mg
RoB_No. of samples,DosSantos_etal_2020_Table1,RoB_S.n
RoB_Structure mass (g),DosSantos_etal_2020_Table1,RoB_Mass.g
Species name,DosSantos_etal_2020_Table1,Species
