record_id,Species,Species_printed,Compilation,Table,source_row,source_snapshot_row,Region,Region_raw,Subregion_raw,Measure,measure_class,Value_raw,Units_raw,Value,SD,n,Units,conscious,condition_group,include_in_primary_merge,source_granularity,arm_identity_status,arm_ambiguity_group_id,derivation_role,exclusion_reason,primary_reference_ids,primary_references,primary_reference_raw,source_reference_ids,source_references,source_reference_levels,source_reference_types,reference_resolution_status,ref_raw,ref_keys_str
1,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,82,82,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,40,mL/100g/min,40.0,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,michenfelder1974,"(Michenfelder, 1974)","(Michenfelder, 1974)",michenfelder1974,"(Michenfelder, 1974)",primary,journal_article,resolved,"(Michenfelder, 1974)",michenfelder1974
2,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,83,83,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,50.9,mL/100g/min,50.9,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1986,"(Roald etal., 1986a)","(Roald etal., 1986a)",roald1986,"(Roald etal., 1986a)",primary,journal_article,resolved,"(Roald etal., 1986a)",roald1986
3,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,84,84,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,45.6,mL/100g/min,45.6,,13.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,zimmer1975,"(Zimmer, 1975)","(Zimmer, 1975)",zimmer1975,"(Zimmer, 1975)",primary,journal_article,resolved,"(Zimmer, 1975)",zimmer1975
4,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,85,85,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,60.3,mL/100g/min,60.3,,10.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,hamer1978,"(Hamer etal., 1978)","(Hamer etal., 1978)",hamer1978,"(Hamer etal., 1978)",primary,journal_article,resolved,"(Hamer etal., 1978)",hamer1978
5,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,88,88,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,19.6,mL/100g/min,19.6,,12.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,astrup1981,"(Astrup et al., 1981)","(Astrup et al., 1981)",astrup1981,"(Astrup et al., 1981)",primary,journal_article,resolved,"(Astrup et al., 1981)",astrup1981
6,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,89,89,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,66,mL/100g/min,66.0,,5.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,mcpherson1997,"(McPherson et al., 1997)","(McPherson et al., 1997)",mcpherson1997,"(McPherson et al., 1997)",primary,journal_article,resolved,"(McPherson et al., 1997)",mcpherson1997
7,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,90,90,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,74,mL/100g/min,74.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,mcpherson1997,"(McPherson et al., 1997)","(McPherson et al., 1997)",mcpherson1997,"(McPherson et al., 1997)",primary,journal_article,resolved,"(McPherson et al., 1997)",mcpherson1997
8,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,91,91,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,45,mL/100g/min,45.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1986,"(Roald et al., 1986b)","(Roald et al., 1986b)",roald1986,"(Roald et al., 1986b)",primary,journal_article,resolved,"(Roald et al., 1986b)",roald1986
9,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,92,92,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,62.7,mL/100g/min,62.7,,16.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,sakabe1974,"(Sakabe et al., 1974)","(Sakabe et al., 1974)",sakabe1974,"(Sakabe et al., 1974)",primary,journal_article,resolved,"(Sakabe et al., 1974)",sakabe1974
10,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,93,93,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,63,mL/100g/min,63.0,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,nakanishi1997,"(Nakanishi et al., 1997)","(Nakanishi et al., 1997)",nakanishi1997,"(Nakanishi et al., 1997)",primary,journal_article,resolved,"(Nakanishi et al., 1997)",nakanishi1997
