Species,Whole_brain__CBF,Whole_brain__CMRO2,Whole_brain__CMRgl,Whole_brain__Total_O2_consumption,Whole_brain__Total_glucose_utilization,Amygdala__CMRgl,Basal_ganglia__CMRgl,Brain_stem__CMRgl,Caudate_nucleus__CMRgl,Cerebellum__CMRgl,Cingulate_cortex__CMRgl,Frontal_cortex__CMRgl,Hippocampus__CMRgl,Hypothalamus__CMRgl,Neocortex__CMRgl,Occipital_cortex__CMRgl,Pallidum__CMRgl,Parietal_cortex__CMRgl,Sensorimotor_cortex__CMRgl,Septum__CMRgl,Substantia_nigra__CMRgl,Temporal_cortex__CMRgl,Thalamus__CMRgl,Visual_cortex__CMRgl,White_matter__CMRgl,Auditory_cortex__CMRgl,Basal_forebrain__CMRgl,Basal_ganglia__CBF,Basal_ganglia__CMRO2,Capsula_interna__CMRgl,Centrum_semiovale__CMRgl,Cerebellar_cortex__CMRgl,Cerebellum__CBF,Cerebellum__CMRO2,Colliculus_inferior__CMRgl,Colliculus_superior__CMRgl,Corpus_geniculatum_laterale__CMRgl,Corpus_geniculatum_mediale__CMRgl,Frontal_cortex__CMRO2,Hippocampus__CBF,Hippocampus__CMRO2,Insula__CMRgl,Neocortex__CBF,Neocortex__CMRO2,Nucleus_accumbens__CMRgl,Nucleus_dentatus_cerebelli__CMRgl,Nucleus_ruber__CMRgl,Nucleus_subthalamicus__CMRgl,Occipital_cortex__CMRO2,Parietal_cortex__CMRO2,Prefrontal_cortex__CMRgl,Putamen__CMRgl,Sensorimotor_cortex__CMRO2,Temporal_cortex__CMRO2,Thalamus__CBF,Thalamus__CMRO2,Thalamus_medial_nucleus__CMRgl,Vermis__CMRgl,White_matter__CBF,White_matter__CMRO2
Canis lupus familiaris,30.8,105.75,44.5,4.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capra aegagrus hircus,NA,NA,35.0,NA,40.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus caballus,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,NA,5.8,69.0,1.844,21.78,44.0,54.55,135.5,79.0,55.833,58.5,49.0,52.6,66.5,75.767,92.0,39.333,57.0,64.0,38.0,40.0,91.5,79.08,78.667,16.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,52.287,155.383,29.13,48.615,428.55,21.6,36.885,NA,34.65,32.352,36.343,36.138,28.591,27.0,35.467,37.117,21.9,36.143,36.919,NA,24.4,32.955,36.141,38.0,19.146,40.225,21.4,45.75,169.645,25.5,12.3,29.8,57.74,183.425,31.4,24.4,23.1,20.2,148.809,47.4,137.1,30.3,44.61,150.738,32.3,24.2,31.0,25.2,167.317,155.247,33.0,40.2,148.434,155.104,54.238,177.311,36.6,30.1,23.073,74.8
Lepus sp.,NA,NA,NA,NA,NA,NA,58.7,NA,NA,NA,NA,NA,58.1,NA,77.4,76.4,NA,73.1,82.65,NA,NA,NA,89.7,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,43.0,136.16,31.64,NA,NA,NA,45.375,NA,NA,36.0,54.2,49.0,34.5,NA,55.8,59.4,NA,48.3,56.55,NA,NA,38.0,46.45,NA,15.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,85.567,280.2,44.02,6.0,35.98,32.0,43.8,85.75,54.333,28.433,38.48,47.7,35.1,42.833,46.043,54.34,28.0,42.1,46.0,27.667,36.667,47.55,44.313,62.5,11.36,NA,NA,60.5,255.0,NA,NA,NA,47.8,NA,NA,NA,NA,NA,NA,53.9,NA,NA,53.0,NA,NA,NA,NA,NA,NA,NA,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meriones unguiculatus,102.0,NA,NA,NA,NA,NA,75.0,NA,NA,44.4,NA,67.8,69.0,NA,83.7,69.4,NA,NA,67.2,NA,NA,NA,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0,NA,NA,NA,NA,NA,NA,109.0,NA,NA,112.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.0,NA
Mus musculus,117.0,NA,73.208,NA,0.32,58.0,75.475,93.0,125.0,92.0,92.833,98.82,67.72,81.75,94.863,84.225,76.0,98.5,99.42,73.0,88.0,93.0,101.0,111.0,38.0,96.1,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
