Original_Term,Reference,Standardized_Term
species,Karbowski__2007_TableS1-S23,Species
Amygdala,Karbowski__2007_TableS1-S23,Amygdala
Brain,Karbowski__2007_TableS1-S23,Whole_brain
Brain stem,Karbowski__2007_TableS1-S23,Brain_stem
Caudate,Karbowski__2007_TableS1-S23,Caudate_nucleus
Cerebellum,Karbowski__2007_TableS1-S23,Cerebellum
Cerebral cortex,Karbowski__2007_TableS1-S23,Neocortex
Cingulate cortex,Karbowski__2007_TableS1-S23,Cingulate_cortex
Frontal cortex,Karbowski__2007_TableS1-S23,Frontal_cortex
Globus pallidus,Karbowski__2007_TableS1-S23,Pallidum
Hippocampus,Karbowski__2007_TableS1-S23,Hippocampus
Hypothalamus,Karbowski__2007_TableS1-S23,Hypothalamus
Occipital cortex,Karbowski__2007_TableS1-S23,Occipital_cortex
Parietal cortex,Karbowski__2007_TableS1-S23,Parietal_cortex
Prefrontal cortex,Karbowski__2007_TableS1-S23,Prefrontal_cortex
Sensorimotor cortex,Karbowski__2007_TableS1-S23,Sensorimotor_cortex
Septum,Karbowski__2007_TableS1-S23,Septum
Substantia nigra,Karbowski__2007_TableS1-S23,Substantia_nigra
Temporal cortex,Karbowski__2007_TableS1-S23,Temporal_cortex
Thalamus,Karbowski__2007_TableS1-S23,Thalamus
Visual cortex,Karbowski__2007_TableS1-S23,Visual_cortex
White matter,Karbowski__2007_TableS1-S23,White_matter
CMRgl,Karbowski__2007_TableS1-S23,CMRgl
CMRO2,Karbowski__2007_TableS1-S23,CMRO2
