Original_Term,Reference,Standardized_Term
Species,Changizi__2001_Figure3,Species
n_areas,Changizi__2001_Figure3,n_cortical_areas
Species,Collins_etal_2010_DatasetS1,Species
surface_area_mm2,Collins_etal_2010_DatasetS1,CorticalSurface_Area.mm2_piece
Species,Finlay_etal_2006_Table6.1,Species
visual_areas,Finlay_etal_2006_Table6.1,n_visual_areas
somatomotor_areas,Finlay_etal_2006_Table6.1,n_somatomotor_areas
total_areas,Finlay_etal_2006_Table6.1,n_cortical_areas
cortical_area_mm2,Finlay_etal_2006_Table6.1,CorticalSurface_Area.mm2
Species,Krubitzer_Kaas_1990_Table1,Species
Species,Turner_etal_2016_Table1,Species
Brain surface area cm2,Turner_etal_2016_Table1,CorticalSurface_Area.mm2
Species,Young_etal_2013_Table1,Species
M1_area_mm2,Young_etal_2013_Table1,M1_Surface_Area.mm2
