"Specimen","Species","Group","Measure","Units","Value","Ratio_MH","Scope","Volume_basis","Team","Source","note"
"LB1","H. floresiensis","early Homo","BGU","umol/min",46.1,0.108,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"LB1","H. floresiensis","early Homo","BGU","umol/min",104.7,0.247,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"LB1","H. floresiensis","early Homo","BGU","umol/min",154.7,0.365,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"Forbes' Quarry 1","H. neanderthalensis","Neanderthal","BGU","umol/min",355,0.828,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"Forbes' Quarry 1","H. neanderthalensis","Neanderthal","BGU","umol/min",366.7,0.865,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"Forbes' Quarry 1","H. neanderthalensis","Neanderthal","BGU","umol/min",388.7,0.917,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"La Chapelle-aux-Saints 1","H. neanderthalensis","Neanderthal","BGU","umol/min",404.6,0.944,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"La Chapelle-aux-Saints 1","H. neanderthalensis","Neanderthal","BGU","umol/min",450.3,1.062,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"La Chapelle-aux-Saints 1","H. neanderthalensis","Neanderthal","BGU","umol/min",506.3,1.194,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"AS8078","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",428.6,1,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"AS8078","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",423.9,1,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"AS8078","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",470.2,1.109,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"M3-A343","H. sapiens (Bushman)","H. sapiens (early/recent)","BGU","umol/min",471.8,1.101,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"M3-A343","H. sapiens (Bushman)","H. sapiens (early/recent)","BGU","umol/min",436.2,1.029,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"M3-A343","H. sapiens (Bushman)","H. sapiens (early/recent)","BGU","umol/min",470.2,1.109,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"M4-A344","H. sapiens (Bushman)","H. sapiens (early/recent)","BGU","umol/min",409.9,0.956,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"M4-A344","H. sapiens (Bushman)","H. sapiens (early/recent)","BGU","umol/min",419,0.988,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"M4-A344","H. sapiens (Bushman)","H. sapiens (early/recent)","BGU","umol/min",470.2,1.109,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"BC1","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",445.5,1.04,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"BC1","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",431.5,1.018,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"BC1","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",474.9,1.12,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"LH 18","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",351.5,0.82,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"LH 18","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",385.2,0.909,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"LH 18","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",435.4,1.027,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"Skhul 5","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",276.7,0.646,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"Skhul 5","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",385.3,0.909,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"Skhul 5","H. sapiens","H. sapiens (early/recent)","BGU","umol/min",477.6,1.127,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"KNM-ER 1470","H. rudolfensis","early Homo","BGU","umol/min",102.8,0.24,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"KNM-ER 1470","H. rudolfensis","early Homo","BGU","umol/min",190,0.448,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
"KNM-ER 1470","H. rudolfensis","early Homo","BGU","umol/min",258.6,0.61,"whole_brain","endocranial_capacity","Boyer_ACA_ecvpred","Boyer_Harrington_2018","ECV-predicted ACA (upper bound; unfiltered only)"
"Ndutu","H. heidelbergensis","early Homo","BGU","umol/min",187.4,0.437,"whole_brain","endocranial_capacity","Seymour_flow","Seymour_etal_2017",""
"Ndutu","H. heidelbergensis","early Homo","BGU","umol/min",293.5,0.692,"whole_brain","endocranial_capacity","Boyer_ACA_scaled","Boyer_Harrington_2018",""
