Species,Standardized_Term,GI,source,team,ref,dependency_group
Tachyglossus aculeatus,GI,1.3555,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Mus musculus,GI,1.03,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Rattus norvegicus,GI,1.02,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Mesocricetus auratus,GI,1.01,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Castor canadensis,GI,1.02,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Hydrochoerus hydrochaeris,GI,1.3,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Dasyprocta leporina,GI,1.23,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Oryctolagus cuniculus,GI,1.15,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cercopithecus mitis,GI,1.785,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Erythrocebus patas,GI,1.91,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Miopithecus talapoin,GI,1.74,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Mandrillus sphinx,GI,2.1384,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Lophocebus albigena,GI,1.865,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Papio hamadryas,GI,1.985,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Macaca mulatta,GI,1.79,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Piliocolobus badius,GI,1.805,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Pygathrix nemaeus,GI,1.635,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Gorilla gorilla,GI,2.26,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Homo sapiens,GI,2.56,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Pan troglodytes,GI,2.455,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Pongo pygmaeus,GI,2.21,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Hylobates lar,GI,1.855,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Alouatta palliata,GI,1.3275,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Alouatta seniculus,GI,1.465,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Ateles paniscus,GI,1.68,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Lagothrix lagothricha,GI,1.97,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Callicebus moloch,GI,1.2537,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Aotus trivirgatus,GI,1.31,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Callimico goeldii,GI,1.255,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Callithrix jacchus,GI,1.17,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Saguinus midas,GI,1.195,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Saguinus oedipus,GI,1.195,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cebus albifrons,GI,1.69,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Saimiri sciureus,GI,1.55,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Tarsius bancanus,GI,1.075,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Tarsius syrichta,GI,1.1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Microcebus murinus,GI,1.1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cheirogaleus major,GI,1.15,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cheirogaleus medius,GI,1.11,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Avahi laniger,GI,1.255,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Avahi occidentalis,GI,1.145,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Propithecus verreauxi,GI,1.345,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Indri indri,GI,1.455,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Daubentonia madagascariensis,GI,1.25,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Eulemur fulvus,GI,1.46,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Eulemur mongoz,GI,1.33,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Lemur catta,GI,1.325,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Varecia variegata,GI,1.315,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Lepilemur ruficaudatus,GI,1.135,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Perodicticus potto,GI,1.265,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Loris tardigradus,GI,1.285,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Nycticebus coucang,GI,1.205,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Galago senegalensis,GI,1.17,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Otolemur crassicaudatus,GI,1.255,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Galagoides demidoff,GI,1.21,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cynocephalus volans,GI,1.343,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Tupaia glis,GI,1.062,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Ovis aries,GI,1.94,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Capra hircus domestica,GI,2.278,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Bos taurus indicus,GI,2.53,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Odocoileus virginianus,GI,2.27,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Phocoena phocoena,GI,4.13,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Delphinus delphis,GI,3.99,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Tursiops truncatus,GI,4.76,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Pseudorca crassidens,GI,4.97,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Globicephala macrorhynchus,GI,5.24,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
