Species,Region,Measure,Units,Value,n_studies,Compilations,Volume_term
Canis lupus familiaris,Whole_brain,CBF,mL/100g/min,30.8,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Canis lupus familiaris,Whole_brain,CMRO2,umol/100g/min,105.75,2,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
Canis lupus familiaris,Whole_brain,CMRgl,umol/100g/min,44.5,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Capra aegagrus hircus,Whole_brain,CMRgl,umol/100g/min,35,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Equus caballus,Whole_brain,CBF,mL/100g/min,65.4,2,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Felis catus,Amygdala,CMRgl,umol/100g/min,44,2,Karbowski_2007,Amygdala_Vol.mm3
Felis catus,Basal_ganglia,CMRgl,umol/100g/min,54.55,2,Kaufman_2004,NA
Felis catus,Brain_stem,CMRgl,umol/100g/min,135.5,2,Karbowski_2007,NA
Felis catus,Caudate_nucleus,CMRgl,umol/100g/min,79,3,Karbowski_2007,NA
Felis catus,Cerebellum,CMRgl,umol/100g/min,55.833,3,Karbowski_2007; Kaufman_2004,Cerebellum_Vol.mm3
Felis catus,Cingulate_cortex,CMRgl,umol/100g/min,58.5,2,Karbowski_2007; Kaufman_2004,NA
Felis catus,Frontal_cortex,CMRgl,umol/100g/min,49,1,Kaufman_2004,NA
Felis catus,Hippocampus,CMRgl,umol/100g/min,52.6,5,Karbowski_2007; Kaufman_2004,Hippocampus_Vol.mm3
Felis catus,Hypothalamus,CMRgl,umol/100g/min,66.5,2,Karbowski_2007,NA
Felis catus,Neocortex,CMRgl,umol/100g/min,75.767,6,Karbowski_2007; Kaufman_2004,Neocortex_Vol.mm3
Felis catus,Occipital_cortex,CMRgl,umol/100g/min,92,2,Karbowski_2007; Kaufman_2004,NA
Felis catus,Pallidum,CMRgl,umol/100g/min,39.333,3,Karbowski_2007,Pallidum_Vol.mm3
Felis catus,Parietal_cortex,CMRgl,umol/100g/min,57,2,Karbowski_2007; Kaufman_2004,NA
Felis catus,Sensorimotor_cortex,CMRgl,umol/100g/min,64,1,Karbowski_2007,NA
Felis catus,Septum,CMRgl,umol/100g/min,38,2,Karbowski_2007,NA
Felis catus,Substantia_nigra,CMRgl,umol/100g/min,40,3,Karbowski_2007,NA
Felis catus,Temporal_cortex,CMRgl,umol/100g/min,91.5,4,Karbowski_2007; Kaufman_2004,NA
Felis catus,Thalamus,CMRgl,umol/100g/min,79.08,5,Karbowski_2007; Kaufman_2004,Thalamus_Vol.mm3
Felis catus,Visual_cortex,CMRgl,umol/100g/min,78.667,3,Karbowski_2007,NA
Felis catus,White_matter,CMRgl,umol/100g/min,16.667,3,Karbowski_2007; Kaufman_2004,NA
Felis catus,Whole_brain,CMRO2,umol/100g/min,5.8,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Felis catus,Whole_brain,CMRgl,umol/100g/min,69,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Homo sapiens,Amygdala,CMRgl,umol/100g/min,21.6,2,Heiss_etal_2004; Karbowski_2007,Amygdala_Vol.mm3
Homo sapiens,Auditory_cortex,CMRgl,umol/100g/min,40.225,4,Kaufman_2004,NA
Homo sapiens,Basal_forebrain,CMRgl,umol/100g/min,21.4,1,Heiss_etal_2004,NA
Homo sapiens,Basal_ganglia,CBF,mL/100g/min,45.75,4,Kaufman_2004,NA
Homo sapiens,Basal_ganglia,CMRO2,umol/100g/min,169.645,11,Kaufman_2004,NA
Homo sapiens,Basal_ganglia,CMRgl,umol/100g/min,36.885,30,Kaufman_2004,NA
Homo sapiens,Capsula_interna,CMRgl,umol/100g/min,25.5,1,Heiss_etal_2004,NA
Homo sapiens,Caudate_nucleus,CMRgl,umol/100g/min,34.65,4,Heiss_etal_2004; Karbowski_2007,NA
Homo sapiens,Centrum_semiovale,CMRgl,umol/100g/min,12.3,1,Heiss_etal_2004,NA
Homo sapiens,Cerebellar_cortex,CMRgl,umol/100g/min,29.8,1,Heiss_etal_2004,NA
Homo sapiens,Cerebellum,CBF,mL/100g/min,57.74,5,Kaufman_2004,Cerebellum_Vol.mm3
Homo sapiens,Cerebellum,CMRO2,umol/100g/min,183.425,8,Kaufman_2004,Cerebellum_Vol.mm3
Homo sapiens,Cerebellum,CMRgl,umol/100g/min,32.352,24,Karbowski_2007; Kaufman_2004,Cerebellum_Vol.mm3
Homo sapiens,Cingulate_cortex,CMRgl,umol/100g/min,36.343,15,Karbowski_2007; Kaufman_2004,NA
Homo sapiens,Colliculus_inferior,CMRgl,umol/100g/min,31.4,1,Heiss_etal_2004,NA
Homo sapiens,Colliculus_superior,CMRgl,umol/100g/min,24.4,1,Heiss_etal_2004,NA
Homo sapiens,Corpus_geniculatum_laterale,CMRgl,umol/100g/min,23.1,1,Heiss_etal_2004,Corpus_geniculatum_laterale_Vol.mm3
Homo sapiens,Corpus_geniculatum_mediale,CMRgl,umol/100g/min,20.2,1,Heiss_etal_2004,NA
Homo sapiens,Frontal_cortex,CMRO2,umol/100g/min,148.809,17,Kaufman_2004,NA
Homo sapiens,Frontal_cortex,CMRgl,umol/100g/min,36.138,42,Heiss_etal_2004; Karbowski_2007; Kaufman_2004,NA
Homo sapiens,Hippocampus,CBF,mL/100g/min,47.4,2,Kaufman_2004,Hippocampus_Vol.mm3
Homo sapiens,Hippocampus,CMRO2,umol/100g/min,137.1,1,Kaufman_2004,Hippocampus_Vol.mm3
Homo sapiens,Hippocampus,CMRgl,umol/100g/min,28.591,11,Heiss_etal_2004; Karbowski_2007; Kaufman_2004,Hippocampus_Vol.mm3
Homo sapiens,Hypothalamus,CMRgl,umol/100g/min,27,1,Karbowski_2007,NA
Homo sapiens,Insula,CMRgl,umol/100g/min,30.3,1,Heiss_etal_2004,NA
Homo sapiens,Neocortex,CBF,mL/100g/min,44.61,10,Kaufman_2004,Neocortex_Vol.mm3
Homo sapiens,Neocortex,CMRO2,umol/100g/min,150.738,13,Kaufman_2004,Neocortex_Vol.mm3
Homo sapiens,Neocortex,CMRgl,umol/100g/min,35.467,50,Heiss_etal_2004; Karbowski_2007; Kaufman_2004,Neocortex_Vol.mm3
Homo sapiens,Nucleus_accumbens,CMRgl,umol/100g/min,32.3,1,Heiss_etal_2004,NA
Homo sapiens,Nucleus_dentatus_cerebelli,CMRgl,umol/100g/min,24.2,1,Heiss_etal_2004,NA
Homo sapiens,Nucleus_ruber,CMRgl,umol/100g/min,31,1,Heiss_etal_2004,NA
Homo sapiens,Nucleus_subthalamicus,CMRgl,umol/100g/min,25.2,1,Heiss_etal_2004,Nucleus_subthalamicus_Vol.mm3
Homo sapiens,Occipital_cortex,CMRO2,umol/100g/min,167.317,18,Kaufman_2004,NA
Homo sapiens,Occipital_cortex,CMRgl,umol/100g/min,37.117,33,Heiss_etal_2004; Karbowski_2007; Kaufman_2004,NA
Homo sapiens,Pallidum,CMRgl,umol/100g/min,21.9,1,Heiss_etal_2004,Pallidum_Vol.mm3
Homo sapiens,Parietal_cortex,CMRO2,umol/100g/min,155.247,15,Kaufman_2004,NA
Homo sapiens,Parietal_cortex,CMRgl,umol/100g/min,36.143,37,Heiss_etal_2004; Karbowski_2007; Kaufman_2004,NA
Homo sapiens,Prefrontal_cortex,CMRgl,umol/100g/min,33,1,Karbowski_2007,NA
Homo sapiens,Putamen,CMRgl,umol/100g/min,40.2,1,Heiss_etal_2004,NA
Homo sapiens,Sensorimotor_cortex,CMRO2,umol/100g/min,148.434,5,Kaufman_2004,NA
Homo sapiens,Sensorimotor_cortex,CMRgl,umol/100g/min,36.919,11,Karbowski_2007; Kaufman_2004,NA
Homo sapiens,Substantia_nigra,CMRgl,umol/100g/min,24.4,2,Heiss_etal_2004; Karbowski_2007,NA
Homo sapiens,Temporal_cortex,CMRO2,umol/100g/min,155.104,13,Kaufman_2004,NA
Homo sapiens,Temporal_cortex,CMRgl,umol/100g/min,32.955,40,Heiss_etal_2004; Karbowski_2007; Kaufman_2004,NA
Homo sapiens,Thalamus,CBF,mL/100g/min,54.237,8,Kaufman_2004,Thalamus_Vol.mm3
Homo sapiens,Thalamus,CMRO2,umol/100g/min,177.311,9,Kaufman_2004,Thalamus_Vol.mm3
Homo sapiens,Thalamus,CMRgl,umol/100g/min,36.141,34,Karbowski_2007; Kaufman_2004,Thalamus_Vol.mm3
Homo sapiens,Thalamus_medial_nucleus,CMRgl,umol/100g/min,36.6,1,Heiss_etal_2004,NA
Homo sapiens,Vermis,CMRgl,umol/100g/min,30.1,1,Heiss_etal_2004,NA
Homo sapiens,Visual_cortex,CMRgl,umol/100g/min,38,2,Karbowski_2007,NA
Homo sapiens,White_matter,CBF,mL/100g/min,23.073,11,Kaufman_2004,NA
Homo sapiens,White_matter,CMRO2,umol/100g/min,74.8,10,Kaufman_2004,NA
Homo sapiens,White_matter,CMRgl,umol/100g/min,19.146,13,Kaufman_2004,NA
Homo sapiens,Whole_brain,CBF,mL/100g/min,52.287,35,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Homo sapiens,Whole_brain,CMRO2,umol/100g/min,155.383,37,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Homo sapiens,Whole_brain,CMRgl,umol/100g/min,29.13,24,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
