Species,Species_printed,Compilations,n_rows,note
Canis lupus familiaris,Canis,Kaufman_2004,76,Kaufman genus label; binomial assigned by standard-lab-species convention
Canis lupus familiaris,dog,Karbowski_2007,1,
Capra aegagrus hircus,goat,Karbowski_2007,1,
Equus caballus,Equus,Kaufman_2004,2,Kaufman genus label; binomial assigned by standard-lab-species convention
Felis catus,Felis,Kaufman_2004,45,Kaufman genus label; binomial assigned by standard-lab-species convention
Felis catus,cat,Karbowski_2007,48,
Homo sapiens,Homo,Kaufman_2004,609,Kaufman genus label; binomial assigned by standard-lab-species convention
Homo sapiens,Homo sapiens,Heiss_etal_2004,26,
Homo sapiens,human,Karbowski_2007,53,
Lepus sp.,Lepus,Kaufman_2004,18,Kaufman genus label; binomial assigned by standard-lab-species convention
Macaca fascicularis,M fascic,Kaufman_2004,36,
Macaca mulatta,M mulatta,Kaufman_2004,82,
Macaca mulatta,monkey,Karbowski_2007,57,
Meriones unguiculatus,Gerbil,Kaufman_2004,6,Kaufman genus label; binomial assigned by standard-lab-species convention
Meriones unguiculatus,Meriones,Kaufman_2004,23,Kaufman genus label; binomial assigned by standard-lab-species convention
Mus musculus,Mus,Kaufman_2004,76,Kaufman genus label; binomial assigned by standard-lab-species convention
Mus musculus,mouse,Karbowski_2007,26,
Oryctolagus cuniculus,rabbit,Karbowski_2007,18,
Ovis aries,Ovis,Kaufman_2004,7,Kaufman genus label; binomial assigned by standard-lab-species convention
Ovis aries,sheep,Karbowski_2007,2,
Papio anubis,Papio,Kaufman_2004,82,Kaufman genus label; binomial assigned by standard-lab-species convention
Papio anubis,baboon,Karbowski_2007,14,
Rattus norvegicus,Rattus,Kaufman_2004,616,Kaufman genus label; binomial assigned by standard-lab-species convention
Rattus norvegicus,rat,Karbowski_2007,99,
Saimiri sciureus,Saimiri,Kaufman_2004,12,Kaufman genus label; binomial assigned by standard-lab-species convention
Spermophilus tridecemlineatus,squirrel,Karbowski_2007,1,
Sus scrofa,Sus,Kaufman_2004,24,Kaufman genus label; binomial assigned by standard-lab-species convention
