"Species","Measure","Units","Value","Medium","n_studies","Sources","Study_keys","Data_role","value_origin","value_range"
"Acinonyx jubatus","Visual_acuity.cdeg","c/deg",23.02,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+hughes1977|a","secondary","published",""
"Acomys cahirinus","Audible_freq_high_60dB.kHz","kHz",70.679546,"air",1,"Koay_etal_1998_Figure6","mooney1990","secondary","digitised_from_figure",""
"Acomys cahirinus","Binocular_field.deg","deg",75,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:spiny mouse","primary","published",""
"Acomys cahirinus","Sound_localization_threshold.deg","deg",19,"air",1,"Heffner_Heffner_1992_a_Table1","mooney1991","secondary","published",""
"Alouatta caraya","Visual_acuity.cdeg","c/deg",59.61,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+franco2000|b","secondary","published",""
"Aotus azarae","Visual_acuity.cdeg","c/deg",8.3,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","yamada2001|e","secondary","published",""
"Aotus trivirgatus","Audible_freq_high_60dB.kHz","kHz",50.507649,"air",1,"Koay_etal_1998_Figure6","beecher1974a","secondary","digitised_from_figure",""
"Aotus trivirgatus","Visual_acuity.cdeg","c/deg",10,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","jacobs1977|g","secondary","published",""
"Artibeus cinereus","Visual_acuity.cdeg","c/deg",1.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Artibeus jamaicensis","Visual_acuity.cdeg","c/deg",0.167,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","suthers1966|r","secondary","published",""
"Bos taurus","Audible_freq_high_60dB.kHz","kHz",35.153984,"air",1,"Koay_etal_1998_Figure6","heffner1983|r","secondary","digitised_from_figure",""
"Bos taurus","Binocular_field.deg","deg",20,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cow","primary","published",""
"Bos taurus","Field_of_best_vision.deg","deg",132,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cow","primary","published",""
"Bos taurus","Sound_localization_threshold.deg","deg",30,"air",1,"Heffner_Heffner_1992_a_Table1","heffnerINPRESS|r","secondary","published",""
"Bos taurus","Visual_acuity.cdeg","c/deg",11.355,"air",2,"Heffner_Heffner_1992_a_Table1; Veilleux_Kirk_2014_SupplementalTable1","hebel1976|r+howland2004|h; SELF:Heffner_Heffner_1992_a_Table1:cow","secondary","published",""
"Callithrix jacchus","Visual_acuity.cdeg","c/deg",30,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","troilo1993|d","secondary","published",""
"Camelus bactrianus","Visual_acuity.cdeg","c/deg",10,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","harman2001|a","secondary","published",""
"Camelus dromedarius","Visual_acuity.cdeg","c/deg",10.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","harman2001|a","secondary","published",""
"Canis lupus","Visual_acuity.cdeg","c/deg",14.57,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","peichl1992|l","secondary","published",""
"Canis lupus familiaris","Audible_freq_high_60dB.kHz","kHz",43.981052,"air",1,"Koay_etal_1998_Figure6","heffner1983|h","secondary","digitised_from_figure",""
"Canis lupus familiaris","Binocular_field.deg","deg",75,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:dog","primary","published",""
