"Species","Visual_acuity.cdeg","Audible_freq_high_60dB.kHz","Binocular_field.deg","Sound_localization_threshold.deg","Field_of_best_vision.deg","Audible_freq_low_60dB.kHz","Hearing_range.octaves"
"Acinonyx jubatus",23.02,,,,,,
"Acomys cahirinus",,70.679546,75,19,,,
"Alouatta caraya",59.61,,,,,,
"Aotus azarae",8.3,,,,,,
"Aotus trivirgatus",10,50.507649,,,,,
"Artibeus cinereus",1.4,,,,,,
"Artibeus jamaicensis",0.167,,,,,,
"Bos taurus",11.355,35.153984,20,30,132,,
"Callithrix jacchus",30,,,,,,
"Camelus bactrianus",10,,,,,,
"Camelus dromedarius",10.4,,,,,,
"Canis lupus",14.57,,,,,,
"Canis lupus familiaris",8.3,43.981052,75,8,5.1,,
"Capra hircus",10.465,37.301652,23,18,,,
"Carollia perspicillata",0.94,,,,,,
"Cavia porcellus",,49.193888,,,,,
"Cebus apella",54.75,,,,,,
"Cercopithecus mitis",,47.914299,,,,,
"Cercopithecus neglectus",,42.276265,,,,,
"Cheirogaleus medius",2.84,,,,,,
"Chinchilla lanigera",,33.12997,,,,,
"Chlorocebus aethiops",55.23,45.155601,,,,,
"Choloepus didactylus",1.54,,,,,,
"Crocuta crocuta",8.4,,,,,,
"Cuniculus paca",2.8,,,,,,
"Cynomys leucurus",,26.134065,,,,,
"Cynomys ludovicianus",,26.134065,,,,,
"Dama dama",18.48,,,,,,
"Dasyprocta leporina",6.21,,,,,,
"Dasyurus hallucatus",2.8,,,,,,
"Desmodus rotundus",0.625,,,,,,
"Diceros bicornis",6,,,,,,
"Didelphis marsupialis",1.25,,,,,,
"Didelphis virginiana",2.145,68.841091,77,4.6,15.8,,
"Dipodomys merriami",,51.856496,20,27,,,
"Elephas maximus",,10.458231,80,1.2,,,
"Ellobius lutescens",0.4,,,,,,
"Ellobius talpinus",0.9,,,,,,
"Enhydra lutris",4.2,,,,,,
"Eptesicus fuscus",0.5,106.3425,,,,,
"Equus caballus",23.3,33.348979,28,25,,,
"Eulemur fulvus",,43.405285,,,,,
"Eulemur macaco",5.14,,,,,,
"Felis catus",9,79.579423,105,5.7,4.9,,
"Galago senegalensis",6.7,65.738113,,,,,
"Geomys bursarius",1.7,8.753821,4,90,166,,
"Giraffa camelopardalis",25.46,,,,,,
"Hemiechinus auritus",,59.551774,,,,,
"Heterocephalus glaber",0.44,11.468833,,,,,
"Homo sapiens",65.5,17.716518,105,1.3,0.7,,
"Hydrochoerus hydrochaeris",5.8,,,,,,
"Lemmus lemmus",0.83,,,,,,
"Lemur catta",6.7,,,,,,
"Loxodonta africana",13.16,,,,,,
"Lynx lynx",8,,,,,,
"Macaca fascicularis",46,,,,,,
"Macaca fuscata",,34.465934,,,,,
"Macaca mulatta",53.6,40.906196,,,,,
"Macaca nemestrina",46,34.465934,,,,,
"Macroderma gigas",1.9,,,,,,
"Macropus eugenii",2.7,,,,,,
"Macropus fuliginosus",11.23,,,,,,
"Marmota monax",,27.548565,,,,,
"Megaderma lyra",1.5,,,,,,
"Meriones unguiculatus",2,58.386198,48,27,200,,
"Mesocricetus auratus",0.5,46.361516,,,,,
"Microcebus murinus",4.2,,,,,,
"Monodelphis domestica",,76.494775,,,,,
"Mus musculus",0.5,85.524804,,,,,
"Mustela nivalis",2.2,60.341723,69,12,23,,
"Mustela putorius",3.57,42.555736,,8.5,,,
"Myotis daubentonii",0.1,,,,,,
"Myotis lucifugus",,115.852762,,,,,
"Myotis mystacinus",0.1,,,,,,
"Myrmecobius fasciatus",5.2,,,,,,
"Nannospalax ehrenbergi",,5.856607,,,,,
