Species,REM_sleep_pct,Sleep_h_day,source_REM_sleep_pct,source_Sleep_h_day,n_traits,REM_species_confidence
Aotus trivirgatus,11,16.97,Eagleman_Vaughn_2021_TABLE1,HerculanoHouzel__2015_Table1,2,high
Ateles geoffroyi,7,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,review
Blarina brevicauda,NA,14.9,NA,HerculanoHouzel__2015_Table1,1,NA
Bos taurus,NA,3.19,NA,HerculanoHouzel__2015_Table1,1,NA
Callithrix jacchus,14,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Callithrix sp.,NA,10.22,NA,HerculanoHouzel__2015_Table1,1,NA
Cavia porcellus,NA,9.37,NA,HerculanoHouzel__2015_Table1,1,NA
Cebus apella,NA,5.95,NA,HerculanoHouzel__2015_Table1,1,NA
Chlorocebus pygerythrus,6,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,medium
Chlorocebus sabaeus,9,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,medium
Condylura cristata,NA,10.32,NA,HerculanoHouzel__2015_Table1,1,NA
Dendrohyrax sp.,NA,5.4,NA,HerculanoHouzel__2015_Table1,1,NA
Erinaceus europaeus,NA,13.96,NA,HerculanoHouzel__2015_Table1,1,NA
Erythrocebus patas,9,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Eulemur fulvus,9,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,review
Eulemur macaco,9,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Eulemur mongoz,7,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Galago senegalensis,9,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Giraffa camelopardalis,NA,3.44,NA,HerculanoHouzel__2015_Table1,1,NA
Homo sapiens,21,8.47,Eagleman_Vaughn_2021_TABLE1,HerculanoHouzel__2015_Table1,2,high
Loxodonta africana,NA,3.3,NA,HerculanoHouzel__2015_Table1,1,NA
Macaca arctoides,15,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Macaca fascicularis,11,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Macaca mulatta,18,8.74,Eagleman_Vaughn_2021_TABLE1,HerculanoHouzel__2015_Table1,2,high
Macaca nemestrina,12,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Macaca radiata,14,9.02,Eagleman_Vaughn_2021_TABLE1,HerculanoHouzel__2015_Table1,2,high
Macaca sylvanus,9,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Mesocricetus auratus,NA,14.98,NA,HerculanoHouzel__2015_Table1,1,NA
Microcebus murinus,7,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Mus musculus,NA,11.6,NA,HerculanoHouzel__2015_Table1,1,NA
Oryctolagus cuniculus,NA,9.55,NA,HerculanoHouzel__2015_Table1,1,NA
Pan troglodytes,16,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Papio anubis,13,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Papio cynocephalus,8,6.19,Eagleman_Vaughn_2021_TABLE1,HerculanoHouzel__2015_Table1,2,high
Papio hamadryas,13,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Papio papio,11,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Pongo pygmaeus,12,NA,Eagleman_Vaughn_2021_TABLE1,NA,1,high
Procavia sp.,NA,5.45,NA,HerculanoHouzel__2015_Table1,1,NA
Rattus norvegicus,NA,12.27,NA,HerculanoHouzel__2015_Table1,1,NA
Saimiri sciureus,15,9.11,Eagleman_Vaughn_2021_TABLE1,HerculanoHouzel__2015_Table1,2,high
Scalopus aquaticus,NA,8.45,NA,HerculanoHouzel__2015_Table1,1,NA
Sus scrofa,NA,8.2,NA,HerculanoHouzel__2015_Table1,1,NA
Tupaia sp.,NA,15.84,NA,HerculanoHouzel__2015_Table1,1,NA
