taxon,sp,dec_region,our_term,dec_value,ref_ids,status_original,matched_value_original,status_expanded,matched_value_expanded
Alouatta_caraya,alouatta caraya,BV,Total_brain_net_volume_Vol.mm3,53861.0,43,match,53861.0,match,53861.0
Alouatta_caraya,alouatta caraya,Granular Insula,Granular_insular_cortex_left_Vol.mm3,178.0,43,value_diff,89.0,value_diff,89.0
Alouatta_caraya,alouatta caraya,Dysgranular Insula,Dysgranular_insular_cortex_left_Vol.mm3,282.0,43,value_diff,141.0,value_diff,141.0
Alouatta_caraya,alouatta caraya,Insula (GM),Insula_left_Vol.mm3,544.0,43,value_diff,272.0,value_diff,272.0
Alouatta_palliata,alouatta palliata,BV,Total_brain_net_volume_Vol.mm3,43520.0,54-55,value_diff,38888.5,value_diff,38888.5
Alouatta_palliata,alouatta palliata,Neocortex (GM+WM),Neocortex_Vol.mm3,28560.0,54-55,decasien_only,,decasien_only,
Alouatta_palliata,alouatta palliata,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,17150.0,54-55,match,17275.0,match,17275.0
Alouatta_palliata,alouatta palliata,V1 (GM),Area_striata_grey_matter_Vol.mm3,1860.0,54-55,match,1860.0,match,1860.0
Alouatta_palliata,alouatta palliata,LGN,Corpus_geniculatum_laterale_Vol.mm3,90.0,54-55,match,90.0,match,90.0
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,50542.183520906925,34,match,49601.05,match,49601.05
Alouatta_seniculus,alouatta seniculus,V1 (GM),Area_striata_grey_matter_Vol.mm3,1918.0,34,match,1918.0,match,1918.0
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,49009.208,53,match,49601.05,match,49601.05
Alouatta_seniculus,alouatta seniculus,Medulla,Medulla_oblongata_Vol.mm3,1593.25,53,match,1593.125,match,1593.125
Alouatta_seniculus,alouatta seniculus,Vmo,Trigeminal_motor_nucleus_left_Vol.mm3,4.52,53,value_diff,2.26,value_diff,2.26
Alouatta_seniculus,alouatta seniculus,VII,Facial_motor_nucleus_left_Vol.mm3,3.46,53,value_diff,1.73,value_diff,1.73
Alouatta_seniculus,alouatta seniculus,XII,Hypoglossal_nucleus_left_Vol.mm3,3.24,53,value_diff,1.62,value_diff,1.62
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,36500.0,61,value_diff,49601.05,value_diff,49601.05
Alouatta_seniculus,alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,4300.0,61,value_diff,5699.0,value_diff,5699.0
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,38300.0,61,value_diff,49601.05,value_diff,49601.05
Alouatta_seniculus,alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,4000.0,61,value_diff,5699.0,value_diff,5699.0
