item,reference,folder,def_file,code,structure,measure,mapped,standardized_term,note,category
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,brain_volume_mm3,WholeBrain,Volume.mm3,TRUE,Total_brain_net_volume_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,cb_white_matter_mm3,CerebellarWhiteMatter,Volume.mm3,TRUE,Cerebellum_white_matter_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,deep_cb_nu_volume_mm3,DeepCerebellarNuclei,Volume.mm3,TRUE,Cerebellar_nuclei_total_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,flocculo_nodular_cb_cx_mm3,FlocculonodularLobe,Volume.mm3,TRUE,FlocculonodularLobe_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,hemisphere_excl_fl_mm3,CerebellarHemisphere,Volume.mm3,TRUE,CerebellarHemisphere_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,pn_rttg_volume_mm3,PontinePrecerebellarNuclei,Volume.mm3,TRUE,Pontine_and_reticulotegmental_nuclei_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,total_cb_cx_volume_mm3,CerebellarCortex,Volume.mm3,TRUE,CerebellarCortex_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,total_cb_volume_mm3,Cerebellum,Volume.mm3,TRUE,Cerebellum_Vol.mm3,,mapped
Ashwell__2020_SupplementaryTable,Ashwell__2020_SupplementaryTable,Ashwell__2020,Ashwell__2020/Ashwell__2020_definitions.csv,vermis_excl_cb10_mm3,CerebellarVermis,Volume.mm3,TRUE,CerebellarVermis_Vol.mm3,,mapped
Barger_etal_2007_TABLE1,Barger_etal_2007_TABLE1,Barger_etal_2007,Barger_etal_2007/Barger_etal_2007_definitions.csv,AC_total,AmygdaloidComplex,Volume.cm3,TRUE,Amygdala_Vol.mm3,,mapped
Barger_etal_2007_TABLE1,Barger_etal_2007_TABLE1,Barger_etal_2007,Barger_etal_2007/Barger_etal_2007_definitions.csv,AC_L,AmygdaloidComplex,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
Barger_etal_2007_TABLE1,Barger_etal_2007_TABLE1,Barger_etal_2007,Barger_etal_2007/Barger_etal_2007_definitions.csv,AC_R,AmygdaloidComplex,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
Barger_etal_2007_TABLE1,Barger_etal_2007_TABLE1,Barger_etal_2007,Barger_etal_2007/Barger_etal_2007_definitions.csv,BLD_L,BasolateralDivision,Volume.cm3,FALSE,NA,,candidate_missing
Barger_etal_2007_TABLE1,Barger_etal_2007_TABLE1,Barger_etal_2007,Barger_etal_2007/Barger_etal_2007_definitions.csv,BLD_R,BasolateralDivision,Volume.cm3,FALSE,NA,,candidate_missing
