smaers2017_species,smaers2017_variable,smaers2017_value,matched_source,matched_variable,matched_value,pct_diff
Alouatta_seniculus,frontal_motor_gray,1.077,(no match),,NA,NA
Ateles_geoffroyi,frontal_motor_gray,3.119,Stephan_etal_1981_TablesI-VI,Corpus_pineal_Vol.mm3,3.1,0.61
Cebus_albifrons,frontal_motor_gray,1.977,Sherwood_etal_2005_Table1,Hypoglossal_nucleus_left_Vol.mm3,1.98,0.15
Cercopithecus_ascanius,frontal_motor_gray,1.351,(no match),,NA,NA
Cercopithecus_mitis,frontal_motor_gray,1.852,(no match),,NA,NA
Erythrocebus_patas,frontal_motor_gray,2.552,(no match),,NA,NA
Gorilla_gorilla_gorilla,frontal_motor_gray,14.854,(no match),,NA,NA
Homo_sapiens,frontal_motor_gray,29.013,Stephan_etal_1981_TablesI-VI,Striatum_Vol.mm3,28689,1.13
Hylobates_lar,frontal_motor_gray,2.744,(no match),,NA,NA
Lagothrix_lagotricha,frontal_motor_gray,2.434,(no match),,NA,NA
Lophocebus_albigena,frontal_motor_gray,3.926,MacLeod_etal_2003_Table2,CerebellarVermis_Vol.mm3,4000,1.85
Miopithecus_talapoin,frontal_motor_gray,0.906,(no match),,NA,NA
Nasalis_larvatus,frontal_motor_gray,1.749,(no match),,NA,NA
Pan_paniscus,frontal_motor_gray,8.356,(no match),,NA,NA
Pan_troglodytes_troglodytes,frontal_motor_gray,13.407,(no match),,NA,NA
Papio_anubis,frontal_motor_gray,4.686,Sherwood_etal_2005_Table1,Hypoglossal_nucleus_left_Vol.mm3,4.62,1.43
Piliocolobus_badius,frontal_motor_gray,2.26,Stephan_etal_1981_TablesI-VI,Nucleus_septalis_triangularis_Vol.mm3,2.26,0
Pithecia_pithecia,frontal_motor_gray,0.819,Stephan_etal_1981_TablesI-VI,Hippocampus_Vol.mm3,834,1.8
Pongo_pygmaeus,frontal_motor_gray,6.353,(no match),,NA,NA
Alouatta_seniculus,frontal_motor_white,0.866,(no match),,NA,NA
Ateles_geoffroyi,frontal_motor_white,1.586,(no match),,NA,NA
Cebus_albifrons,frontal_motor_white,1.425,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1430,0.35
Cercopithecus_ascanius,frontal_motor_white,0.93,Frahm_Zilles_1994_Table1,Hippocampus_retrocommissuralis_Vol.mm3,939.4,1
Cercopithecus_mitis,frontal_motor_white,0.946,(no match),,NA,NA
Erythrocebus_patas,frontal_motor_white,1.848,(no match),,NA,NA
Gorilla_gorilla_gorilla,frontal_motor_white,10.295,(no match),,NA,NA
Homo_sapiens,frontal_motor_white,29.755,(no match),,NA,NA
Hylobates_lar,frontal_motor_white,1.743,(no match),,NA,NA
Lagothrix_lagotricha,frontal_motor_white,1.625,(no match),,NA,NA
Lophocebus_albigena,frontal_motor_white,3.063,Sherwood_etal_2005_Table1,Hypoglossal_nucleus_left_Vol.mm3,3.06,0.1
Miopithecus_talapoin,frontal_motor_white,0.548,(no match),,NA,NA
Nasalis_larvatus,frontal_motor_white,0.933,(no match),,NA,NA
Pan_paniscus,frontal_motor_white,5.243,(no match),,NA,NA
Pan_troglodytes_troglodytes,frontal_motor_white,12.78,Stephan_etal_1970_Tables1-6,Striatum_Vol.mm3,12700,0.63
Papio_anubis,frontal_motor_white,3.325,(no match),,NA,NA
Piliocolobus_badius,frontal_motor_white,1.317,Stephan_etal_1970_Tables1-6,Mesencephalon_Vol.mm3,1333,1.2
Pithecia_pithecia,frontal_motor_white,0.496,(no match),,NA,NA
Pongo_pygmaeus,frontal_motor_white,4.745,(no match),,NA,NA
Alouatta_seniculus,other_association_gray,12.394,(no match),,NA,NA
Ateles_geoffroyi,other_association_gray,32.933,(no match),,NA,NA
Cebus_albifrons,other_association_gray,21.024,Baron_etal_1988_Table1,Nucleus_vestibularis_superior_Vol.mm3,21.2,0.83
Cercopithecus_ascanius,other_association_gray,16.06,(no match),,NA,NA
Cercopithecus_mitis,other_association_gray,19.385,(no match),,NA,NA
Gorilla_gorilla_gorilla,other_association_gray,125.539,Stephan_etal_1970_Tables1-6,Body_Mass.g,125000,0.43
Homo_sapiens,other_association_gray,271.891,(no match),,NA,NA
Hylobates_lar,other_association_gray,28.424,Baron_etal_1988_Table1,Nucleus_vestibularis_superior_Vol.mm3,28.9,1.65
Lagothrix_lagotricha,other_association_gray,24.188,(no match),,NA,NA
Lophocebus_albigena,other_association_gray,29.102,(no match),,NA,NA
Miopithecus_talapoin,other_association_gray,12.218,(no match),,NA,NA
Pan_troglodytes_troglodytes,other_association_gray,112.75,Bauernfeind_etal_2013_Table2,fronto_insular_cortex_right_Vol.mm3,114,1.1
Papio_anubis,other_association_gray,45.24,(no match),,NA,NA
Piliocolobus_badius,other_association_gray,22.629,Baron_etal_1987_Table1,Tractus_olfactorius_lateralis_Vol.mm3,22.8,0.75
Pithecia_pithecia,other_association_gray,9.242,Baron_etal_1987_Table1,Retrobulbar_cortex_Vol.mm3,9.2,0.46
Pongo_pygmaeus,other_association_gray,76.924,(no match),,NA,NA
Alouatta_seniculus,other_association_white,4.212,MacLeod_etal_2003_Table2,Cerebellum_Vol.mm3,4150,1.49
Ateles_geoffroyi,other_association_white,10.332,(no match),,NA,NA
Cebus_albifrons,other_association_white,12.053,(no match),,NA,NA
Cercopithecus_ascanius,other_association_white,8.297,Stephan_etal_1981_TablesI-VI,Nucleus_vestibularis_superior_unilateral_Vol.mm3,8.21,1.06
Cercopithecus_mitis,other_association_white,9.911,(no match),,NA,NA
