Original_Term,Reference,Standardized_Term
species,Ashwell__2020_SupplementaryTable,Species
brain_volume_mm3,Ashwell__2020_SupplementaryTable,Total_brain_net_volume_Vol.mm3
total_cb_volume_mm3,Ashwell__2020_SupplementaryTable,Cerebellum_Vol.mm3
vermis_excl_cb10_mm3,Ashwell__2020_SupplementaryTable,CerebellarVermis_Vol.mm3
hemisphere_excl_fl_mm3,Ashwell__2020_SupplementaryTable,CerebellarHemisphere_Vol.mm3
flocculo_nodular_cb_cx_mm3,Ashwell__2020_SupplementaryTable,FlocculonodularLobe_Vol.mm3
total_cb_cx_volume_mm3,Ashwell__2020_SupplementaryTable,CerebellarCortex_Vol.mm3
cb_white_matter_mm3,Ashwell__2020_SupplementaryTable,Cerebellum_white_matter_Vol.mm3
pn_rttg_volume_mm3,Ashwell__2020_SupplementaryTable,Pontine_and_reticulotegmental_nuclei_Vol.mm3
deep_cb_nu_volume_mm3,Ashwell__2020_SupplementaryTable,Cerebellar_nuclei_total_Vol.mm3
