Original_Term,Reference,Standardized_Term
species,Stephan_etal_1981_TableIII,Species
Body_weight,Stephan_etal_1981_TableIII,Body_Mass.g
Brain_weight,Stephan_etal_1981_TableIII,Brain_Mass.mg
Ventricles,Stephan_etal_1981_TableIII,Ventricles_Vol.mm3
Total_brain_net_volume,Stephan_etal_1981_TableIII,Total_brain_net_volume_Vol.mm3
Medulla_oblongata,Stephan_etal_1981_TableIII,Medulla_oblongata_Vol.mm3
Cerebellum,Stephan_etal_1981_TableIII,Cerebellum_Vol.mm3
Mesencephalon,Stephan_etal_1981_TableIII,Mesencephalon_Vol.mm3
Diencephalon,Stephan_etal_1981_TableIII,Diencephalon_Vol.mm3
Telencephalon,Stephan_etal_1981_TableIII,Telencephalon_Vol.mm3
