Original_Term,Reference,Standardized_Term
species,Stephan_etal_1981_TableII,Species
Body_weight,Stephan_etal_1981_TableII,Body_Mass.g
Brain_weight,Stephan_etal_1981_TableII,Brain_Mass.mg
Ventricles,Stephan_etal_1981_TableII,Ventricles_Vol.mm3
Total_brain_net_volume,Stephan_etal_1981_TableII,Total_brain_net_volume_Vol.mm3
Medulla_oblongata,Stephan_etal_1981_TableII,Medulla_oblongata_Vol.mm3
Cerebellum,Stephan_etal_1981_TableII,Cerebellum_Vol.mm3
Mesencephalon,Stephan_etal_1981_TableII,Mesencephalon_Vol.mm3
Diencephalon,Stephan_etal_1981_TableII,Diencephalon_Vol.mm3
Telencephalon,Stephan_etal_1981_TableII,Telencephalon_Vol.mm3
