Original_Term,Reference,Standardized_Term
species,Stephan_etal_1981_TableI,Species
Body_weight,Stephan_etal_1981_TableI,Body_Mass.g
Brain_weight,Stephan_etal_1981_TableI,Brain_Mass.mg
Ventricles,Stephan_etal_1981_TableI,Ventricles_Vol.mm3
Total_brain_net_volume,Stephan_etal_1981_TableI,Total_brain_net_volume_Vol.mm3
Medulla_oblongata,Stephan_etal_1981_TableI,Medulla_oblongata_Vol.mm3
Cerebellum,Stephan_etal_1981_TableI,Cerebellum_Vol.mm3
Mesencephalon,Stephan_etal_1981_TableI,Mesencephalon_Vol.mm3
Diencephalon,Stephan_etal_1981_TableI,Diencephalon_Vol.mm3
Telencephalon,Stephan_etal_1981_TableI,Telencephalon_Vol.mm3
