Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Ashwell__2020_SupplementaryTable,Acrobates pygmaeus,NA,190720,Acrobates pygmaeus,Acrobates pygmaeus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Aepyprymnus rufescens,NA,38598,Aepyprymnus rufescens,Aepyprymnus rufescens,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Ailurus fulgens,NA,9649,Ailurus fulgens,Ailurus fulgens,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Alouatta palliata,NA,30589,Alouatta palliata,Alouatta palliata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Antechinomys laniger,NA,60701,Antechinomys laniger,Antechinomys laniger,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Antechinus flavipes,NA,38775,Antechinus flavipes,Antechinus flavipes,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Antechinus minimus,NA,71386,Antechinus minimus,Antechinus minimus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Antechinus swainsonii,NA,9284,Antechinus swainsonii,Antechinus swainsonii,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Aotus trivirgata,Aotus trivirgatus,NA,NA,Aotus trivirgatus,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Aplodontia rufa,NA,51342,Aplodontia rufa,Aplodontia rufa,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Bassariscus astutus,NA,55047,Bassariscus astutus,Bassariscus astutus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Bettongia gaimardi,NA,223568,Bettongia gaimardi,Bettongia gaimardi,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Bos taurus indicus,NA,9915,Bos indicus,Bos indicus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Burramys parvus,NA,38600,Burramys parvus,Burramys parvus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Callicebus moloch,NA,9523,Plecturocebus moloch,Plecturocebus moloch,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Callithrix jacchus,NA,9483,Callithrix jacchus,Callithrix jacchus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Caluromys derbianus,NA,992409,Caluromys derbianus,Caluromys derbianus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Canis familiaris,Canis lupus familiaris,9615,Canis lupus familiaris,Canis lupus familiaris,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Capra hircus domestica,NA,NA,NA,Capra hircus domestica,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Castor canadensis,NA,51338,Castor canadensis,Castor canadensis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cavia porcellus,NA,10141,Cavia porcellus,Cavia porcellus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cebus capucinus,NA,9516,Cebus capucinus,Cebus capucinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cercartetus lepidus,NA,190652,Cercartetus lepidus,Cercartetus lepidus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cercartetus nanus,NA,190653,Cercartetus nanus,Cercartetus nanus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cercarteus concinnus,Cercartetus concinnus,NA,NA,Cercartetus concinnus,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Chincella lanigera,Chinchilla laniger,NA,NA,Chinchilla laniger,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Choloepus didactylus,NA,27675,Choloepus didactylus,Choloepus didactylus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Crocuta crocuta,NA,9678,Crocuta crocuta,Crocuta crocuta,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cynictis penicillata,NA,41010,Cynictis penicillata,Cynictis penicillata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Cynocephalus volans,NA,110931,Cynocephalus volans,Cynocephalus volans,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dasycercus blythi,NA,1981332,Dasycercus blythi,Dasycercus blythi,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dasykaluta rosamundae,NA,NA,NA,Dasykaluta rosamundae,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Dasypus novemcinctus,NA,9361,Dasypus novemcinctus,Dasypus novemcinctus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dasyuroides byrnei,NA,32544,Dasyuroides byrnei,Dasyuroides byrnei,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dasyurus geoffroyi,NA,NA,NA,Dasyurus geoffroyi,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Dasyurus hallucatus,NA,9280,Dasyurus hallucatus,Dasyurus hallucatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dasyurus maculatus,NA,9281,Dasyurus maculatus,Dasyurus maculatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dasyurus viverrinus,NA,9279,Dasyurus viverrinus,Dasyurus viverrinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dendrolagus goodfellowi,NA,69260,Dendrolagus goodfellowi,Dendrolagus goodfellowi,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dendrolagus lumholtzi,NA,168240,Dendrolagus lumholtzi,Dendrolagus lumholtzi,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Didelphis albiventris,NA,42716,Didelphis albiventris,Didelphis albiventris,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Didelphis marsupialis,NA,9268,Didelphis marsupialis,Didelphis marsupialis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Didelphis virginiana,NA,9267,Didelphis virginiana,Didelphis virginiana,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Distoechurus pennatus,NA,38614,Distoechurus pennatus,Distoechurus pennatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Dorcopsis luctuosa,NA,NA,NA,Dorcopsis luctuosa,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Dromiciops gliroides,NA,33562,Dromiciops gliroides,Dromiciops gliroides,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Echymipera kalubu,NA,42733,Echymipera kalubu,Echymipera kalubu,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Elephantulus myurus,NA,113277,Elephantulus myurus,Elephantulus myurus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Equus quagga burchellii,Equus burchelli,89252,Equus quagga burchellii,Equus burchelli,curated,TRUE,FALSE
Ashwell__2020_SupplementaryTable,Erinaceus europaeus,NA,9365,Erinaceus europaeus,Erinaceus europaeus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Erithizon dorsatum,Erethizon dorsatum,NA,NA,Erethizon dorsatum,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Eulemur mongoz,NA,34828,Eulemur mongoz,Eulemur mongoz,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Felis cattus,Felis catus,NA,NA,Felis catus,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Galictis vittata,Galictis vittatus,204265,Galictis vittata,Galictis vittatus,curated,TRUE,FALSE
Ashwell__2020_SupplementaryTable,Gymnobelideus leadbeateri,NA,38618,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Hemibelideus lemuroides,NA,596256,Hemibelideus lemuroides,Hemibelideus lemuroides,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Hypsiprymnodon moschatus,NA,65631,Hypsiprymnodon moschatus,Hypsiprymnodon moschatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Isoodon macrourus,NA,37698,Isoodon macrourus,Isoodon macrourus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Isoodon obesulus,NA,65612,Isoodon obesulus,Isoodon obesulus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Lagorchestes conspicillatus,NA,65624,Lagorchestes conspicillatus,Lagorchestes conspicillatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Lama glama,NA,9844,Lama glama,Lama glama,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Lasiorhinus latifrons,NA,30668,Lasiorhinus latifrons,Lasiorhinus latifrons,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus agilis,NA,9313,Notamacropus agilis,Notamacropus agilis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus antilopinus,NA,9314,Osphranter antilopinus,Osphranter antilopinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus bernardus,NA,9323,Osphranter bernardus,Osphranter bernardus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus dorsalis,NA,651581,Notamacropus dorsalis,Notamacropus dorsalis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus eugenii,NA,9315,Notamacropus eugenii,Notamacropus eugenii,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus irma,NA,196387,Notamacropus irma,Notamacropus irma,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus parma,Notamacropus parma,413582,Notamacropus parma,Notamacropus parma,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus parryi,NA,NA,NA,Macropus parryi,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Macropus rufus,Osphranter rufus,9321,Osphranter rufus,Osphranter rufus,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Mandrillus sphinx,NA,9561,Mandrillus sphinx,Mandrillus sphinx,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Marmosa impavida,NA,NA,NA,Marmosa impavida,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Monodelphis brevicaudata,NA,203680,Monodelphis brevicaudata,Monodelphis brevicaudata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Mustela erminea,NA,36723,Mustela erminea,Mustela erminea,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Mustela putorius,NA,9668,Mustela putorius,Mustela putorius,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Myrmecophagia tridactyla,Myrmecophaga tridactyla,NA,NA,Myrmecophaga tridactyla,curated,FALSE,FALSE
