Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source
Ashwell__2020_SupplementaryTable,Acrobates pygmaeus,NA,190720,Acrobates pygmaeus,Acrobates pygmaeus,NCBI
Ashwell__2020_SupplementaryTable,Aepyprymnus rufescens,NA,38598,Aepyprymnus rufescens,Aepyprymnus rufescens,NCBI
Ashwell__2020_SupplementaryTable,Ailurus fulgens,NA,9649,Ailurus fulgens,Ailurus fulgens,NCBI
Ashwell__2020_SupplementaryTable,Alouatta palliata,NA,30589,Alouatta palliata,Alouatta palliata,NCBI
Ashwell__2020_SupplementaryTable,Antechinomys laniger,NA,60701,Antechinomys laniger,Antechinomys laniger,NCBI
Ashwell__2020_SupplementaryTable,Antechinus flavipes,NA,38775,Antechinus flavipes,Antechinus flavipes,NCBI
Ashwell__2020_SupplementaryTable,Antechinus minimus,NA,71386,Antechinus minimus,Antechinus minimus,NCBI
Ashwell__2020_SupplementaryTable,Antechinus swainsonii,NA,9284,Antechinus swainsonii,Antechinus swainsonii,NCBI
Ashwell__2020_SupplementaryTable,Aotus trivirgata,Aotus trivirgatus,NA,NA,Aotus trivirgatus,curated
Ashwell__2020_SupplementaryTable,Aplodontia rufa,NA,51342,Aplodontia rufa,Aplodontia rufa,NCBI
Ashwell__2020_SupplementaryTable,Bassariscus astutus,NA,55047,Bassariscus astutus,Bassariscus astutus,NCBI
Ashwell__2020_SupplementaryTable,Bettongia gaimardi,NA,223568,Bettongia gaimardi,Bettongia gaimardi,NCBI
Ashwell__2020_SupplementaryTable,Bos taurus indicus,NA,9915,Bos indicus,Bos indicus,NCBI
Ashwell__2020_SupplementaryTable,Burramys parvus,NA,38600,Burramys parvus,Burramys parvus,NCBI
Ashwell__2020_SupplementaryTable,Callicebus moloch,NA,9523,Plecturocebus moloch,Plecturocebus moloch,NCBI
Ashwell__2020_SupplementaryTable,Callithrix jacchus,NA,9483,Callithrix jacchus,Callithrix jacchus,NCBI
Ashwell__2020_SupplementaryTable,Caluromys derbianus,NA,992409,Caluromys derbianus,Caluromys derbianus,NCBI
Ashwell__2020_SupplementaryTable,Canis familiaris,Canis lupus familiaris,9615,Canis lupus familiaris,Canis lupus familiaris,curated
Ashwell__2020_SupplementaryTable,Capra hircus domestica,NA,NA,NA,Capra hircus domestica,unresolved_raw
Ashwell__2020_SupplementaryTable,Castor canadensis,NA,51338,Castor canadensis,Castor canadensis,NCBI
Ashwell__2020_SupplementaryTable,Cavia porcellus,NA,10141,Cavia porcellus,Cavia porcellus,NCBI
Ashwell__2020_SupplementaryTable,Cebus capucinus,NA,9516,Cebus capucinus,Cebus capucinus,NCBI
Ashwell__2020_SupplementaryTable,Cercartetus lepidus,NA,190652,Cercartetus lepidus,Cercartetus lepidus,NCBI
Ashwell__2020_SupplementaryTable,Cercartetus nanus,NA,190653,Cercartetus nanus,Cercartetus nanus,NCBI
Ashwell__2020_SupplementaryTable,Cercarteus concinnus,Cercartetus concinnus,NA,NA,Cercartetus concinnus,curated
Ashwell__2020_SupplementaryTable,Chincella lanigera,Chinchilla laniger,NA,NA,Chinchilla laniger,curated
Ashwell__2020_SupplementaryTable,Choloepus didactylus,NA,27675,Choloepus didactylus,Choloepus didactylus,NCBI
Ashwell__2020_SupplementaryTable,Crocuta crocuta,NA,9678,Crocuta crocuta,Crocuta crocuta,NCBI
Ashwell__2020_SupplementaryTable,Cynictis penicillata,NA,41010,Cynictis penicillata,Cynictis penicillata,NCBI
Ashwell__2020_SupplementaryTable,Cynocephalus volans,NA,110931,Cynocephalus volans,Cynocephalus volans,NCBI
Ashwell__2020_SupplementaryTable,Dasycercus blythi,NA,1981332,Dasycercus blythi,Dasycercus blythi,NCBI
Ashwell__2020_SupplementaryTable,Dasykaluta rosamundae,NA,NA,NA,Dasykaluta rosamundae,unresolved_raw
Ashwell__2020_SupplementaryTable,Dasypus novemcinctus,NA,9361,Dasypus novemcinctus,Dasypus novemcinctus,NCBI
Ashwell__2020_SupplementaryTable,Dasyuroides byrnei,NA,32544,Dasyuroides byrnei,Dasyuroides byrnei,NCBI
Ashwell__2020_SupplementaryTable,Dasyurus geoffroyi,NA,NA,NA,Dasyurus geoffroyi,unresolved_raw
Ashwell__2020_SupplementaryTable,Dasyurus hallucatus,NA,9280,Dasyurus hallucatus,Dasyurus hallucatus,NCBI
Ashwell__2020_SupplementaryTable,Dasyurus maculatus,NA,9281,Dasyurus maculatus,Dasyurus maculatus,NCBI
Ashwell__2020_SupplementaryTable,Dasyurus viverrinus,NA,9279,Dasyurus viverrinus,Dasyurus viverrinus,NCBI
Ashwell__2020_SupplementaryTable,Dendrolagus goodfellowi,NA,69260,Dendrolagus goodfellowi,Dendrolagus goodfellowi,NCBI
Ashwell__2020_SupplementaryTable,Dendrolagus lumholtzi,NA,168240,Dendrolagus lumholtzi,Dendrolagus lumholtzi,NCBI
Ashwell__2020_SupplementaryTable,Didelphis albiventris,NA,42716,Didelphis albiventris,Didelphis albiventris,NCBI
Ashwell__2020_SupplementaryTable,Didelphis marsupialis,NA,9268,Didelphis marsupialis,Didelphis marsupialis,NCBI
Ashwell__2020_SupplementaryTable,Didelphis virginiana,NA,9267,Didelphis virginiana,Didelphis virginiana,NCBI
Ashwell__2020_SupplementaryTable,Distoechurus pennatus,NA,38614,Distoechurus pennatus,Distoechurus pennatus,NCBI
Ashwell__2020_SupplementaryTable,Dorcopsis luctuosa,NA,NA,NA,Dorcopsis luctuosa,unresolved_raw
Ashwell__2020_SupplementaryTable,Dromiciops gliroides,NA,33562,Dromiciops gliroides,Dromiciops gliroides,NCBI
Ashwell__2020_SupplementaryTable,Echymipera kalubu,NA,42733,Echymipera kalubu,Echymipera kalubu,NCBI
