Species,Variable,Value,Source,Team,Year
Sorex minutus,Body_Mass.g,5.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Brain_Mass.mg,110,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Total_brain_net_volume_Vol.mm3,103,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Medulla_oblongata_Vol.mm3,17,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Cerebellum_Vol.mm3,11,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Mesencephalon_Vol.mm3,5.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Diencephalon_Vol.mm3,8.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Telencephalon_Vol.mm3,60.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Bulbus_olfactorius_Vol.mm3,8.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Palaeocortex_plus_amygdala_Vol.mm3,17.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Septum_Vol.mm3,2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Striatum_Vol.mm3,6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Schizo_cortex_Vol.mm3,3.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Hippocampus_Vol.mm3,10.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex minutus,Neocortex_Vol.mm3,12.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Body_Mass.g,10.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Brain_Mass.mg,200,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Total_brain_net_volume_Vol.mm3,188,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Medulla_oblongata_Vol.mm3,26.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Cerebellum_Vol.mm3,18.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Mesencephalon_Vol.mm3,10.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Diencephalon_Vol.mm3,15.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Telencephalon_Vol.mm3,117,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Bulbus_olfactorius_Vol.mm3,14.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Palaeocortex_plus_amygdala_Vol.mm3,32.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Septum_Vol.mm3,3.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Striatum_Vol.mm3,10.1,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Schizo_cortex_Vol.mm3,7.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Hippocampus_Vol.mm3,20.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Sorex araneus,Neocortex_Vol.mm3,28.1,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura russula,Body_Mass.g,11,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura russula,Brain_Mass.mg,190,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura russula,Total_brain_net_volume_Vol.mm3,178,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura russula,Medulla_oblongata_Vol.mm3,23.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
