Species,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Palaeocortex_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3
Ailurus fulgens,3970,1100,13800,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,NA,NA,NA,NA,42,6420,55.8,141,89,272,53861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliata,3320,1050,17400,11600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,NA,NA,21791,9869,NA,6400,52000,NA,NA,NA,49601.05,0.595,0.049,0.19,0.356,426,2461,1918,220,1698,543,41.4,0.595,362.93,56.59,236.05,113.79,5699,79.8,101.7,324.3,79.1,76.8,87.4,0.254,0.402,0.372,3344,163.64,5510,2780,315.03,67.88,1319.79,1004.76,26.57,59.75,827,27.47,1593,986,220,31660,2918,18874,31.4,3.3,1.72,0,18.8,15.6,26.6,15.8,488,158.3,26.2,510,200,2829,117.67,30.7,37388,17.2,93.6,394.3,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,753,174,6048,1832,NA,830,17100,NA,NA,NA,16350.4,0.222,0.01,0.086,0.126,193.6,1203,996,113,883,207,56,0.222,150.16,20.83,97.14,41.45,1873,26.3,56.6,136.9,33.5,51.9,32.9,1.55,0.14,0.162,1098,76.23,NA,NA,133.49,33.52,538.8,405.31,11.42,17.02,394,13.01,686,409,99.5,9950,1039,6737,14.6,3.21,0.964,0.21,11,9.54,20.7,10.7,203,90.6,9.7,243,83.8,862,27.43,18.7,12128,13,42.3,112.1,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aplodontia rufa,665,137,1480,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelerix algirus,NA,NA,436.7,63.6,NA,790,3200,NA,NA,NA,2859,1.934,0.508,0.676,0.75,101.3,NA,NA,NA,NA,NA,284.5,1.93,NA,NA,NA,NA,358,13.6,45.9,55.4,39.9,15.3,5.02,0.297,0.0222,0.0621,246,NA,NA,NA,NA,NA,227,NA,NA,NA,459,NA,336,153,NA,500.3,117,319.7,7.5,0.93,1.18,3.1,4.68,2.35,6.29,1.93,NA,216.4,52.8,109,42.9,140,NA,9,1766,12.8,53.3,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,NA,NA,NA,NA,135,8000,108000,181,100,416,102660.36666666667,2.189,0.37,0.85,0.969,868.8,4738,3753,NA,NA,985,90.4,2.19,388.3,51.79,263.35,209.17,12438,98.1,224.3,644.5,89.2,96.4,151,3.1,0.608,0.443,5334,150.28,16010,5310,370.37,69.29,1366.01,995.64,59.75,114.79,1625,34.63,1834,1482,NA,70856,NA,NA,74.7,7.29,3.18,NA,24.2,12.8,46.6,12.8,NA,324.8,9.5,732,324,4950,72.63,134.1,79946,26.3,163.7,813.3,1389,570,30.5,629,52.8,807,860,2930,204,NA,NA,NA,NA,NA
Ateles sp.,5970,1680,28900,17700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi laniger,NA,NA,NA,NA,NA,1285,10490,NA,NA,NA,9697.9,3.013,0.708,0.816,1.489,113.2,542,466.65,NA,NA,66.5,89.2,3.01,178.89,15.29,112.49,37.89,1489,NA,39.5,73.8,26.3,44,28.15,0.7,0.14,0.116,862,78.82,NA,NA,67.7,24.93,526.25,458.55,11.28,14.46,284,12.15,553,343,NA,4813,NA,NA,5.4,2.21,1.29,1.1,10.7,8.55,17.1,7.65,NA,NA,NA,241,69.7,524,48.13,NA,6550,NA,NA,60.9,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
