"data_file","data_filename"
"____Collections and Specimen notes/Disco_study_list_public.csv","Disco_study_list_public.csv"
"__merging_brain_mass/brain_mass_source_columns.csv","brain_mass_source_columns.csv"
"__merging_cellcounts/standardized_term_by_reference/AvelinodeSouza_etal_2025_TABLE1_standardized_terms.csv","AvelinodeSouza_etal_2025_TABLE1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/Burish_etal_2010_Table1_standardized_terms.csv","Burish_etal_2010_Table1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/DosSantos_etal_2017_TableS1_standardized_terms.csv","DosSantos_etal_2017_TableS1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/DosSantos_etal_2020_Table1_standardized_terms.csv","DosSantos_etal_2020_Table1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/DosSantos_etal_2020_unpublished_standardized_terms.csv","DosSantos_etal_2020_unpublished_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/Gabi_etal_2016_Table1_standardized_terms.csv","Gabi_etal_2016_Table1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2013_Table1-a_standardized_terms.csv","HerculanoHouzel_etal_2013_Table1-a_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2015_Table1_standardized_terms.csv","HerculanoHouzel_etal_2015_Table1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2015_Table2_standardized_terms.csv","HerculanoHouzel_etal_2015_Table2_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2015_Table3_standardized_terms.csv","HerculanoHouzel_etal_2015_Table3_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2015_Table4_standardized_terms.csv","HerculanoHouzel_etal_2015_Table4_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2015_Table5_standardized_terms.csv","HerculanoHouzel_etal_2015_Table5_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2020_TABLE1_standardized_terms.csv","HerculanoHouzel_etal_2020_TABLE1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/HerculanoHouzel_etal_2020_TABLE2_standardized_terms.csv","HerculanoHouzel_etal_2020_TABLE2_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/JardimMesseder_etal_2017_Table1_standardized_terms.csv","JardimMesseder_etal_2017_Table1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/Kazu_etal_2014_Table1_standardized_terms.csv","Kazu_etal_2014_Table1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/Kazu_etal_2015_TABLE1_standardized_terms.csv","Kazu_etal_2015_TABLE1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/Kverkova_etal_2018_TableS1_standardized_terms.csv","Kverkova_etal_2018_TableS1_standardized_terms.csv"
"__merging_cellcounts/standardized_term_by_reference/Kverkova_etal_2018_TableS5_standardized_terms.csv","Kverkova_etal_2018_TableS5_standardized_terms.csv"
"__merging_cerebral_metabolic_rate/standardized_term_by_reference/Heiss_etal_2004_TABLE1_standardized_terms.csv","Heiss_etal_2004_TABLE1_standardized_terms.csv"
"__merging_cerebral_metabolic_rate/standardized_term_by_reference/Karbowski__2007_TableS1-S23_standardized_terms.csv","Karbowski__2007_TableS1-S23_standardized_terms.csv"
"__merging_cerebral_metabolic_rate/standardized_term_by_reference/Kaufman__2004_TableA1-A14_standardized_terms.csv","Kaufman__2004_TableA1-A14_standardized_terms.csv"
"__merging_cortical_areas/cortical_areas_definitions.csv","cortical_areas_definitions.csv"
"__merging_cortical_areas/standardized_term_by_reference/Brodmann__1913_Table1_standardized_terms.csv","Brodmann__1913_Table1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Changizi__2001_Figure3_standardized_terms.csv","Changizi__2001_Figure3_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Changizi_Shimojo_2005_Table1_standardized_terms.csv","Changizi_Shimojo_2005_Table1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Collins_etal_2010_DatasetS1_standardized_terms.csv","Collins_etal_2010_DatasetS1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Collins_etal_2016_Table1_standardized_terms.csv","Collins_etal_2016_Table1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Finlay_etal_2006_Table6.1_standardized_terms.csv","Finlay_etal_2006_Table6.1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Krubitzer_Kaas_1990_Table1_standardized_terms.csv","Krubitzer_Kaas_1990_Table1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Mota_etal_2019_SupplementaryTableS1_standardized_terms.csv","Mota_etal_2019_SupplementaryTableS1_standardized_terms.csv"
"__merging_cortical_areas/standardized_term_by_reference/Mota_Herculano-Houzel_2015_TableS1_standardized_terms.csv","Mota_Herculano-Houzel_2015_TableS1_standardized_terms.csv"
