"script","associated_data_file","associated_data_filename","match_type","exact_filename_match","stem_match","matched_line_numbers","context"
"__merging_behaviour/behaviour_compiled.R","__merging_behaviour/behaviour_long.csv","behaviour_long.csv","likely writer",TRUE,TRUE,"23;191","22: ## | 23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). || 190:   arrange(Species, Measure) | 191: readr::write_csv(long, ""behaviour_long.csv"") | 192: "
"__merging_behaviour/behaviour_compiled.R","__ShinyApp/data/behaviour_long.csv","behaviour_long.csv","likely writer",TRUE,TRUE,"23;191","22: ## | 23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). || 190:   arrange(Species, Measure) | 191: readr::write_csv(long, ""behaviour_long.csv"") | 192: "
"__merging_behaviour/behaviour_compiled.R","__merging_behaviour/behaviour_observations_long.csv","behaviour_observations_long.csv","likely writer",TRUE,TRUE,"23;167","22: ## | 23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). || 166:                             Measure, Team, role, Value) |> arrange(Species, Measure, Team) | 167: readr::write_csv(obs_out, ""behaviour_observations_long.csv"") | 168: "
"__merging_behaviour/behaviour_compiled.R","__merging_behaviour/behaviour_wide.csv","behaviour_wide.csv","likely writer",TRUE,TRUE,"24;196","23: ## Outputs: behaviour_long.csv (keyed merge, app-facing), behaviour_observations_long.csv (raw | 24: ## per-source rows), behaviour_wide.csv (one row per species overview). | 25: suppressWarnings(suppressMessages({library(tidyverse); library(readxl)})) || 195:   pivot_wider(names_from = Measure, values_from = Value) |> arrange(Species) | 196: readr::write_csv(wide, ""behaviour_wide.csv"") | 197: "
"__merging_body_ecology/body_ecology_compiled.R","__merging_body_ecology/body_ecology_dedupe_report.csv","body_ecology_dedupe_report.csv","likely writer",TRUE,TRUE,"20;383","19: #                                                          -> body_ecology_long.csv / _wide.csv | 20: #   4. dedupe / disagreement report                        -> body_ecology_dedupe_report.csv | 21: # || 382: write.csv(long,   file.path(out, ""body_ecology_long.csv""),           row.names = FALSE, na = """") | 383: write.csv(dedupe, file.path(out, ""body_ecology_dedupe_report.csv""),  row.names = FALSE, na = """") | 384: "
"__merging_body_ecology/body_ecology_compiled.R","__merging_body_ecology/body_ecology_long.csv","body_ecology_long.csv","likely writer",TRUE,TRUE,"19;382","18: #   3. team-dedupe (same collection = one value), then pool across teams, primary preferred | 19: #                                                          -> body_ecology_long.csv / _wide.csv | 20: #   4. dedupe / disagreement report                        -> body_ecology_dedupe_report.csv || 381: write.csv(uf,     file.path(out, ""body_ecology_unfiltered.csv""),     row.names = FALSE, na = """") | 382: write.csv(long,   file.path(out, ""body_ecology_long.csv""),           row.names = FALSE, na = """") | 383: write.csv(dedupe, file.path(out, ""body_ecology_dedupe_report.csv""),  row.names = FALSE, na = """")"
"__merging_body_ecology/body_ecology_compiled.R","__ShinyApp/data/body_ecology_long.csv","body_ecology_long.csv","likely writer",TRUE,TRUE,"19;382","18: #   3. team-dedupe (same collection = one value), then pool across teams, primary preferred | 19: #                                                          -> body_ecology_long.csv / _wide.csv | 20: #   4. dedupe / disagreement report                        -> body_ecology_dedupe_report.csv || 381: write.csv(uf,     file.path(out, ""body_ecology_unfiltered.csv""),     row.names = FALSE, na = """") | 382: write.csv(long,   file.path(out, ""body_ecology_long.csv""),           row.names = FALSE, na = """") | 383: write.csv(dedupe, file.path(out, ""body_ecology_dedupe_report.csv""),  row.names = FALSE, na = """")"
"__merging_body_ecology/body_ecology_compiled.R","__merging_body_ecology/body_ecology_source_columns.csv","body_ecology_source_columns.csv","likely writer",TRUE,TRUE,"16;380","15: # Pipeline (mirrors __merging_cerebral_metabolic_rate): | 16: #   1. pick the species-level column + unit per source     -> body_ecology_source_columns.csv (audit) | 17: #   2. harvest -> resolve species -> canonical unit        -> body_ecology_unfiltered.csv || 379: # ---- write ----------------------------------------------------------------- | 380: write.csv(colmap, file.path(out, ""body_ecology_source_columns.csv""), row.names = FALSE) | 381: write.csv(uf,     file.path(out, ""body_ecology_unfiltered.csv""),     row.names = FALSE, na = """")"
"__merging_body_ecology/body_ecology_compiled.R","__merging_body_ecology/body_ecology_unfiltered.csv","body_ecology_unfiltered.csv","likely writer",TRUE,TRUE,"17;381","16: #   1. pick the species-level column + unit per source     -> body_ecology_source_columns.csv (audit) | 17: #   2. harvest -> resolve species -> canonical unit        -> body_ecology_unfiltered.csv | 18: #   3. team-dedupe (same collection = one value), then pool across teams, primary preferred || 380: write.csv(colmap, file.path(out, ""body_ecology_source_columns.csv""), row.names = FALSE) | 381: write.csv(uf,     file.path(out, ""body_ecology_unfiltered.csv""),     row.names = FALSE, na = """") | 382: write.csv(long,   file.path(out, ""body_ecology_long.csv""),           row.names = FALSE, na = """")"
"__merging_body_ecology/body_ecology_compiled.R","__merging_body_ecology/body_ecology_wide.csv","body_ecology_wide.csv","likely writer",TRUE,TRUE,"401","400: } | 401: write.csv(wide, file.path(out, ""body_ecology_wide.csv""), row.names = FALSE, na = """") | 402: "
