accepted_name,source_publication,variant_name
Aotus trivirgatus,Nimchinsky_etal_1999,Aotus trivirgatus
Callithrix jacchus,Nimchinsky_etal_1999,Callithrix jacchus
Cebus apella,Nimchinsky_etal_1999,Cebus apella
Cheirogaleus medius,Nimchinsky_etal_1999,Cheirogaleus medius
Erythrocebus patas,Nimchinsky_etal_1999,Erythrocebus patas
Eulemur fulvus,Nimchinsky_etal_1999,Eulemur fulvus
Galago senegalensis,Nimchinsky_etal_1999,Galago senegalensis
Galagoides demidoff,Nimchinsky_etal_1999,Galagoides demidoff
Gorilla gorilla,Nimchinsky_etal_1999,G. g. gorilla
Gorilla gorilla,Nimchinsky_etal_1999,Gorilla gorilla gorilla
Homo sapiens,Nimchinsky_etal_1999,H. sapiens
Homo sapiens,Nimchinsky_etal_1999,Homo sapiens
Hylobates lar,Nimchinsky_etal_1999,Hylobates lar
Lemur catta,Nimchinsky_etal_1999,Lemur catta
Loris tardigradus,Nimchinsky_etal_1999,Loris tardigradus
Macaca fascicularis,Nimchinsky_etal_1999,Macaca fascicularis
Macaca fuscata,Nimchinsky_etal_1999,Macaca fuscata
Macaca mulatta,Nimchinsky_etal_1999,Macaca mulatta
Macaca nemestrina,Nimchinsky_etal_1999,Macaca nemestrina
Macaca nigra,Nimchinsky_etal_1999,Macaca nigra
Microcebus murinus,Nimchinsky_etal_1999,Microcebus murinus
Nycticebus coucang,Nimchinsky_etal_1999,Nycticebus coucang
Pan paniscus,Nimchinsky_etal_1999,P. paniscus
Pan paniscus,Nimchinsky_etal_1999,Pan paniscus
Pan troglodytes,Nimchinsky_etal_1999,P. troglodytes
Pan troglodytes,Nimchinsky_etal_1999,Pan troglodytes
Papio cynocephalus,Nimchinsky_etal_1999,Papio hamadryas cynocephalus
Perodicticus potto,Nimchinsky_etal_1999,Perodicticus potto
Pongo pygmaeus,Nimchinsky_etal_1999,P. pygmaeus
Pongo pygmaeus,Nimchinsky_etal_1999,Pongo pygmaeus
Propithecus verreauxi,Nimchinsky_etal_1999,Propithecus verreauxi
Saimiri sciureus,Nimchinsky_etal_1999,Saimiri sciureus
Tarsius syrichta,Nimchinsky_etal_1999,Tarsius syrichta
