reference,canonical_structure,measure,anatomy_code,original_column
Baron_1983,Bulbus_olfactorius,Volume_mm3,MOB,Bulbus_olfactorius_1983
Baron_1983,Number_of_individuals_Bulbus_olfactorius,n,,Number_of_individuals_Bulbus_olfactorius
Baron_1987,Bulbus_olfactorius,Volume_mm3,BOL,Bulbus_olfactorius_1987
Baron_1987,Commissura_anterior,Volume_mm3,COA,Commissura_anterior
Baron_1987,Prepiriform_cortex,Volume_mm3,PRPI,Prepiriform_cortex
Baron_1987,Retrobulbar_cortex,Volume_mm3,RB,Retrobulbar_cortex
Baron_1987,Substantia_innominata,Volume_mm3,SIN,Substantia_innominata
Baron_1987,Tractus_olfactorius_lateralis,Volume_mm3,TRL,Tractus_olfactorius_lateralis
Baron_1987,Tuberculum_olfactorium,Volume_mm3,TOL,Tuberculum_olfactorium
Baron_1988,Complexus_vestibularis,Volume_mm3,VC,Complexus_vestibularis_1988_both_sides
Baron_1988,Nucleus_vestibularis_descendens,Volume_mm3,VI,Nucleus_vestibularis_descendens_1988_both_sides
Baron_1988,Nucleus_vestibularis_lateralis,Volume_mm3,VL,Nucleus_vestibularis_lateralis_1988_both_sides
Baron_1988,Nucleus_vestibularis_medialis,Volume_mm3,VM,Nucleus_vestibularis_medialis_1988_both_sides
Baron_1988,Nucleus_vestibularis_superior,Volume_mm3,VS,Nucleus_vestibularis_superior_1988_both_sides
Baron_1990,Complexus_sensorius_trigeminalis,Volume_mm3,,Complexus_sensorius_trigeminalis
Bauernfeind_2013,Agranular_insular_cortex,Volume_mm3,Agranular_volume,Agranular_insular_cortex
Bauernfeind_2013,Body_weight,Mass,Body_mass,Body_weight_2013b
Bauernfeind_2013,Brain_weight,Mass,Brain_mass,Brain_weight_2013b
Bauernfeind_2013,Dysgranular_insular_cortex,Volume_mm3,Dysgranular_volume,Dysgranular_insular_cortex
Bauernfeind_2013,Granular_insular_cortex,Volume_mm3,Granular_volume,Granular_insular_cortex
Bauernfeind_2013,Insula,Volume_mm3,Total_insula_volume,Insula
Bauernfeind_2013,Number_of_individuals,n,Number_of_individuals_13b,Number_of_individuals_2013b
Bauernfeind_2013,Total_brain_net_volume,Volume_mm3,Brain_volume,Total_brain_net_volume_2013b
Bauernfeind_2013,fronto_insular_cortex,Volume_mm3,FI_volume,fronto_insular_cortex
Frahm_1982,Neocortex,Volume_mm3,,Neocortex_1982
Frahm_1982,Neocortex_grey_matter,Volume_mm3,,Neocortex_grey_matter
Frahm_1982,Neocortex_lam_1,Volume_mm3,,Neocortex_lam_1
Frahm_1982,Neocortex_lam_2_6,Volume_mm3,,Neocortex_lam_2_6
Frahm_1982,Neocortex_white_matter,Volume_mm3,,Neocortex_white_matter
Frahm_1982,Number_of_individuals_neocortex,n,,Number_of_individuals_neocortex
Frahm_1984,Area_striata,Volume_mm3,ASV,Area_striata_1984
Frahm_1984,Area_striata_grey_matter,Volume_mm3,ASG,Area_striata_grey_matter
Frahm_1984,Area_striata_lamina_1,Volume_mm3,ASG_1,Area_striata_lamina_1
Frahm_1984,Area_striata_laminae_2_6,Volume_mm3,ASG_2_6,Area_striata_laminae_2_6
Frahm_1984,Area_striata_white_matter,Volume_mm3,ASW,Area_striata_white_matter
Frahm_1984,Number_of_individuals_Area_striata,n,,Number_of_individuals_Area_striata
Frahm_1994,Body_weight,Mass,,Body_weight_1994
Frahm_1994,CA1,Volume_mm3,,CA1
Frahm_1994,CA2,Volume_mm3,,CA2
Frahm_1994,CA3,Volume_mm3,,CA3
Frahm_1994,Fascia_dentata,Volume_mm3,,Fascia_dentata
Frahm_1994,HP_HS_fibers,Volume_mm3,,HP_HS_fibers
Frahm_1994,Hilus,Volume_mm3,,Hilus
Frahm_1994,Hippocampus,Volume_mm3,,Hippocampus_1994
Frahm_1994,Hippocampus_retrocommissuralis,Volume_mm3,Hippocampus_retrocomm.,Hippocampus_retrocommissuralis
Frahm_1994,Subiculum,Volume_mm3,,Subiculum
Frahm_1997,Amygdala,Volume_mm3,30_(=31+33),Amygdala
Frahm_1997,Area_striata,Volume_mm3,27,Area_striata
Frahm_1997,Body_weight,Mass,1,Body_weight
Frahm_1997,Brain_weight,Mass,2,Brain_weight
Frahm_1997,Bulbus_olfactorius,Volume_mm3,11,Bulbus_olfactorius
Frahm_1997,Bulbus_olfactorius_accessorius,Volume_mm3,12,Bulbus_olfactorius_accessorius
Frahm_1997,Capsula_interna,Volume_mm3,25,Capsula_interna
Frahm_1997,Cerebellum,Volume_mm3,7,Cerebellum
Frahm_1997,Complexus_centromedialis,Volume_mm3,31,Complexus_centromedialis
Frahm_1997,Complexus_corticobasolateralis,Volume_mm3,33,Complexus_corticobasolateralis
Frahm_1997,Complexus_vestibularis,Volume_mm3,35_(=36-39),Complexus_vestibularis
Frahm_1997,Corpus_geniculatum_laterale,Volume_mm3,28,Corpus_geniculatum_laterale
Frahm_1997,Corpus_pineal,Volume_mm3,43,Corpus_pineal
Frahm_1997,Corpus_subcommissurale,Volume_mm3,44,Corpus_subcommissurale
Frahm_1997,Corpus_subfornicale,Volume_mm3,41,Corpus_subfornicale
Frahm_1997,Diencephalon,Volume_mm3,9,Diencephalon
Frahm_1997,Epithalamus,Volume_mm3,19,Epithalamus
Frahm_1997,Hippocampus,Volume_mm3,17,Hippocampus
Frahm_1997,Hypothalamus,Volume_mm3,21,Hypothalamus
Frahm_1997,Lobus_piriformis,Volume_mm3,13,Lobus_piriformis
Frahm_1997,Medulla_oblongata,Volume_mm3,6,Medulla_oblongata
Frahm_1997,Meninges_hypophysis_nerves_etc.,Volume_mm3,4,Meninges_hypophysis_nerves_etc.
Frahm_1997,Mesencephalon,Volume_mm3,8,Mesencephalon
Frahm_1997,Neocortex,Volume_mm3,18,Neocortex
Frahm_1997,Nucleus_amygdalae_basalis_pars_magnocellularis,Volume_mm3,34,Nucleus_amygdalae_basalis_pars_magnocellularis
Frahm_1997,Nucleus_habenularis_medialis,Volume_mm3,42,Nucleus_habenularis_medialis
Frahm_1997,Nucleus_septalis_triangularis,Volume_mm3,40,Nucleus_septalis_triangularis
Frahm_1997,Nucleus_subthalamicus,Volume_mm3,24,Nucleus_subthalamicus
Frahm_1997,Nucleus_tractus_olfactorius,Volume_mm3,32,Nucleus_tractus_olfactorius
Frahm_1997,Nucleus_vestibularis_descendens,Volume_mm3,39,Nucleus_vestibularis_descendens
Frahm_1997,Nucleus_vestibularis_lateralis,Volume_mm3,37,Nucleus_vestibularis_lateralis
Frahm_1997,Nucleus_vestibularis_medialis,Volume_mm3,38,Nucleus_vestibularis_medialis
Frahm_1997,Nucleus_vestibularis_superior,Volume_mm3,36,Nucleus_vestibularis_superior
Frahm_1997,Number_of_individuals_19_to_26,n,19N,Number_of_individuals_19_to_26
Frahm_1997,Number_of_individuals_1_to_18,n,1N,Number_of_individuals_1_to_18
Frahm_1997,Number_of_individuals_27_to_28,n,27N,Number_of_individuals_27_to_28
Frahm_1997,Number_of_individuals_29_to_34,n,29N,Number_of_individuals_29_to_34
Frahm_1997,Number_of_individuals_35_to_39,n,35N,Number_of_individuals_35_to_39
Frahm_1997,Number_of_individuals_40_to_44,n,40N,Number_of_individuals_40_to_44
Frahm_1997,Palaeocortex,Volume_mm3,29,Palaeocortex
Frahm_1997,Pallidum,Volume_mm3,23,Pallidum
Frahm_1997,Schizo_cortex,Volume_mm3,16,Schizo_cortex
Frahm_1997,Septum,Volume_mm3,14,Septum
Frahm_1997,Striatum,Volume_mm3,15,Striatum
Frahm_1997,Subthalamus,Volume_mm3,22_(=23+24),Subthalamus
Frahm_1997,Telencephalon,Volume_mm3,10_(=11-18),Telencephalon
Frahm_1997,Thalamus,Volume_mm3,20,Thalamus
Frahm_1997,Total_brain_net_volume,Volume_mm3,5_(=6-10),Total_brain_net_volume
Frahm_1997,Tractus_opticus,Volume_mm3,26,Tractus_opticus
Frahm_1997,Ventricles,Volume_mm3,3,Ventricles
