accepted_name,source_publication,variant_name
Alouatta caraya,Bauernfeind2013,Alouatta caraya
Alouatta seniculus,Baron1983,Alouatta spp.
Alouatta seniculus,Baron1987,Alouatta seniculus
Alouatta seniculus,Baron1988,Alouatta seniculus
Alouatta seniculus,Baron1990,Alouatta seniculus
Alouatta seniculus,Frahm1982,Alouatta sp.
Alouatta seniculus,Frahm1994,Alouatta seniculus
Alouatta seniculus,Frahm98,Alouatta seniculus
Alouatta seniculus,Frahm_1984,Alouatta sp.
Alouatta seniculus,Matano1985b,Alouatta seniculus
Alouatta seniculus,Matano1985a,Alouatta seniculus
Alouatta seniculus,Sherwood_2005,Alouatta seniculus
Alouatta seniculus,Stephan1981,Alouatta sp.
Alouatta seniculus,Stephan1982,Alouatta sp.
Alouatta seniculus,Stephan1984,Alouatta spp.
Alouatta seniculus,Stephan1987,Alouatta seniculus
Alouatta seniculus,deSousa2010,Alouatta seniculus
Aotus trivirgatus,Baron1983,Aotus trivirgatus
Aotus trivirgatus,Baron1987,Aotus trivirgatus
Aotus trivirgatus,Baron1988,Aotus trivirgatus
Aotus trivirgatus,Baron1990,Aotus trivirgatus
Aotus trivirgatus,Frahm1982,Aotus trivirgatus
Aotus trivirgatus,Frahm1994,Aotus trivirgatus
Aotus trivirgatus,Frahm98,Aotus trivirgatus
Aotus trivirgatus,Frahm_1984,Aotus trivirgatus
Aotus trivirgatus,Matano1985b,Aotus trivirgatus
Aotus trivirgatus,Matano1985a,Aotus trivirgatus
Aotus trivirgatus,Sherwood_2005,Aotus trivirgatus
Aotus trivirgatus,Stephan1981,Aotus trivirgatus
Aotus trivirgatus,Stephan1982,Aotus trivirgatus
Aotus trivirgatus,Stephan1984,Aotus trivirgatus
Aotus trivirgatus,Stephan1987,Aotus trivirgatua
Aotus trivirgatus,deSousa2010,Aotus trivirgatus
Atelerix algirus,Baron1983,Erinaceus algirus
Atelerix algirus,Baron1987,Erinaceus algirus
Atelerix algirus,Baron1988,Erinaceus algirus
Atelerix algirus,Baron1990,Atelerix algirus
Atelerix algirus,Frahm1982,Erinaceus algirus
Atelerix algirus,Stephan1981,Aethechinus algirus
Atelerix algirus,Stephan1982,Erinaceus algirus
Atelerix algirus,Stephan1984,Aethechinus algirus
Atelerix algirus,Stephan1987,Erinaceus algirus
Ateles geoffroyi,Baron1983,Ateles geoffroyi
Ateles geoffroyi,Baron1987,Ateles geoffroyi
Ateles geoffroyi,Baron1988,Ateles geoffroyi
Ateles geoffroyi,Baron1990,Ateles geoffroyi
Ateles geoffroyi,Bauernfeind2013,Ateles geoffroyi
Ateles geoffroyi,Frahm1994,Ateles geoffroyi
Ateles geoffroyi,Frahm_1984,Ateles geoffroyi
Ateles geoffroyi,Matano1985b,Ateles geoffroyi
Ateles geoffroyi,Matano1985a,Ateles geoffroyi
Ateles geoffroyi,Sherwood_2005,Ateles geoffroyi
Ateles geoffroyi,Stephan1981,Ateles geoffroyi
Ateles geoffroyi,Stephan1982,Ateles geoffroyi
Ateles geoffroyi,Stephan1984,Ateles geoffroyi
Ateles geoffroyi,Stephan1987,Ateles geoffroyi
Ateles geoffroyi,deSousa2010,Ateles geoffroyi
Avahi laniger,Baron1983,Avahi laniger laniger
Avahi laniger,Baron1987,Avahi l. laniger
Avahi laniger,Baron1988,Avahi laniger laniger
Avahi laniger,Baron1990,Avahi laniger laniger
Avahi laniger,Frahm1994,Avahi laniger laniger
Avahi laniger,Frahm_1984,Avahi l. laniger
Avahi laniger,Matano1985b,Avahi laniger laniger
Avahi laniger,Matano1985a,Avahi l. laniger
Avahi laniger,Sherwood_2005,Avahi laniger laniger
Avahi laniger,Stephan1981,Avahi l. laniger
Avahi laniger,Stephan1982,Avahi laniger lan.
Avahi laniger,Stephan1984,Avahi l. laniger
Avahi laniger,Stephan1987,Avahi l. laniger
Avahi laniger,deSousa2010,Avahi laniger
Avahi occidentalis,Baron1983,Avahi I. occidentalis
Avahi occidentalis,Baron1987,Avahi l. occidentalis
Avahi occidentalis,Baron1988,Avahi laniger occidentalis
Avahi occidentalis,Baron1990,Avahi laniger occidentalis
Avahi occidentalis,Bauernfeind2013,Avahi laniger
Avahi occidentalis,Frahm1982,Avahi laniger occidentalis
Avahi occidentalis,Frahm1994,Avahi l. occidentalis
Avahi occidentalis,Frahm_1984,Avahi laniger occidentalis
Avahi occidentalis,Matano1985b,Avahi l. occidentalis
Avahi occidentalis,Matano1985a,Avahi l. occidentalis
Avahi occidentalis,Sherwood_2005,Avahi laniger occidentalis
Avahi occidentalis,Stephan1981,Avahi laniger occidentalis
Avahi occidentalis,Stephan1982,Avahi laniger occ.
Avahi occidentalis,Stephan1984,Avahi l. occidentalis
Avahi occidentalis,Stephan1987,Avahi l. occidentalis
Blarina brevicauda,Baron1987,Blarina brevicauda
Blarina brevicauda,Baron1988,Blarina brevicauda
