status,recommended_action,kind,source_publication,source_printed_name,proposed_accepted_name,decasien_taxon,basis,authority,evidence,n_cells,max_pct_diff,ref_ids,ref_is_stephan,adopted_from,corroborated_by,decided_by,decided_date,seeded_date,note
proposed,review,congeneric_diff_species,Ashwell__2020_SupplementaryTable,alouatta palliata,alouatta seniculus,alouatta seniculus,reident,10kTrees_v3,value_match,1,0.467,61,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Ashwell__2020_SupplementaryTable,pan troglodytes,pan paniscus,pan paniscus,reident,10kTrees_v3,value_match,2,1.725,61,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,subspecies,Barks_etal_2014_viaDeCasien,gorilla beringei,gorilla gorilla graueri,gorilla gorilla graueri,reident,10kTrees_v3,value_match,1,0.993,65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla gorilla graueri, gorilla sp"
proposed,review,congeneric_diff_species,Barks_etal_2014_viaDeCasien,gorilla beringei,gorilla sp,gorilla sp,reident,10kTrees_v3,value_match,4,1.232,60;65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla gorilla graueri, gorilla sp; different epithet — verify synonym vs value coincidence before adopting"
proposed,review,congeneric_diff_species,Barks_etal_2014_viaDeCasien,gorilla gorilla,gorilla beringei,gorilla beringei,reident,10kTrees_v3,value_match,6,1.319,65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla beringei, gorilla gorilla graueri, gorilla sp; different epithet — verify synonym vs value coincidence before adopting"
proposed,review,subspecies,Barks_etal_2014_viaDeCasien,gorilla gorilla,gorilla gorilla graueri,gorilla gorilla graueri,reident,10kTrees_v3,value_match,2,1.017,65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla beringei, gorilla gorilla graueri, gorilla sp"
proposed,review,congeneric_diff_species,Barks_etal_2014_viaDeCasien,gorilla gorilla,gorilla sp,gorilla sp,reident,10kTrees_v3,value_match,10,1.428,43;60;61;65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla beringei, gorilla gorilla graueri, gorilla sp; different epithet — verify synonym vs value coincidence before adopting"
proposed,review,congeneric_diff_species,Bauernfeind_etal_2013_Table1,avahi occidentalis,avahi laniger,avahi laniger,reident,10kTrees_v3,value_match,1,0.0,43,FALSE,DeCasien_Higham_2019,,,,2026-06-25,exact value match; different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Bauernfeind_etal_2013_Table1,cebus albifrons,cebus apella,cebus apella,reident,10kTrees_v3,value_match,1,0.354,61,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,adopt,sp_to_species,Bauernfeind_etal_2013_Table1,gorilla sp,gorilla beringei,gorilla beringei,reident,10kTrees_v3,value_match,2,1.039,64;65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,
