accepted_name,ncbi_taxid,in_Stephan,in_HerculanoHouzel,in_Allman,Order_Stephan1981,Suborder_Stephan1981,Family_Stephan1981,code_Stephan1981,Order_MDD,Family_MDD,mdd_accepted_name,needs_taxonomy_review,Order_resolved,Family_resolved,taxonomy_source,order_matches_MDD
Ailurus fulgens,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Ailuridae,NCBI:name,NA
Alouatta caraya,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Atelidae,NCBI:name,NA
Alouatta palliata,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Atelidae,NCBI:name,NA
Alouatta seniculus,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,179,Primates,Atelidae,Alouatta seniculus,FALSE,Primates,Atelidae,NCBI:name,TRUE
Amblysomus hottentotus,9391,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Afrosoricida,Chrysochloridae,NCBI:taxid,NA
Antidorcas marsupialis,59523,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Bovidae,NCBI:taxid,NA
Aotus trivirgatus,9505,TRUE,TRUE,TRUE,Primates,Simians,NA,171,Primates,Aotidae,Aotus trivirgatus,FALSE,Primates,Aotidae,NCBI:taxid,TRUE
Aplodontia rufa,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Aplodontiidae,NCBI:name,NA
Atelerix algirus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Erinaceidae,21,Eulipotyphla,Erinaceidae,Atelerix algirus,FALSE,Eulipotyphla,Erinaceidae,NCBI:name,TRUE
Ateles geoffroyi,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,184,Primates,Atelidae,Ateles geoffroyi,FALSE,Primates,Atelidae,NCBI:name,TRUE
Ateles sp.,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Atelidae,NCBI:name,NA
Avahi laniger,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Indriidae,130,Primates,Indriidae,Avahi laniger,FALSE,Primates,Indriidae,NCBI:name,TRUE
Avahi occidentalis,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Indriidae,131,Primates,Indriidae,Avahi occidentalis,FALSE,Primates,Indriidae,NCBI:name,TRUE
Balaenoptera acutorostrata,9767,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Balaenopteridae,NCBI:taxid,NA
Bathyergus suillus,10172,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Blarina brevicauda,9387,TRUE,TRUE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Blarina brevicauda,FALSE,Eulipotyphla,Soricidae,NCBI:taxid,TRUE
Callicebus moloch,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,172,Primates,Pitheciidae,Plecturocebus moloch,FALSE,Primates,Pitheciidae,NCBI:name,TRUE
Callicebus sp.,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Pitheciidae,NCBI:name,NA
Callimico goeldii,9495,TRUE,TRUE,FALSE,Primates,Simians,NA,166,Primates,Callitrichidae,Callimico goeldii,FALSE,Primates,Cebidae,NCBI:taxid,TRUE
Callithrix jacchus,9483,TRUE,TRUE,FALSE,Primates,Simians,NA,151,Primates,Callitrichidae,Callithrix jacchus,FALSE,Primates,Cebidae,NCBI:taxid,TRUE
Callithrix pygmaea,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,156,Primates,Callitrichidae,Cebuella pygmaea,FALSE,Primates,Cebidae,NCBI:name,TRUE
Canis latrans,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Canidae,NCBI:name,NA
Canis lupus familiaris,9615,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Canidae,NCBI:taxid,NA
Cardioderma cor,270764,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Megadermatidae,NCBI:taxid,NA
Casinycteris argynnis,1091509,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
Cavia porcellus,10141,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Caviidae,NCBI:taxid,NA
