Species,Order,Family
Acinonyx jubatus,Carnivora,Felidae
Acrobates pygmaeus,Diprotodontia,Acrobatidae
Aepyceros melampus,Artiodactyla,Bovidae
Aepyprymnus rufescens,Diprotodontia,Potoroidae
Ailuropoda melanoleuca,Carnivora,Ursidae
Ailurus fulgens,Carnivora,Ailuridae
Alcelaphus buselaphus,Artiodactyla,Bovidae
Alouatta caraya,Primates,Atelidae
Alouatta palliata,Primates,Atelidae
Alouatta pigra,Primates,Atelidae
Alouatta seniculus,Primates,Atelidae
Amblysomus hottentotus,Afrosoricida,Chrysochloridae
Ammotragus lervia,Artiodactyla,Bovidae
Antechinomys laniger,Dasyuromorphia,Dasyuridae
Antechinus flavipes,Dasyuromorphia,Dasyuridae
Antechinus minimus,Dasyuromorphia,Dasyuridae
Antechinus swainsonii,Dasyuromorphia,Dasyuridae
Antidorcas marsupialis,Artiodactyla,Bovidae
Antilocapra americana,Artiodactyla,Antilocapridae
Aotus nancymaae,Primates,Aotidae
Aotus trivirgatus,Primates,Aotidae
Aplodontia rufa,Rodentia,Aplodontiidae
Apodemus agrarius,Rodentia,Muridae
Apodemus flavicollis,Rodentia,Muridae
Applodontia rufa,Rodentia,Aplodontiidae
Arctictis binturong,Carnivora,Viverridae
Arctocebus calabarensis,Primates,Lorisidae
Atelerix algirus,Eulipotyphla,Erinaceidae
Atelerix frontalis,Eulipotyphla,Erinaceidae
Ateles ater,Primates,Atelidae
Ateles belzebuth,Primates,Atelidae
Ateles chamek,Primates,Atelidae
Ateles fusciceps,Primates,Atelidae
Ateles geoffroyi,Primates,Atelidae
Ateles hybridus,Primates,Atelidae
Ateles paniscus,Primates,Atelidae
Ateles sp.,Primates,Atelidae
Avahi laniger,Primates,Indriidae
Avahi laniger laniger,Primates,Indriidae
Avahi laniger occidentalis,Primates,Indriidae
Avahi occidentalis,Primates,Indriidae
Balaenoptera acutorostrata,Artiodactyla,Balaenopteridae
Bassariscus astutus,Carnivora,Procyonidae
Bathyergus suillus,Rodentia,Bathyergidae
Bettongia gaimardi,Diprotodontia,Potoroidae
Bettongia penicillata,Diprotodontia,Potoroidae
Bison bison,Artiodactyla,Bovidae
