paper,item,Code,Structure,canonical_structure,domain,Measure,measure_class,Stat,role,taxon,Definition
Kaufman__2004,Kaufman__2004_TableA1..A14,CBF_ml_100g_min,(per Region),(per Region),NA,CBF,CBF,Mean,primary,Mammals,regional cerebral blood flow
Kaufman__2004,Kaufman__2004_TableA1..A14,CBF_SD,(per Region),(per Region),NA,CBF,CBF,SD,primary,Mammals,standard deviation of CBF for that study
Kaufman__2004,Kaufman__2004_TableA1..A14,CMRO2_umol_100g_min,(per Region),(per Region),NA,CMRO2,CMRO2,Mean,primary,Mammals,regional cerebral metabolic rate for oxygen
Kaufman__2004,Kaufman__2004_TableA1..A14,CMRO2_SD,(per Region),(per Region),NA,CMRO2,CMRO2,SD,primary,Mammals,standard deviation of CMRO2 for that study
Kaufman__2004,Kaufman__2004_TableA1..A14,CMRgl_umol_100g_min,(per Region),(per Region),NA,CMRgl,CMRgl,Mean,primary,Mammals,regional cerebral metabolic rate for glucose
Kaufman__2004,Kaufman__2004_TableA1..A14,CMRgl_SD,(per Region),(per Region),NA,CMRgl,CMRgl,SD,primary,Mammals,standard deviation of CMRgl for that study
Kaufman__2004,Kaufman__2004_TableA15,Mean,NA,(structure-agnostic; see data columns),NA,(per measure),(per measure),Mean,primary,Mammals,mean value
Kaufman__2004,Kaufman__2004_TableA15,SD,NA,(structure-agnostic; see data columns),NA,(per measure),(per measure),SD,primary,Mammals,standard deviation
Kaufman__2004,Kaufman__2004_TableA15,CV,NA,(structure-agnostic; see data columns),NA,(per measure),(per measure),CV,primary,Mammals,coefficient of variation (%)
Kaufman__2004,Kaufman__2004_TableA15,CVstar,NA,(structure-agnostic; see data columns),NA,(per measure),(per measure),CVstar,primary,Mammals,"unbiased coefficient of variation, CV* (%)"
Bush_Allman_2004_a,Bush_Allman_2004_a,activity,NA,(structure-agnostic; see data columns),NA,ActivityPattern,ActivityPattern,NA,secondary,NA,activity pattern (D/N/C)
Jacobs_etal_2015,Jacobs_etal_2015_Table1,age_class,NA,(structure-agnostic; see data columns),NA,Age class,Age class,NA,info,Giraffa camelopardalis,reported life-history age class
Jacobs_etal_2016,Jacobs_etal_2016_Table1,age_class,NA,(structure-agnostic; see data columns),NA,Age class,Age class,NA,info,Giraffa camelopardalis and Loxodonta africana,reported life-history age class
Johnson_etal_2016,Johnson_etal_2016_Table1,age_class,NA,(structure-agnostic; see data columns),NA,Age class,Age class,NA,info,Panthera tigris altaica and Neofelis nebulosa,reported life-history age class
