compat_key,canonical_structure,measure_class,n_variables,n_papers,papers,taxa,roles,poolable
(structure-agnostic; see data columns) | mass,(structure-agnostic; see data columns),mass,25,16,AvelinodeSouza_etal_2025; Burish_etal_2010; Collins_etal_2010; Collins_etal_2016; DosSantos_etal_2017; DosSantos_etal_2020; Finlay_etal_2006; HerculanoHouzel_etal_2015; JardimMesseder_etal_2017; Kverkova_etal_2018; Lewitus_etal_2014; Seymour_etal_2015; Seymour_etal_2017; Stephan_etal_1970; Weaver_2001; Young_etal_2013_b,"Carnivores & other companion mammals; Cetaceans & other placental mammals; Fossil Hominins; Mammals; Mammals (marsupial to primate); Marsupials; monkeys, apes, fossil hominids, humans; Primates; Primates (+ other mammals); Primates & Diprotodontia; Rodents (African mole-rats +)",both; info; primary; review; secondary,TRUE
WholeBrain | volume,WholeBrain,volume,13,11,Ashwell__2020; Bush_Allman_2004_a; Bush_Allman_2004_b; deSousa_etal_2010; MacLeod_etal_2003; Semendeferi_etal_1998; Semendeferi_etal_2001; Seymour_etal_2015; Seymour_etal_2017; Seymour_etal_2019; Smaers_etal_2011,Apes (Hominoidea); Apes & humans; Fossil Hominins; Great Apes & Homo; Mammalia; Primates; Primates & Diprotodontia,both; primary,TRUE
Neocortex | count (number),Neocortex,count (number),26,8,__merging_cortical_areas; Changizi__2001; Collins_etal_2010; Collins_etal_2016; deSousa_etal_2010; Finlay_etal_2006; Lewitus_etal_2014; Young_etal_2013_b,Mammals; Mammals (marsupial to primate); Mammals (monotreme to human); Primates,metadata; primary; secondary,TRUE
Cerebellum | volume,Cerebellum,volume,24,8,Ashwell__2020; Frahm_etal_1997; Kochiyama_etal_2018; MacLeod_etal_2003; Stephan_etal_1970; Stephan_etal_1981; Weaver_2001; Zilles__Rehkamper_1988,"Apes (Hominoidea); hominoids; Homo; Insectivora, Scandentia & Primates; Mammalia; monkeys, apes, fossil hominids, humans; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
(structure-agnostic; see data columns) | count (number),(structure-agnostic; see data columns),count (number),15,8,AvelinodeSouza_etal_2025; Burish_etal_2010; DosSantos_etal_2017; DosSantos_etal_2020; HerculanoHouzel_etal_2015; JardimMesseder_etal_2017; Kochiyama_etal_2018; Kverkova_etal_2018,Carnivores & other companion mammals; Cetaceans & other placental mammals; Mammals; Marsupials; Primates (+ other mammals); Rodents (African mole-rats +),both; info; primary; review,TRUE
Body_weight | mass,Body_weight,mass,8,8,Bauernfeind_etal_2013; Frahm_etal_1997; Frahm_etal_1998; Frahm_Zilles_1994; Matano_etal_1985_a; Matano_etal_1985_b; Stephan_etal_1981; Stephan_etal_1988,"Insectivora & Primates; Insectivora, Scandentia & Primates; Primates; Rodentia & Insectivora",primary; secondary,TRUE
Neocortex | volume,Neocortex,volume,18,7,Changizi__2001; deSousa_etal_2010; Frahm_etal_1982; Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora & Primates; Insectivora, Scandentia & Primates; Mammals (monotreme to human); Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
Hippocampus | volume,Hippocampus,volume,12,6,Barger_etal_2014; Frahm_etal_1997; Frahm_Zilles_1994; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Apes & humans; Insectivora & Primates; Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
(structure-agnostic; see data columns) | density (per mass/volume),(structure-agnostic; see data columns),density (per mass/volume),10,6,AvelinodeSouza_etal_2025; Burish_etal_2010; DosSantos_etal_2017; DosSantos_etal_2020; HerculanoHouzel_etal_2015; JardimMesseder_etal_2017,Carnivores & other companion mammals; Cetaceans & other placental mammals; Mammals; Marsupials; Primates (+ other mammals),both; primary; review,TRUE
Body | mass,Body,mass,7,6,Granatosky__2018; Heffner_Masterton_1975; Heffner_Masterton_1983; Heldstab_etal_2016; Wilman_etal_2014; Wimberly_etal_2021,mammals; Mammals; Primates,primary; secondary,TRUE
