item_key,first_author,year,series_or_topic,journal,vol_issue_pages,id_type,identifier,encoded_base
Frahm_etal_1982,Frahm,1982,I. Neocortex,J Hirnforsch,23(4):375-389,PMID,7161477,PMID%3A7161477
Stephan_etal_1982,Stephan,1982,II. Accessory olfactory bulb,J Hirnforsch,23(5):575-591,PMID,7161483,PMID%3A7161483
Baron_etal_1983,Baron,1983,III. Main olfactory bulb,J Hirnforsch,24(5):551-568,PMID,6663055,PMID%3A6663055
Stephan_etal_1984,Stephan,1984,IV. Non-cortical visual,J Hirnforsch,25(4):385-403,PMID,6481154,PMID%3A6481154
Frahm_etal_1984,Frahm,1984,V. Area striata,J Hirnforsch,25(5):537-557,PMID,6501869,PMID%3A6501869
Baron_etal_1987,Baron,1987,VI. Paleocortical,J Hirnforsch,28(4):463-477,PMID,3116076,PMID%3A3116076
Stephan_etal_1987,Stephan,1987,VII. Amygdala,J Hirnforsch,28(5):571-584,PMID,3693895,PMID%3A3693895
Baron_etal_1988,Baron,1988,VIII. Vestibular complex,J Hirnforsch,29(5):509-523,PMID,3216099,PMID%3A3216099
Baron_etal_1990,Baron,1990,IX. Trigeminal complex,J Hirnforsch,31(2):193-200,PMID,2358663,PMID%3A2358663
Stephan_etal_1981,Stephan,1981,New and revised data,Folia Primatol,35(1):1-29,DOI,10.1159/000155963,10.1159%2F000155963
Matano_etal_1985,Matano,1985,Cerebellar nuclei II,Folia Primatol,44(3-4):182-203,DOI,10.1159/000156212,10.1159%2F000156212
Frahm_Zilles_1994,Frahm,1994,Hippocampal regions (44 primates),J Hirnforsch,35(3):343-354,PMID,7983368,PMID%3A7983368
Frahm_etal_1997,Frahm,1997,Spalax mole rat brain volumes,J Hirnforsch,38(2):209-222,PMID,9176733,PMID%3A9176733
Frahm_etal_1998,Frahm,1998,Middle temporal area (MT),J Hirnforsch,39(1):45-54,PMID,9672110,PMID%3A9672110
deSousa_etal_2010,de Sousa,2010,Hominoid visual brain structure,J Hum Evol,58(4):281-292,DOI,10.1016/j.jhevol.2009.11.011,10.1016%2Fj.jhevol.2009.11.011
deSousa_etal_2013,de Sousa,2013,LGN lamination (catarrhines),Brain Behav Evol,81(2):93-108,DOI,10.1159/000346495,10.1159%2F000346495
Bauernfeind_etal_2013,Bauernfeind,2013,Insular cortex volumes,J Hum Evol,64(4):263-279,DOI,10.1016/j.jhevol.2012.12.003,10.1016%2Fj.jhevol.2012.12.003
Sherwood_etal_2005,Sherwood,2005,Brainstem orofacial motor nuclei,J Hum Evol,48(1):45-84,DOI,10.1016/j.jhevol.2004.10.003,10.1016%2Fj.jhevol.2004.10.003
