species,species_as_published,brain_volume_cm3,brain_N,neocortex_volume_cm3,neocortex_N,V1_area_striata_volume_cm3,V1_N,LGN_volume_cm3,LGN_N,source,correction
Homo sapiens,Homo sapiens,1258.4,10,991.0,2,15.2,10,0.335,10,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Pan troglodytes,Pan troglodytes,319.7,7,264.7,4,8.3,7,0.251,4,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Pan paniscus,Pan paniscus,338.8,3,246.7,2,11.6,3,0.275,3,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Gorilla gorilla,Gorilla gorilla,398.6,2,283.7,2,9.1,2,0.309,2,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Pongo pygmaeus,Pongo pygmaeus,371.3,3,269.2,3,8.2,3,0.259,3,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Hylobates lar,Hylobates lar,102.3,2,68.3,2,4.1,2,0.166,2,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Symphalangus syndactylus,Syndactylus symphalangus,133.9,1,,,5.5,1,,,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,species name corrected from published 'Syndactylus symphalangus'
Macaca fascicularis,Macaca fascicularis,55.6,1,,,2.7,1,0.092,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Macaca mulatta,Macaca mulatta,89.8,1,63.5,1,5.3,1,0.158,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Lophocebus albigena,Lophocebus albigena,100.4,1,68.7,1,5.4,1,0.182,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Papio anubis,Papio anubis,194.0,2,140.1,2,10.0,1,0.395,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Cercopithecus ascanius,Cercopithecus ascanius,64.7,1,45.2,1,4.3,1,0.147,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Cercopithecus mitis,Cercopithecus mitus,72.4,1,49.9,1,4.2,1,0.15,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,species name corrected from published 'Cercopithecus mitus'
Miopithecus talapoin,Miopithecus talapoin,38.6,2,26.4,2,2.3,1,0.109,1,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Procolobus badius,Procolobus badius,75.3,2,50.9,2,3.1,2,0.128,2,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
Callithrix jacchus,Callithrix jacchus,7.3,4,4.4,4,0.6,2,0.025,2,deSousa_etal_2010 (J Hum Evol) Supp. Table 2,
