Species_deSousa2010,Neocortex_mm3,Area_striata_grey_matter_mm3,Corpus_geniculatum_laterale_mm3,Total_brain_net_volume_mm3
Alouatta seniculus,31660.0,1918.0,87.4,50193.1
Aotus trivirgatus,9950.0,996.0,32.9,16505.8
Ateles geoffroyi,70856.0,3753.0,151.0,104247.1
Avahi laniger,4813.0,458.3,28.7,9597.8
Callicebus moloch,11163.0,1201.0,54.2,18339.8
Callithrix jacchus,4371.0,566.0,25.1,7335.9
Cebuella pygmaea,2535.0,363.0,16.9,4343.6
Cebus albifrons,46429.0,3764.0,137.0,68532.8
Cercopithecus ascanius,45166.0,4272.0,147.0,64671.8
Cercopithecus mitus,49933.0,4232.0,150.0,72393.8
Cheirogaleus major,2938.0,433.0,21.5,6563.7
Cheirogaleus medius,1221.0,199.0,10.8,3030.9
Daubentonia madagascariensis,22127.0,1113.0,58.5,43581.1
Eulemur fulvus,12207.0,1253.0,51.8,22490.3
Galago senegalensis,2139.0,301.0,16.0,4633.2
Galagoides demidoff,1568.0,214.0,10.9,3262.5
Gorilla gorilla,283700.0,9129.0,308.5,398648.6
Homo sapiens,991000.0,15247.5,335.0,1258397.7
Hylobates lar,68300.0,4086.7,166.2,102316.6
Indri indri,20114.0,1648.0,94.5,36969.1
Lagothix lagathricha,65873.0,4856.0,164.0,97490.3
Lepilemur ruficaudatus,3282.0,326.0,15.6,7335.9
Lophocebus albigena,68733.0,5420.0,182.0,100386.1
Loris tardigradus,3524.0,529.0,24.6,6370.7
Macaca fascicularis,,2713.3,91.9,55598.5
Macaca mulatta,63482.0,5343.0,158.0,89768.3
Microcebus murinus,740.0,139.0,7.1,1718.1
Miopithecus talapoin,26427.0,2339.0,109.0,38610.0
Nycticebus coucang,6192.0,696.0,35.9,12065.6
Otolemur crassicaudatus,4723.0,479.0,23.2,9942.1
Pan paniscus,246700.0,11606.5,275.1,338803.1
Pan troglodytes,264650.0,8268.3,250.7,319670.7
Papio anubis,140142.0,10001.0,395.0,194015.4
Perodicticus potto,6683.0,495.0,24.3,13513.5
Procolobus badius,50906.0,3053.0,128.0,75289.6
Pithecia monachus,21028.0,1679.0,76.3,33783.8
Pongo pygmaeus,269233.3,8233.7,259.1,371299.9
Propithecus verreauxi,13170.0,1106.0,64.5,25772.2
Sanguinus midas,5883.0,841.0,36.0,9942.1
Sanguinus oedipus,5894.0,807.0,34.2,9652.5
Saimiri sciureus,15541.0,1884.0,62.9,23166.0
Tarsius syrichta,1768.0,349.0,20.8,3474.9
Varecia variegata,15293.0,1745.0,68.9,30405.4
