Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial (footnote marker removed; typo corrected),,Species,,primary,Apes & humans + M. fascicularis,deSousa_etal_2010,'Symphalagus'->Symphalangus,
species_as_published,species exactly as printed in Table 1,,Species,,primary,,deSousa_etal_2010,,
code,specimen catalogue code,,Specimen,,primary,,deSousa_etal_2010,matches MacLeod/Barger/Smaers Stephan-collection IDs,
collection,brain collection,,Provenance,,primary,,deSousa_etal_2010,Zilles/Stephan/Yakovlev-Haleem/Welker/GWU,
brain_mass_g,fresh brain mass,WholeBrain,Mass.g,,primary,,deSousa_etal_2010,,
correction_factor,shrinkage correction factor (fresh vol / slide vol),,CorrectionFactor,,primary,,deSousa_etal_2010,see cf_assumed,
brain_volume_cm3,whole brain volume (Cavalieri),WholeBrain,Volume.cm3,,primary,,deSousa_etal_2010,shrinkage-corrected,
left_V1_volume_cm3,LEFT V1 (area striata) grey matter volume,V1_AreaStriata,Volume.cm3,,primary,,deSousa_etal_2010,left hemisphere only; grey only,
left_LGN_volume_cm3,LEFT lateral geniculate nucleus volume,LGN,Volume.cm3,,primary,,deSousa_etal_2010,left hemisphere; entire structure,
neocortex_volume_cm3,neocortex volume (grey+white; paleocortex removed),Neocortex,Volume.cm3,,primary,,deSousa_etal_2010,from Stephan et al 1981 method,
cf_assumed,TRUE if correction factor was assumed (2.05 average; footnote c),,Method,,primary,,deSousa_etal_2010,,
source,source identifier,,Source,,primary,,deSousa_etal_2010,,
correction,corrections applied vs published,,Note,,primary,,deSousa_etal_2010,,
