species,V1_area_striata_grey_mm3,LGN_mm3,brain_volume_mm3,source,note
Ateles_geoffroyi,3753.0,151.0,104247.1,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Avahi_laniger,475.0,27.6,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Callithrix_pygmaea,363.0,16.9,4343.63,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Cebus_albifrons,3764.0,137.0,68532.82,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Cercopithecus_mitis,4232.0,150.0,72393.82,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Colobus_angolensis,,103.0,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Galagoides_demidoff,214.0,10.9,3262.55,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Gorilla_gorilla,9129.0,308.5,398648.65,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Homo_sapiens,15247.5,335.0,1258397.68,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Hylobates_lar,4086.7,166.2,102316.6,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Hylobates_muelleri,,162.0,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Indri_indri,1648.0,94.5,36969.11,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Lophocebus_albigena,5420.0,182.0,100386.1,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Loris_tardigradus,529.0,24.6,6370.66,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Pan_paniscus,11606.5,275.1,338803.09,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Pan_troglodytes,8268.3,250.7,319670.71,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Perodicticus_potto,495.0,24.3,13513.51,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Piliocolobus_badius,3053.0,128.0,75289.58,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Pongo_pygmaeus,8233.7,259.1,371299.87,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Saguinus_oedipus,807.0,34.2,9652.51,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Symphalangus_syndactylus,5468.9,,133880.31,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Varecia_variegata,1745.0,68.9,30405.41,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Alouatta_seniculus,1918.0,87.4,50193.05,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Aotus_trivirgatus,996.0,32.9,16505.79,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Avahi_occidentalis,450.0,29.3,,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Callithrix_jacchus,566.0,25.1,7335.91,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Cercopithecus_ascanius,4272.0,147.0,64671.81,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Cheirogaleus_major,433.0,21.5,6563.71,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Cheirogaleus_medius,199.0,10.8,3030.89,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
Daubentonia_madagascariensis,1113.0,58.5,43581.08,deSousa_etal_2010,values from your Stephan_primates.csv compilation citing de Sousa 2010; add source PDF for a faithful snapshot
