species,deSousa2013_LGN_mm3(x1000),stephan_LGN_Sousa_mm3,pct_diff
Homo sapiens,340,335.0,1.5
Pan troglodytes,340,250.7,35.6
Pan paniscus,280,275.1,1.8
Hylobates lar,170,166.2,2.3
Hylobates muelleri,160,162.0,-1.2
Cercopithecus ascanius,150,147.0,2.0
Cercopithecus mitis,170,150.0,13.3
Erythrocebus patas,270,267.0,1.1
Lophocebus albigena,180,182.0,-1.1
Macaca fascicularis,90,91.9,-2.1
Macaca mulatta,160,158.0,1.3
Miopithecus talapoin,110,109.0,0.9
Papio anubis,400,395.0,1.3
Nasalis larvatus,160,157.0,1.9
Pygathrix nemaeus,120,115.0,4.3
Piliocolobus badius,130,128.0,1.6
Colobus angolensis,100,103.0,-2.9
