Species,Species_deSousa2013,Brain_weight_2013,Corpus_geniculatum_laterale_2013,Number_of_individuals_Brain_weight_2013,Number_of_individuals_Corpus_geniculatum_laterale_2013
AAAA_Anatomy_code,deSousa_2013,Brain wt. (mg),LGN vol. (mm3),no.,no.
AAAA_Reference,deSousa_2013,deSousa_2013,deSousa_2013,deSousa_2013,deSousa_2013
Alouatta caraya,,,,,
Alouatta seniculus,,,,,
Aotus trivirgatus,,,,,
Atelerix algirus,,,,,
Ateles geoffroyi,,,,,
Avahi laniger,,,,,
Avahi occidentalis,,,,,
Blarina brevicauda,,,,,
Callicebus moloch,,,,,
Callimico goeldii,,,,,
Callithrix jacchus,,,,,
Callithrix pygmaea,,,,,
Cebus albifrons,,,,,
Cercocebus agilis,,,,,
Cercopithecus ascanius,Cercopithecus ascanius,61500,147,1,1
Cercopithecus mitis,Cercopithecus mitis,73300,167.2,2,2
Cheirogaleus major,,,,,
Cheirogaleus medius,,,,,
Chrysochloris asiatica,,,,,
Chrysochloris stuhlmanni,,,,,
Colobus angolensis,Colobus angolensis,74400,103,1,1
Crocidura flavescens,,,,,
Crocidura hildegardeae,,,,,
Crocidura jacksoni,,,,,
Crocidura russula,,,,,
Daubentonia madagascariensis,,,,,
Desmana moschata,,,,,
Echinops telfairi,,,,,
Echinosorex gymnura,,,,,
Elephantulus fuscipes,,,,,
Erinaceus europaeus,,,,,
Erythrocebus patas,Erythrocebus patas,94200,266.8,1,1
Eulemur fulvus,,,,,
Galago senegalensis,,,,,
Galagoides demidoff,,,,,
Galemys pyrenaicus,,,,,
Gorilla sp.,Gorilla gorilla,376000,300.1,1,1
Hemicentetes semispinosus,,,,,
Hemiechinus auritus,,,,,
Homo sapiens,Homo sapiens,1303700,335,10,10
Hylobates lar,Hylobates lar,106000,166.2,2,2
Hylobates muelleri,Hylobates muelleri,101800,161.6,1,1
Hylomys suillus,,,,,
Indri indri,,,,,
Lagothrix lagothricha,,,,,
Leontopithecus rosalia,,,,,
Lepilemur ruficaudatus,,,,,
Lophocebus albigena,Lophocebus albigena,110500,182,1,1
Loris tardigradus,,,,,
Macaca fascicularis,Macaca fascicularis,57600,91.9,1,1
Macaca maura,,,,,
Macaca mulatta,Macaca mulatta,78000,158,1,1
Microcebus murinus,,,,,
Microgale cowani,,,,,
Microgale mergulus,,,,,
Micropotamogale lamottei,,,,,
Micropotamogale ruwenzorii,,,,,
Microsorex hoyi,,,,,
Miopithecus talapoin,Miopithecus talapoin,41100,109,1,1
Myosorex babaulti,,,,,
Nasalis larvatus,Nasalis larvatus,64250,156.6,1,1
Neomys fodiens,,,,,
Nesogale dobsoni,,,,,
Nesogale talazaci,,,,,
Nycticebus coucang,,,,,
Oryzorictes hova,,,,,
Otolemur crassicaudatus,,,,,
Pan paniscus,Pan paniscus,364500,282.3,2,2
Pan troglodytes,Pan troglodytes,406500,344,6,3
Papio anubis,Papio anubis,206500,395,1,2
Perodicticus potto,,,,,
Piliocolobus badius,Piliocolobus badius,76850,128,2,2
Pithecia monachus,,,,,
Pithecia pithecia,,,,,
Pongo sp.,Pongo pygmaeus,384667,259.1,5,3
Potamogale velox,,,,,
Propithecus verreauxi,,,,,
Pygathrix nemaeus,Pygathrix nemaeus,69000,114.8,1,1
Rattus norvegicus,,,,,
Rhynchocyon cirnei,,,,,
Ruwenzorisorex suncoides,,,,,
Saguinus geoffroyi,,,,,
Saguinus midas,,,,,
Saguinus oedipus,,,,,
Saimiri sciureus,,,,,
Scutisorex somereni,,,,,
Setifer setosus,,,,,
Solenodon paradoxus,,,,,
Sorex araneus,,,,,
Sorex cinereus,,,,,
Sorex fumeus,,,,,
Sorex minutus,,,,,
Spalax ehrenbergi,,,,,
Suncus etruscus,,,,,
Suncus megalura,,,,,
Suncus murinus,,,,,
Sylvisorex granti,,,,,
Symphalangus syndactylus,Symphalangus syndactylus,138700,,1,1
Talpa europaea,,,,,
Tarsius sp.,,,,,
Tenrec ecaudatus,,,,,
Trachypithecus francoisi,,,,,
Tupaia glis,,,,,
Tupaia minor,,,,,
Urogale everetti,,,,,
Varecia variegata,,,,,
