Species_deSousa2013,Corpus_geniculatum_laterale_mm3,brain_weight_mg
Cercopithecus ascanius,147.0,61500.0
Cercopithecus mitis,167.2,73300.0
Colobus angolensis,103.0,74400.0
Erythrocebus patas,266.8,94200.0
Gorilla gorilla,300.1,376000.0
Homo sapiens,335.0,1303700.0
Hylobates lar,166.2,106000.0
Hylobates muelleri,161.6,101800.0
Lophocebus albigena,182.0,110500.0
Macaca fascicularis,91.9,57600.0
Macaca mulatta,158.0,78000.0
Miopithecus talapoin,109.0,41100.0
Nasalis larvatus,156.6,64250.0
Pan paniscus,282.3,364500.0
Pan troglodytes,344.0,406500.0
Papio anubis,395.0,206500.0
Piliocolobus badius,128.0,76850.0
Pongo pygmaeus,259.1,384667.0
Pygathrix nemaeus,114.8,69000.0
Symphalangus syndactylus,,138700.0
